Q,Option1,Option2,Option3,Option4,Correct
What is a shared responsibility model commonly associated with cloud environments called,Responsibility matrix,Control plane,Service level agreement,Attack surface map,1
What is a deployment model that combines public and private cloud resources,Hybrid,Community,Third-party,Containerized,1
Which term refers to external companies that provide services integrated into your infrastructure,Patch suppliers,Legacy partners,Third-party vendors,Cold site vendors,3
What is the practice of managing infrastructure using code and automation tools,Scripted provisioning,Infrastructure as code,DevOps scaling,Patch templating,2
What computing model eliminates the need for managing servers directly,Client-server,Serverless,Virtualized,Containerized,2
Which architecture breaks down applications into small independent services,Monolithic,Microservices,Centralized,Mesh networking,2
What is the term for isolating systems physically with no network connectivity,Software-defined,Logical segmentation,Air-gapped,Redundant pairing,3
What is the separation of systems based on logical or virtual boundaries within a network,Physical isolation,Logical segmentation,Firewall zoning,Patch gating,2
Which approach uses software to control network traffic dynamically,Software-defined networking,Infrastructure as code,Microsegmentation,Legacy VLAN,1
What is a model where resources and services are hosted within the organization,On-premises,Cloud-first,Hybrid edge,Third-party,1
What architecture relies on a single control point to manage data and systems,Centralized,Distributed,Decentralized,Edge computing,1
What infrastructure model distributes control and processing across nodes,Microservice,Decentralized,Containerized,Cloud-shared,2
Which technology allows bundling applications with their dependencies for consistent deployment,Containerization,Microservices,Patch wrapping,Remote execution,1
What approach involves creating virtual instances of hardware or software,Containerization,Serverless,Virtualization,Segmentation,3
Which category includes devices like smart thermostats or connected cameras,Endpoint detection,Mobile systems,Internet of Things,Peripheral compute nodes,3
What term describes systems used to control industrial processes like power grids or water treatment,IoT control boards,Distributed compute interfaces,Industrial control systems,Mesh controllers,3
What is a system used to monitor and control industrial infrastructure,Data lake,Patch monitor,Supervisory control and data acquisition,System access controller,3
What type of operating system processes data with strict timing constraints,Graphical interface system,Real-time operating system,Container OS,Patch-priority kernel,2
What are computing devices designed to perform dedicated functions with limited resources called,Open platform systems,Embedded systems,Virtual appliances,Hot sites,2
What term refers to systems that aim to remain functional despite component failures,High availability,Cold start,Patch aware,Risk transference,1
What is the ability of a system to remain operational under stress or attack called,Cost optimization,Responsiveness,Resilience,Power draw,3
What factor relates to the financial implications of an architectural choice,Resilience,Compute,Cost,Air-gapping,3
What describes how quickly a system can respond to input or requests,Responsiveness,Patch availability,Availability,Recovery time,1
What term defines a system's ability to grow with increased demand,High availability,Segmentation,Scalability,Legacy compatibility,3
What refers to how easy it is to implement and begin using a solution,Ease of deployment,Responsiveness,Patch availability,Compute load,1
What is the process of shifting risk to another party or service,Risk transference,Redundancy balancing,Patch rotation,Air-gap filtering,1
Which factor relates to how fast a system can return to normal operations after failure,Ease of recovery,Compute efficiency,Patch granularity,Responsiveness,1
What describes the current availability of updates to fix security flaws,Compute availability,Ease of deployment,Patch availability,Access control,3
What term refers to the lack of available updates or fixes for a system,Inability to patch,Patch-aware,Low resilience,Compute delay,1
What factor measures the electrical requirements or consumption of a system,Scalability,Power,Patch dependency,Deployment time,2
What refers to the processing capability available in a given system,Responsiveness,Compute,Segmentation,Patch enforcement,2
How does a responsibility matrix differ from a service level agreement,It outlines performance targets,It specifies legal consequences,It defines shared security duties,It lists user permissions,3
What is a key difference between hybrid cloud and private cloud,Hybrid uses only internal resources,Hybrid combines multiple environments,Private cloud is hosted by third-party vendors,Private offers no scalability,2
Which best distinguishes third-party vendors from internal infrastructure teams,They manage internal servers,They provide remote patches,They operate externally and are not part of the organization,They control on-premises firewalls,3
