Q,Option1,Option2,Option3,Option4,Correct
"What is phishing?", "Deceptive messages that trick users into revealing information or installing malware", "Intercepting wireless traffic between two devices", "Overloading services with traffic from many sources", "Physically following someone into a secure area", 1
"What is vishing?", "Fraudulent phone calls that attempt to elicit sensitive information", "Scanning trash for documents", "Creating a fake wireless access point", "Guessing passwords with a word list", 1
"What is shoulder surfing?", "Observing screens or keyboards to capture information", "Flooding a server with many requests", "Installing a remote administration tool", "Encrypting a drive without consent", 1
"What is whaling?", "A phishing attack that targets executives or high-profile individuals", "A brute-force attack against a service", "A malware dropper hidden in a document", "A low-level boot attack", 1
"What is tailgating?", "Gaining entry to a restricted area by following an authorized person", "Observing keystrokes from a distance", "Sending deceptive emails to many users", "Exploring web inputs for script injection", 1
"What is impersonation in social engineering?", "Pretending to be a trusted person or role to gain access", "Breaking encryption with hardware", "Capturing packets in transit", "Deleting audit logs from a server", 1
"What is dumpster diving?", "Searching discarded materials for sensitive information", "Using a stolen badge to enter a building", "Capturing session cookies with a proxy", "Exploiting a misconfigured firewall", 1
"What is an evil twin?", "A rogue wireless access point that mimics a legitimate network to capture data", "A spoofed email domain used for phishing", "A server used for distributed denial of service", "A duplicate user account with admin rights", 1
"What is a distributed denial of service attack?", "Overwhelming a service with traffic from many systems to make it unavailable", "Attempting every possible password", "Injecting database commands into an input field", "Replacing a login page with a fake one", 1
"What is a denial of service attack?", "Overwhelming a service from a single source to make it unavailable", "Intercepting and altering traffic in transit", "Scanning a wireless network for open SSID names", "Installing firmware updates", 1
"What is a zero day attack?", "Exploitation of a previously unknown vulnerability with no vendor patch available", "A password guess on the first try", "A normal phishing message with a known link", "A compliance audit finding", 1
"What is spoofing?", "Falsifying identity information such as a source address or caller ID", "Encrypting files for ransom", "Brute forcing a password", "Wiping a hard drive securely", 1
"What is an on path attack?", "Intercepting and possibly altering communications between two parties", "Replacing database records with random text", "Sending deceptive emails at scale", "Guessing passwords with a dictionary", 1
"What is a brute force attack?", "Trying many possible passwords until one works", "Using a list of common words to guess a password", "Installing a driver with a hidden payload", "Scanning trash for credentials", 1
"What is a dictionary attack?", "Trying passwords from a list of likely words and variations", "Trying every possible character combination", "Capturing traffic with a sniffer", "Sending crafted packets to overflow a buffer", 1
"What is an insider threat?", "A person with authorized access who misuses that access", "A remote attacker who has no access", "A malfunctioning device that drops packets", "A cloud service outage", 1
"What is Structured Query Language injection?", "Inserting crafted database commands into an input field to manipulate data", "Embedding script into web pages to run in a browser", "Replacing the operating system boot loader", "Sending a flood of network requests", 1
"What is cross site scripting?", "Injecting script into content so it runs in the browser of another user", "Tricking a database with crafted queries", "Flooding a host with requests", "Interfering with wireless signals", 1
"What is a non compliant system?", "A system that does not follow required security configurations or policies", "A system with a strong password manager", "A system that is offline", "A system with an updated firewall", 1
"What is an unpatched system?", "A system missing current security updates", "A system with guest accounts disabled", "A system with file auditing enabled", "A system with automatic updates active", 1
"What is an unprotected system?", "A system missing required protections such as antivirus or firewall", "A system with up to date endpoint protection", "A system locked in a server rack", "A system using full disk encryption", 1
"What is an end of life operating system?", "An operating system that no longer receives vendor updates or support", "An operating system that uses long term support updates", "An operating system that is still in beta", "An operating system that only runs in a virtual machine", 1
"What is bring your own device?", "Allowing personal devices to access organizational resources", "Issuing only company owned devices", "Blocking all wireless devices from the network", "Allowing only wired connections", 1
"A finance executive receives a realistic request to approve a wire transfer from a fake legal notice. What attack fits best?", "Whaling", "Shoulder surfing", "Dumpster diving", "Brute force", 1
"A user connects to a public wireless network that has the same name as the company network and is asked to log in. What attack is likely?", "Evil twin", "Phishing", "On path attack", "Dictionary attack", 1
"A website login field accepts input like 'OR 1=1' and then signs the user in without a password. What attack is this?", "Structured Query Language injection", "Cross site scripting", "Brute force attack", "Spoofing", 1
"A news site shows a comment that runs script in the visitor browser and steals session cookies. What attack is this?", "Cross site scripting", "On path attack", "Distributed denial of service", "Vishing", 1
"Which vulnerability most increases risk after vendor support ends?", "End of life operating system", "Non compliant system", "Unpatched system", "Bring your own device", 1
"Which control best reduces successful tailgating?", "Enforced badge checks and a controlled entry vestibule with a guard", "Enable guest wireless", "Disable browser pop ups", "Use a taller monitor", 1
"Multiple outside sources simultaneously overwhelm a company site and it goes offline. Which threat is this?", "Distributed denial of service attack", "Denial of service attack", "On path attack", "Spoofing", 1
"An attacker calls the help desk pretending to be a supervisor and asks for a password reset. Which technique is used?", "Impersonation with vishing", "Dumpster diving", "Shoulder surfing", "Brute force", 1
