Q,Option1,Option2,Option3,Option4,Correct
"What is a site-to-site virtual private network?","A user’s browser session to a portal","A permanent tunnel between two networks using gateway devices so subnets can communicate securely","A wireless guest network","A file transfer channel",2
"What is a client-to-site virtual private network?","A tunnel between two data centers","A secure connection from an individual device to a network through a gateway","A local broadcast domain","A management console cable",2
"What is a clientless virtual private network?","A tunnel that requires installed software","A browser-based portal (typically over Hypertext Transfer Protocol Secure) that provides access without a traditional client install","An Internet Protocol version 6-only tunnel","A wireless mesh",2
"What is a full-tunnel virtual private network?","Only specified traffic goes through the tunnel","All client traffic is routed through the tunnel to the corporate network","Only Domain Name System is tunneled","Only voice is tunneled",2
"What is a split-tunnel virtual private network?","All traffic goes to the corporate network","Only defined destinations use the tunnel; other traffic goes directly to the internet","Only management traffic is allowed","Only multicast is allowed",2
"What is Secure Shell (SSH) in this context?","A routing protocol","An encrypted remote command-line protocol commonly used for device administration","A file archiver","A time sync protocol",2
"What is a graphical user interface (GUI) for device management?","An unencrypted console port","A web or application interface that allows configuration through forms and dashboards","A packet generator","A syslog collector",2
"What is an application programming interface (API) for management?","Manual form entry","A programmatic interface that lets software read or change device settings automatically","Only a command-line alias","A power profile",2
"What is a console connection for networking devices?","A wireless onboarding method","A direct local serial or out-of-band connection for initial setup or recovery","A Domain Name System query","A Simple Network Management Protocol trap",2
"What is a jump box or jump host?","A public file server","A hardened intermediary system used to reach management interfaces on internal devices","A wireless mesh controller","A backup server only",2
"What is in-band management?","Using a separate, isolated network for management","Accessing and controlling devices over the same production network they serve","Using only serial cables","Using only radio links",2
"What is out-of-band management?","Managing devices over the production data plane","Using a dedicated, separate path such as console servers or a management network for control access","Using multicast only","Using only Hypertext Transfer Protocol Secure",2
"Which approach best isolates management access from production failures?","In-band management only","Out-of-band management using a separate management network or console server","Using clientless virtual private networks","Using only graphical user interfaces",2
"Which choice best reduces the risk of exposing device management to the public internet?","Publishing Secure Shell on default ports to all","Placing management interfaces behind a jump host and restricting access with firewall rules and multi-factor authentication","Disabling encryption on the console","Allowing anonymous web access",2
"Which statement correctly contrasts split-tunnel and full-tunnel virtual private networks?","Split sends all traffic through the tunnel; full sends only specified traffic","Split sends only specified traffic through the tunnel; full routes all traffic through the corporate network","Both route only Domain Name System","Both are identical",2
"Which method is most appropriate for automating configuration backups nightly at scale?","Manual console sessions","Application programming interface integration with scripts or tools","Only interactive graphical user interfaces","Only Secure Shell port forwarding",2
"Which access method is most useful when a device’s operating system is corrupted and network services are down?","In-band Secure Shell","Out-of-band console connection via a console server","Clientless virtual private network","Graphical user interface over Hypertext Transfer Protocol Secure",2
"Which management method is often simplest for first-time setup of a new switch in a rack with no addressing yet?","Secure Shell","Graphical user interface","Serial console connection","Application programming interface call",3
