Q,Option1,Option2,Option3,Option4,Correct
"What does 'channel width' refer to in wireless networking?","The physical width of an antenna","The frequency span a channel occupies (for example, 20/40/80/160 megahertz)","The number of access points in a building","The height of a wireless tower",2
"Which statement best describes non-overlapping channels?","Channels that have the highest power output","Channels that do not share frequency spectra and therefore minimize adjacent-channel interference","Channels reserved only for emergency services","Channels used only in the 6 GHz band",2
"In the 2.4 GHz band, which set lists the commonly used non-overlapping channels in most regions?","Channels 2, 7, and 12","Channels 1, 6, and 11","Channels 3, 8, and 13","Channels 4, 5, and 9",2
"What is the main purpose of the standard known as 802.11h?","To define wireless names and passwords","To provide radar avoidance and power control (dynamic frequency selection and transmit power control) in 5 GHz bands","To require the use of virtual private networks on guest networks","To enable mesh networking between routers",2
"Which scenario best fits choosing a narrower channel width (for example, 20 megahertz) over a wider one?","You need the highest possible single-client throughput on an empty spectrum","You want to minimize interference and fit more clean channels in a congested environment","You are designing a short-range point-to-point bridge","You must support only legacy wired clients",2
"Why might a wider channel width (for example, 80 or 160 megahertz) be undesirable in a busy office?","It increases encryption overhead","It decreases the basic service set identifier range","It uses more spectrum and is more susceptible to interference from neighboring access points","It prevents roaming between access points",3
"Which frequency band is typically most congested due to many consumer devices like microwaves and Bluetooth?","2.4 GHz","5 GHz","6 GHz","10 GHz",1
"Which frequency band generally offers the greatest number of non-overlapping channels for high-density deployments (with compatible hardware)?","2.4 GHz","5 GHz","6 GHz","3 GHz",3
"Compared with 2.4 GHz, 5 GHz typically provides:","Longer range and better wall penetration","Fewer channels but better propagation","More channels and less interference, but shorter range and poorer wall penetration","Identical characteristics in all environments",3
"What is band steering?","Automatically forcing all devices to use 2.4 GHz","Encouraging dual-band clients to join higher-capacity bands (5 or 6 GHz) to reduce congestion on 2.4 GHz","Switching clients to cellular data when Wi-Fi is busy","Blocking legacy clients from joining the network",2
"What is a Service Set Identifier (SSID)?","The media access control address of a radio","The human-readable name that identifies a wireless network","The encryption algorithm used by the network","The channel number for 5 GHz networks",2
"What is a Basic Service Set Identifier (BSSID)?","A human-readable network name shared by multiple access points","A unique identifier (typically the radio’s media access control address) for a single access point radio","A list of channels available in a country","A password used for enterprise authentication",2
"What is an Extended Service Set Identifier (ESSID)?","A per-radio identifier used for roaming decisions","The identifier for a collection of access points broadcasting the same network name to form one logical wireless network","A temporary guest network identifier","An antenna model number",2
"Relationship: How do SSID, BSSID, and ESSID relate?","SSID and BSSID are identical values; ESSID is unrelated","SSID is the readable network name; each radio that serves it has its own BSSID; the same SSID across multiple radios forms an ESS (extended service set) identified by the ESSID","BSSID names the network; SSID identifies the radio; ESSID is optional and unused","ESSID is only used for guest portals; SSID/BSSID are for private networks",2
"Which network type uses peer-to-peer links without an access point?","Infrastructure","Ad hoc","Mesh network with controller","Point-to-multipoint cellular",2
"Which network type uses multiple access points to extend a single wireless network for client access?","Infrastructure","Ad hoc","Point-to-point","Personal area network",1
"Which description best fits a wireless mesh network?","Two radios connected by an ethernet cable","Multiple wireless nodes forwarding traffic for each other to extend coverage or backhaul","A single radio with a high-gain directional antenna","A network that requires no configuration",2
"Which scenario is ideal for a point-to-point wireless link?","Connecting two buildings across a parking lot using directional antennas","Providing general client access inside an office","Roaming support inside a warehouse","Providing cellular backup for a branch",1
"What is Wi-Fi Protected Access 2 (WPA2)?","A guest portal technology","A wireless encryption and authentication standard based on Advanced Encryption Standard with pre-shared key or enterprise modes","A 5 GHz channel plan","A type of antenna",2
"What improvement is central to Wi-Fi Protected Access 3 (WPA3) compared with Wi-Fi Protected Access 2?","It removes encryption to improve speed","It introduces Simultaneous Authentication of Equals for stronger password-based authentication and improved protections against offline guessing","It requires all access points to be mesh nodes","It uses only the 2.4 GHz band",2
"Which statement compares Wi-Fi Protected Access 2 and Wi-Fi Protected Access 3 correctly?","Both require open authentication only","Wi-Fi Protected Access 3 strengthens authentication and security features relative to Wi-Fi Protected Access 2","Wi-Fi Protected Access 2 is stronger than Wi-Fi Protected Access 3","They are unrelated to wireless security",2
"What is a captive portal?","Automatic channel selection on an access point","A web page that intercepts new client connections for acceptance of terms, login, or payment before granting network access","A method of dynamic frequency selection","A portal that converts wireless to wired traffic",2
"Which configuration is best for a visitor network that should not access internal resources?","Enable Wi-Fi Protected Access 3 only","Create a dedicated guest virtual local area network with a captive portal and isolation from production networks","Use the same network as employees with a different password","Use open authentication without any restrictions",2
"What does 'Pre-shared Key (PSK)' mean in wireless authentication?","Each user logs in with a unique certificate","All clients share a single passphrase to join the network","Authentication is performed by a third-party cellular provider","Users are authenticated by their device media access control addresses only",2
"In 'Enterprise' wireless authentication, clients are typically verified by which mechanism?","A single shared passphrase","IEEE 802.1X (port-based network access control) using a Remote Authentication Dial-in User Service server for per-user credentials","A captive portal without credentials","Open authentication with no encryption",2
"When should Enterprise authentication be preferred over Pre-shared Key?","In very small home networks only","When you need per-user credentials, centralized control, and auditing at scale","When devices cannot support encryption","When you want to allow anonymous access",2
"What is an omnidirectional antenna?","An antenna that radiates energy in one narrow direction only","An antenna that radiates roughly evenly in all horizontal directions","An antenna used only indoors","An antenna that requires cellular backhaul",2
"What is a directional antenna?","An antenna with an even radiation pattern in all directions","An antenna that focuses energy into a narrower beam for longer distance or point-to-point links","An antenna that changes bands automatically","An antenna used only for guest networks",2
"You must link two rooftops one kilometer apart. Which antenna choice is best?","Omnidirectional on both ends","Directional antennas aimed at each other","Internal laptop antennas only","No antennas are required",2
"Which statement describes an autonomous access point?","A radio that depends on a central controller for configuration and control","A standalone access point that is configured and managed individually","A device that only supports mesh backhaul","A device that cannot broadcast an SSID",2
"Which statement describes a lightweight access point?","A standalone access point with a built-in controller","A radio that offloads most control and management to a separate wireless controller","A device used only for point-to-point links","A device that supports wired routing only",2
"When might a lightweight access point architecture be favored over autonomous?","In a tiny office with one access point","When centralized policy, roaming optimization, and scalable management are required across many access points","When there is no controller available and each device must be configured separately","When no encryption is desired",2
"Clients crowd the 2.4 GHz band even though 5 GHz coverage exists. What feature should you tune first?","Captive portal settings","Band steering to encourage capable clients to 5 GHz","Directional antenna alignment","Disable encryption",2
"Your office experiences frequent disconnections when weather radar is active on nearby frequencies. Which standard or setting is most relevant?","Disable all 5 GHz radios","Apply 802.11h functions such as dynamic frequency selection and transmit power control","Switch to 2.4 GHz only","Use captive portals for all clients",2
"A warehouse needs maximum single-client throughput for scanning stations with little nearby Wi-Fi. Which choice is best?","Use narrow 20 megahertz channels everywhere","Use wider channels (for example, 80 megahertz) where spectrum is clear and client hardware supports it","Use only 2.4 GHz channels","Disable roaming",2
"Which option pairs correctly with its benefit?","Omnidirectional antenna — long narrow beam for point-to-point","Directional antenna — focused beam that improves range and signal in the target direction","Band steering — forces all devices to 2.4 GHz","Captive portal — provides encryption keys to clients automatically",2
"Which statement about mesh networks and infrastructure networks is accurate?","Mesh networks require an access point for each client","Infrastructure networks rely on access points for client access; mesh adds wireless backhaul links between nodes to extend coverage","Mesh and infrastructure are identical","Infrastructure networks never use wired connections",2
