Q,Option1,Option2,Option3,Option4,Correct
"What does a Domain Name System 'Address (A)' record map?","Hostnames to IPv6 addresses","Hostnames to IPv4 addresses","Mail domains to mail exchangers","Text notes only",2
"What does a Domain Name System 'AAAA' record map?","Hostnames to IPv6 addresses","Hostnames to IPv4 addresses","Alias to canonical name","Zone transfers",1
"What is a Domain Name System 'Mail Exchanger (MX)' record?","Stores encryption keys","Specifies the mail server responsible for accepting email for a domain","Maps service names to ports","Blocks spam",2
"What is a Domain Name System 'Text (TXT)' record used for?","Routing frames","Storing free-form text data used for verification such as Sender Policy Framework or DomainKeys Identified Mail","Assigning Internet Protocol addresses","Enabling Dynamic Host Configuration Protocol",2
"What does Sender Policy Framework (SPF) help with?","File sharing","Specifies which mail servers are allowed to send on behalf of a domain to reduce spoofing","Increasing Wi-Fi speed","Assigning Media Access Control addresses",2
"What does DomainKeys Identified Mail (DKIM) provide?","Dynamic Host Configuration Protocol leasing","Cryptographic signing of email headers/body so receivers can verify the message is authorized and unaltered","Network Address Translation","Web caching",2
"What is Domain-based Message Authentication, Reporting, and Conformance (DMARC)?","A type of spam filter that blocks images","A policy that tells receivers how to handle messages that fail Sender Policy Framework or DomainKeys Identified Mail validation and where to send reports","A Domain Name System resolver","A wireless controller feature",2
"In Dynamic Host Configuration Protocol, what is a 'lease'?","A static entry for printers only","The time period a client may use an assigned address before renewal","A Domain Name System zone file","A firewall rule",2
"What is a Dynamic Host Configuration Protocol 'reservation'?","Blocking a client from leasing","Permanently mapping a client’s hardware address to a specific Internet Protocol address so it always gets the same one","Enabling roaming","A type of encryption",2
"What is a Dynamic Host Configuration Protocol 'scope'?","A power setting","The defined range of Internet Protocol addresses and options that the server can hand out on a subnet","A Domain Name System name","A wireless channel",2
"What is a Virtual Local Area Network (VLAN)?","A wireless security mode","A logical network that segments ports on the same switch into separate broadcast domains","A type of Wide Area Network","A fiber connector",2
"What is a Virtual Private Network (VPN)?","A public hotspot","An encrypted tunnel over an untrusted network that provides private connectivity","A type of switch","A Domain Name System alias",2
"An organization wants to separate voice phones and computers on the same switch for security and quality. Which configuration fits?","Virtual Private Network","Virtual Local Area Network segmentation with appropriate policies","Dynamic Host Configuration Protocol reservation only","Domain Name System alias",2
"Emails from your domain are landing in recipients’ spam folders due to 'spoofing' concerns. Which records are most relevant to fix?","Only Address records","Sender Policy Framework, DomainKeys Identified Mail, and Domain-based Message Authentication, Reporting, and Conformance in Domain Name System Text records","Only Mail Exchanger records","Virtual Private Network settings",2
"A server must keep the same address but still use Dynamic Host Configuration Protocol. Best approach?","Set a shorter lease","Create a Dynamic Host Configuration Protocol reservation for its hardware address","Switch to Automatic Private Internet Protocol Addressing","Disable Dynamic Host Configuration Protocol globally",2
