Q,Option1,Option2,Option3,Option4,Correct
What does device placement refer to in enterprise infrastructure,Choosing devices based on brand,Positioning devices to optimize performance and security,Assigning IP addresses to devices,Labeling devices with asset tags,2
What is the purpose of security zones in a network,To separate power supplies,To classify data types,To isolate and protect different areas based on trust levels,To mark hardware warranty periods,3
What does attack surface refer to in cybersecurity,The number of physical machines in a server room,The total points where unauthorized access can be attempted,The number of users with access,The amount of firewall rules used,2
What does connectivity refer to in network infrastructure,The amount of stored data,The physical cable types used,The method and quality of device intercommunication,The operating system version,3
What is a fail-open failure mode,Devices shut down when an error occurs,Access is denied by default,Security controls allow traffic in case of failure,Network ports lock automatically,3
What is a fail-closed failure mode,Devices log errors but continue operation,Access is denied when a system fails,Security controls disable alarms,Traffic bypasses firewalls entirely,2
What distinguishes active device attributes,They passively log traffic,They actively engage in traffic processing and enforcement,They only operate during the day,They require no configuration,2
What does it mean when a device is passive,It processes packets in-line,It performs no traffic inspection,It monitors traffic without interfering,It initiates secure communication,3
What does an inline device do,It logs events post-factum,It analyzes backups only,It intercepts and processes network traffic in real time,It powers off during updates,3
What is a tap or monitor mode in networking,It blocks unwanted protocols,It captures and analyzes traffic without affecting flow,It replaces firewall filters,It scans for firmware versions,2
What is a jump server used for,User authentication,Database replication,Secured access to isolated network zones,Email filtering,3
What function does a proxy server perform,File system encryption,Blocking wireless connections,Acting as an intermediary between clients and servers,Restarting systems automatically,3
What is the purpose of an intrusion detection system,To provide internet access,To detect and alert on suspicious network activity,To balance server traffic,To store backups,2
What is the role of an intrusion prevention system,To prevent overheating,To detect and block malicious activity in real time,To control device power states,To sync directories,2
What does a load balancer do,Detect viruses,Monitor login attempts,Distribute network traffic across multiple servers,Patch software automatically,3
What is the role of network sensors,To install antivirus updates,To collect data and detect anomalies in traffic,To display network maps,To replace switches,2
What does 802.1X refer to,WiFi frequency standard,Network port-based authentication mechanism,Storage encryption method,Cloud backup process,2
What is Extensible Authentication Protocol used for,Routing packets,Wireless access point configuration,Framework for multiple authentication methods,Encrypting browser data,3
What is a web application firewall designed to protect,Email messages,Database backups,Web applications from common attacks,Virtual machines,3
What does unified threat management refer to,Manual patching of devices,Single solution integrating multiple security functions,Running only one operating system,Disabling external ports,2
What is a next-generation firewall,Outdated firewall models,A firewall with minimal features,A security device with advanced inspection and application awareness,A device that only filters MAC addresses,3
What is the function of a Layer 4 firewall,Filter based on user behavior,Inspect application content,Filter traffic based on IP address and port number,Encrypt HTTPS traffic,3
What does a Layer 7 firewall inspect,IP addresses,Transport layer segments,Application layer content such as HTTP headers,Switch firmware versions,3
What is a virtual private network used for,Transmitting unencrypted files,Gaming performance,Establishing secure encrypted communication over public networks,Speeding up processor tasks,3
What is remote access in a security context,The ability to restart computers,The ability to access a network from a distant location securely,A type of data storage,A wireless protocol,2
What is tunneling in networking,Sending emails in bulk,Encrypting and encapsulating traffic for secure transmission,Archiving log files,Running scripts on servers,2
What does Transport Layer Security provide,File transfer protocol,Access control,Encryption and integrity for communications,Network segmentation,3
What is Internet protocol security used for,Securing physical servers,Authenticating and encrypting IP packets for secure communication,Filtering spam messages,Overclocking processors,2
What does software-defined wide area network enable,Virtual machine cloning,Dynamic and optimized routing over multiple connections,Changing screen resolutions,Email scanning,2
What is Secure Access Service Edge designed for,Replacing user passwords,Combining network and security functions into a cloud-delivered service,Providing wireless access points,Updating mobile devices,2
