Q,Option1,Option2,Option3,Option4,Correct
"What is device hardening?","Using devices only in labs","Applying security best practices to reduce attack surface (for example, disable unused ports/services, change defaults, patch)","Buying more hardware","Relying only on firewalls",2
"Why disable unused ports and services?","To increase bandwidth","To reduce the number of potential entry points for attackers","To save rack units","To lower warranty cost",2
"Why change default passwords on devices?","Defaults are strong enough","Defaults are widely known and often published; changing them prevents easy compromise","It increases fan speed","It enables jumbo frames",2
"What is network access control (NAC)?","A cable type","A framework that enforces security policy on devices before and after they connect (for example, posture checks and access decisions)","A storage protocol","A routing method",2
"What is port security on a switch?","Dynamic trunking everywhere","Limits on Media Access Control addresses per port with actions on violations (for example, shutdown or restrict)","Only enabling jumbo frames","Using broadcast storm control",2
"What is IEEE 802.1X?","A routing standard","Port-based network access control that authenticates a device/user before granting network access via an authenticator and an authentication server","A power standard","A logging format",2
"What is Media Access Control filtering?","Filtering based on Internet Protocol subnets","Allowing/denying devices based on Media Access Control address lists","A type of encryption","A queuing algorithm",2
"What is key management?","Only choosing long passwords","The lifecycle of cryptographic keys: generation, distribution, storage (including hardware security module use), rotation, and revocation","A rack labeling scheme","A wireless site survey",2
"What is an access control list (ACL)?","A VLAN trunk","An ordered set of permit/deny rules that match fields (for example, IPs, ports) to control traffic","A cabling map","A DNS zone",2
"What is URL filtering?","Blocking all web traffic","Allowing or blocking access based on website Uniform Resource Locators or categories","Encrypting emails","Only scanning attachments",2
"What is content filtering?","Filtering by device Media Access Control address","Inspecting traffic content to allow/block by keywords, file types, or reputation, regardless of the specific Uniform Resource Locator","A routing decision","A power policy",2
"Which statement contrasts URL filtering and content filtering correctly?","URL filtering inspects payloads deeply; content filtering only checks addresses","URL filtering focuses on destination addresses or categories; content filtering analyzes the payload content itself","Both are identical in function","Neither can block downloads",2
"What are 'trusted' and 'untrusted' zones?","Two wireless channels","Security groupings that define different trust levels; untrusted is external or guest, trusted is internal/controlled","Two default VLAN IDs","Two console speeds",2
"What is a screened subnet (demilitarized zone/DMZ)?","A subnet used only for backups","A network segment exposed to less-trusted networks that hosts public-facing services and is isolated from the internal network by firewalls","A management network","A wireless mesh",2
"Where should a public web server typically reside?","Inside the core internal network only","In a screened subnet (demilitarized zone) between external and internal firewalls","On a guest Wi-Fi","On a supervisor module",2
"Which control most directly enforces 'deny by default, permit by exception' at a router?","Dynamic Host Configuration Protocol","Access control lists with an implicit deny at the end","Simple Network Management Protocol traps","Precision Time Protocol",2
"Which approach best verifies device identity before granting port access on a wired switch?","Media Access Control filtering only","IEEE 802.1X authentication with a RADIUS server","Uniform Resource Locator filtering","Only serial console access",2
"Which control best reduces risk from lost or stolen managed switches that still have default credentials?","Enable spanning tree","Change default passwords and enforce unique admin credentials with password vaulting","Disable high-speed ports","Use only static routes",2
"Which tool limits the impact of a device that fails a posture check (for example, missing patches) at connection time?","Unrestricted virtual local area network","Network access control with quarantine virtual local area network or restricted access policy","Domain Name System over HTTPS","Precision Time Protocol",2
"Which method best restricts which devices can use a given wall jack in a lobby?","Enable jumbo frames","Configure port security with a single allowed Media Access Control and shutdown on violation","Increase power over Ethernet","Use only a web proxy",2
"Which configuration most appropriately protects internal resources while still allowing public access to a mail relay?","Place the server on the internal trusted network and open all ports","Place the server in the screened subnet and permit only required ports through the firewall to it","Block all external traffic","Use Address Resolution Protocol poisoning",2
