Q,Option1,Option2,Option3,Option4,Correct
"What is a Windows workgroup best described as?","A peer-to-peer grouping where each computer manages its own users and shares","A centralized directory service with domain controllers","A cloud-only identity service that replaces local accounts","A hidden wireless network profile",1
"What is a Windows domain best described as?","A centralized directory where accounts, policies, and resources are managed by domain controllers","A temporary ad hoc group for file sharing","A single computer with multiple local users","A guest wireless portal",1
"What are shared resources in Windows?","Folders, printers, or devices made available over the network with permissions","Only printers attached by USB","Files that are copied locally by default","Applications installed for all users",1
"What is a mapped drive in File Explorer?","A drive letter that points to a network shared folder using a UNC path","A virtual disk created from RAM","A compressed archive mounted as a folder","A local partition that hides system files",1
"What role does a file server provide?","Centralized storage and sharing of files with permissions and quotas","Automatic IP addressing to clients","Filtering of web requests and content","Wireless authentication for client devices",1
"What is a firewall exception?","A rule that allows specific traffic through Windows Defender Firewall","A rule that blocks all outbound traffic","A scheduled task that installs updates","A backup of the firewall configuration",1
"In a firewall rule, what do application restrictions control?","Which executable file may send or receive specific traffic","How large a file download may be","Which user accounts can sign in","When the computer can go to sleep",1
"What is an IP addressing scheme on a client?","The plan for static or dynamic addresses, subnet masks, gateways, and ranges","The list of approved wireless networks","The naming rules for computer hostnames","The order in which updates install",1
"What are DNS settings used for on a client?","Resolving hostnames to IP addresses using configured servers","Encrypting web traffic end to end","Advertising the computer to nearby devices","Balancing traffic across multiple links",1
"What does the subnet mask determine?","Which portion of an address is the network and which is the host","Which server performs name resolution","Which wireless band is used","Which process may open a port",1
"What is the default gateway used for?","Forwarding traffic from the local network to other networks such as the internet","Translating names into addresses","Isolating wireless guests from internal devices","Caching frequently used files",1
"What is the key difference between static and dynamic IP on Windows?","Static is manually configured and does not change; dynamic is assigned automatically and may change","Static rotates on each restart; dynamic never changes","Static is wireless only; dynamic is wired only","Static is for servers only; dynamic is illegal on laptops",1
"What is a VPN connection on Windows?","An encrypted tunnel over an untrusted network to a private network","A proxy that rewrites web headers without encryption","A second wireless card used for guests","A feature that disables local printing",1
"What is WWAN connectivity?","Cellular data such as LTE through a mobile broadband adapter","A short range Bluetooth link","A wired Ethernet uplink to a router","A mesh of access points inside one building",1
"What do Windows proxy settings do?","Direct web requests through an intermediary server, optionally with an automatic configuration script","Force all applications to use a VPN","Assign IP addresses to clients","Select the best wireless channel automatically",1
"What is the difference between Public and Private network profiles?","Private enables device discovery and file sharing by default; Public is more restrictive for untrusted networks","Public allows Remote Desktop and Private blocks it","Public uses static addressing and Private uses dynamic","Private disables the firewall and Public enables it",1
"Which is a valid UNC path to a share named Docs on server FS1?","\\\\FS1\\\\Docs","C:\\Docs","http://FS1/Docs","FS1:Docs",1
"What is a metered connection in Windows?","A network marked to limit background data usage such as updates and sync","A secure tunnel that encrypts all traffic","A wireless network that hides its SSID","A power plan that limits CPU usage",1
"Which behavior is most likely on a metered connection by default?","Deferring large updates and pausing some cloud sync activity","Blocking all incoming connections regardless of rules","Disabling the wired adapter automatically","Forcing all traffic through a proxy",1
"You must access a corporate share over the internet. What should you do first?","Create a VPN connection, then map the drive with a UNC path","Change the network profile to Public and browse the share directly","Set the connection to metered and email files","Create a proxy rule pointing to the file server",1
"A user can reach sites by IP numbers but not by names. What setting is most likely wrong?","DNS server addresses","Default gateway address","Subnet mask length","Metered connection flag",1
"A desktop has a valid IP and mask but cannot reach the internet. What is most likely wrong?","Default gateway address","Computer name","Time zone","Wallpaper theme",1
"Where do you change Public vs Private for a connected network?","Settings > Network & Internet > Wi-Fi or Ethernet > Network profile","Control Panel > Administrative Tools > Services","Task Manager > Performance","Device Manager > Network adapters",1
"Where do you configure manual proxy or automatic script?","Settings > Network & Internet > Proxy","Control Panel > System","Settings > Accounts > Sign-in options","File Explorer > Options",1
"What is the first step to map a network drive?","Right-click This PC and choose Map network drive","Open Device Manager and add legacy hardware","Open Services and start the Workstation service","Create a new local user account",1
"How do you share a locally attached printer with another Windows computer?","Share the printer from Printers & Scanners and connect using its shared name","Turn on Internet Connection Sharing for the printer","Add the printer to the proxy list","Switch the network profile to Public",1
