Q,Option1,Option2,Option3,Option4,Correct
"What does intermittent wireless connectivity most often indicate?","Healthy Wi-Fi","Radio frequency (RF) interference, low signal, roaming misconfigurations, or power-saving settings","Bad printer toner","Wrong wallpaper",2
"Which factor commonly causes slow speeds on a wired link?","Bright monitor","Duplex or speed mismatch between the switch and the network interface card (NIC)","Low speaker volume","Wrong wallpaper",2
"What does a limited connectivity status usually mean?","Everything is fine","Client has an IP address but cannot reach the gateway or Domain Name System (DNS) - often due to wrong static settings or expired lease; sometimes Automatic Private IP Addressing (APIPA)","Only the monitor is off","Hard drive full",2
"What is jitter in networking?","Average throughput","Variation in packet delay that disrupts real-time streams such as voice and video","Total bandwidth","Signal strength only",2
"Poor Voice over Internet Protocol (VoIP) quality is most directly tied to which metrics?","Frame rate and pixels","Latency, jitter, and packet loss - improve with Quality of Service (QoS) and stable links","Keyboard repeat rate","Display resolution",2
"What is port flapping on a switch?","High utilization only","Link rapidly goes up and down due to bad cabling, auto-negotiation issues, or failing hardware","Stable link","Power saving",2
"Which cause often produces high latency on a path?","New wallpaper","Congestion, long distance, or queuing - use path tests and Quality of Service (QoS)","CPU speed","Bluetooth enabled",2
"Which household device commonly creates interference near 2.4 GHz?","A wired mouse","Microwave oven or Bluetooth devices","Inkjet printer","USB flash drive",2
"A user far from the access point (AP) gets frequent drops. Best fix?","Lower transmit power","Add another access point or relocate closer; consider 5 GHz vs 2.4 GHz as appropriate","Disable encryption","Change wallpaper",2
"A wired client connects at 100 Mbps instead of 1 Gbps. First check?","Printer drivers","Cable quality (Category 5e or Category 6), connectors, and auto-negotiation settings","Monitor brightness","CPU temperature",2
"A user receives an Automatic Private IP Addressing (APIPA) address 169.254.x.x. What does this imply?","Healthy Dynamic Host Configuration Protocol (DHCP) service","Client could not reach the Dynamic Host Configuration Protocol (DHCP) server - check scope, relay, and connectivity","Incorrect screen saver","Corrupt graphics driver",2
"Which action helps stabilize voice and video across a mixed network?","Disable Quality of Service","Enable Quality of Service (QoS) markings and prioritize real-time traffic while monitoring for jitter and loss","Lower screen resolution","Change wallpaper",2
