Q,Option1,Option2,Option3,Option4,Correct
"What is Video RAM (VRAM) in common usage?","The Windows swap file on disk","Memory dedicated to graphics processing, either on a graphics card or integrated package","Any removable laptop memory module","Only cache inside the CPU",2
"What is Small Outline Dual Inline Memory Module (SODIMM)?","A desktop full size memory module","A smaller laptop and small form factor memory module type","A permanent chip soldered to the motherboard","A graphics only memory chip",2
"What is Double Data Rate 3 (DDR3) memory?","The latest desktop memory","An older DDR generation not pin compatible with DDR4 or DDR5","Only used for graphics","Same notch as DDR4",2
"What is Double Data Rate 4 (DDR4) memory known for versus DDR3?","Lower typical voltage and higher bandwidth; not pin compatible with DDR3","Uses the same physical notch as DDR3","Only works in laptops","Is the same as SODIMM",1
"What is Double Data Rate 5 (DDR5) memory?","A graphics only memory","The newest mainstream DDR generation with further bandwidth and efficiency increases; not pin compatible with DDR4","A type of cache","A storage module",2
"What does Error Correction Code (ECC) RAM provide?","Extra capacity only","Detection and correction of single bit errors to improve reliability when supported by the system","Higher frame rates","Wireless connectivity",2
"Which systems typically support ECC RAM?","Most consumer laptops by default","Servers and workstations with ECC capable motherboards and processors","Any device with SODIMM slots","USB peripherals",2
"What is 'single channel' in memory configuration?","One memory module operating on a single 64 bit bus to the controller","Two modules synchronized for double bandwidth","Four modules in parallel with error correction","A graphics only path",1
"What is 'dual channel' memory?","Two matched modules accessed in parallel to increase memory bandwidth","One module with higher speed","ECC only configuration","Two different capacities in any slots with no effect",1
"What is 'triple channel' memory?","Three unrelated modules in any slots","Three modules accessed in parallel on platforms that support it","ECC with three parity bits","A laptop only feature",2
"What is 'quad channel' memory?","Four channels used in parallel on supported platforms to increase bandwidth","Four random sticks in any board","Only for DDR3","A graphics memory feature",1
"When installing RAM, what is the most important physical alignment check?","Keyed notch on the module must match the slot to avoid damage","Heatsink size","Sticker color","Case fan direction",1
"A desktop supports dual channel and has four slots labeled A1 A2 B1 B2. Which population enables dual channel with 2 sticks?","Install both in A1 and A2","Install in A1 and B1 or follow the manual for matching colored slots","Install in any two slots randomly","Install in B1 and B2 only",2
"A laptop requires more memory and uses SODIMM DDR4. Which statement is correct?","Any DDR3 SODIMM will also work","Use DDR4 SODIMM modules that match the specification; DDR3 will not fit or operate","Use desktop DIMMs for better performance","ECC is required",2
"Mixing ECC and non ECC in most boards that support ECC will result in what?","ECC always enabled","Usually a boot failure or ECC disabled depending on the board; mixing is not recommended","Improved speed","No impact ever",2
"What is 'virtual memory' on a desktop?","Extra physical memory modules","Disk space used as temporary memory when physical RAM is insufficient","Video RAM on the GPU","Cache only",2
"A system powers on but repeatedly beeps and shows no display after a RAM upgrade. First best step?","Force the modules in harder","Remove and reseat modules, verify the correct type and notch alignment, and test one at a time","Replace the power supply","Clear the CMOS immediately without checks",2
"Which statement about RAM speed is correct?","Higher rated speed always runs at that speed automatically","Module speed is limited by the slowest module and the motherboard capability","Speed is determined only by the CPU fan","Speed does not matter",2
"You must maximize throughput on a workstation that supports quad channel operation. Best practice?","Install one very large module","Install four identical modules in the correct color coded slots for quad channel","Mix different sizes across any slots","Use only two modules",2
"A board lists support for DDR5 non ECC only. Which RAM will fit and function?","DDR4 ECC","DDR5 non ECC DIMMs of supported speed","DDR3 SODIMM","Any DDR generation",2
