Q,Option1,Option2,Option3,Option4,Correct
What is the primary purpose of internal compliance reporting,To fulfill legal obligations,To provide updates to stakeholders,To assess organizational adherence to internal policies,To monitor external vendor behavior,3
What is external compliance reporting used for,To update management on employee performance,To document adherence to regulatory requirements,To identify system vulnerabilities,To schedule software updates,2
What is a common financial consequence of failing to meet regulatory requirements,Warning letter,Fines,Suspension,Investigation,2
Which type of consequence can damage an organization's public image due to non-compliance,Sanctions,Reputational damage,Fines,Legal dispute,2
What result can occur if a company fails to follow legal or industry rules,Loss of license,New contract,Service expansion,Customer feedback,1
What contractual issue may arise from failure to meet compliance obligations,Breach of trust,Contractual impacts,Unclear guidelines,Policy review,2
Which practice helps ensure a company follows required legal and ethical standards,Compliance monitoring,Risk assessment,Policy drafting,Incident detection,1
What is due diligence in the context of compliance,Following up on alerts,Monitoring user activity,Performing necessary research and verification,Tracking help desk tickets,3
What is the purpose of attestation and acknowledgement in compliance,To encrypt data,To define privacy policies,To confirm understanding and agreement,To perform audits,3
How does internal compliance monitoring help a company,By tracking competitors,By identifying policy violations within the organization,By improving product design,By testing system performance,2
What is the role of external compliance monitoring,To ensure vendors meet contract terms,To evaluate internal employee training,To track resource allocation,To monitor system uptime,1
How does automation benefit compliance monitoring,It removes human oversight,It increases policy complexity,It reduces time and improves consistency,It delays incident reporting,3
What do legal implications of privacy vary by,Encryption standard,Compliance software,Jurisdiction,Firewall configuration,3
Who is the individual whose personal information is being collected or processed,Compliance officer,System administrator,Data subject,Controller,3
In data processing, what is the main role of the controller,To transmit data,To collect and decide how data is used,To store data in backup systems,To audit data logs,2
What is the processor's responsibility regarding data,To determine how data is used,To sell data to third parties,To process data on behalf of the controller,To enforce access restrictions,3
What does ownership of data refer to,Control of system logs,Responsibility for securing data,Legal right to the data,Creation of encryption protocols,3
What is data inventory and retention used for,To track employee behavior,To identify stored data and determine how long to keep it,To back up operating systems,To update firewall settings,2
What does the right to be forgotten allow individuals to do,Transfer data to others,Encrypt their data,Request deletion of their personal data,Audit company policies,3
How does internal compliance reporting differ from external compliance reporting,It focuses on public metrics,It evaluates third parties,It is used within the organization to assess internal controls,It enforces federal regulations directly,3
What distinguishes fines from sanctions as consequences of non-compliance,Fines are criminal penalties while sanctions are always financial,Fines are monetary penalties while sanctions may include restrictions,Fines require court action while sanctions do not,Fines are applied internally while sanctions are external,2
Which best differentiates reputational damage from loss of license due to non-compliance,Reputational damage affects internal morale while license loss affects finances,Reputational damage is a financial penalty while license loss is a public review,Reputational damage affects public perception while license loss removes legal operation rights,Reputational damage is temporary while license loss is permanent,3
How do contractual impacts of non-compliance differ from regulatory impacts,Contractual impacts are based on internal policy,Contractual impacts involve agreements between private parties while regulatory impacts stem from laws,Contractual impacts are enforced by auditors,Contractual impacts are voluntary measures,2
What is the primary distinction between due diligence and attestation in compliance monitoring,Due diligence is internal reporting while attestation is for regulators,Due diligence is research and verification while attestation is formal acknowledgment,Due diligence is about encryption while attestation involves user behavior,Due diligence is required by law while attestation is optional,2
