Q,Option1,Option2,Option3,Option4,Correct
"What is the first router hardening step for a new small office or home gateway?","Change default administrator credentials","Turn off Dynamic Host Configuration immediately","Disable all radios","Enable guest network by default",1
"What does Internet Protocol address filtering on a small office or home router do?","Allows or blocks traffic based on source or destination Internet Protocol addresses","Moves devices to a new subnet automatically","Enables cellular failover","Creates new user accounts",1
"Why apply firmware updates on a router or access point?","Patch security flaws and improve stability","Increase maximum antenna gain","Add more switch ports","Improve screen brightness",1
"What is content filtering used for?","Blocking categories or sites that violate policy or are risky","Boosting signal strength","Encrypting the management page only","Improving print quality",1
"Why does physical placement of the router matter for security?","It limits signal leakage and reduces tampering risk","It adds more Dynamic Host Configuration scope options","It creates more virtual networks automatically","It increases warranty length",1
"What is a reservation in Dynamic Host Configuration?","A mapping of a device hardware address to a fixed Internet Protocol address within the scope","A pool of public Internet addresses from the provider","A static route to another network","A method to throttle bandwidth",1
"When would a static public Internet address be used in a small office or home network?","When hosting services that need a consistent public address","When no devices use wireless","To prevent wired devices from connecting","To disable firewall features",1
"What is Universal Plug and Play on consumer routers?","Automatic port mapping and service discovery that can expose services if abused","A mode that disables encryption","A cellular data feature","A method to block ads",1
"What is a screened subnet in a small office or home network?","A separate network segment used to isolate exposed devices such as cameras","A shielded Ethernet cable","A hidden network name on the main network","A private Internet Protocol version 6 range",1
"What does changing the wireless network name accomplish?","It removes default identifiers and helps separate networks by name","It raises encryption strength","It hides the network from all devices","It adds more channels to 2.4 GHz",1
"What is the impact of disabling broadcast of the wireless network name?","The name is not advertised but is still discoverable and provides little security benefit","The network becomes fully invisible and secure","Clients cannot connect at all","Encryption is disabled",1
"Which wireless setting most directly protects confidentiality?","Use Wi-Fi Protected Access 3 or Wi-Fi Protected Access 2 with Advanced Encryption Standard","Change the channel weekly","Reduce transmit power only","Disable Dynamic Host Configuration",1
"What is a guest network used for?","Isolating visitor traffic from the internal network","Increasing speed for known devices","Providing access to the router admin page","Sharing internal printers by default",1
"Why might you disable guest access on a small office network?","To prevent untrusted devices from reaching any internal resources","To force devices to use 2.4 GHz only","To enable static routing","To allow Universal Plug and Play to work",1
"Why change wireless channels on the 2.4 GHz band?","To reduce co-channel and adjacent-channel interference","To increase encryption key length","To enable radar detection for all clients","To create a hidden network name",1
"What does disabling unused firewall ports do?","Reduces attack surface by preventing unwanted inbound traffic","Forces all traffic to use port 8080","Speeds up the processor by fifty percent","Blocks all outbound connections",1
"What is port forwarding?","Mapping an external port to an internal host and port for a specific service","Blocking a port on the switch","Mirroring switch traffic for analysis","Assigning a static address via Dynamic Host Configuration",1
"A user enabled Universal Plug and Play to make a game work but security is a concern. What is the safer approach?","Manually create required port forwarding rules and leave Universal Plug and Play disabled","Turn off the firewall entirely","Enable demilitarized zone host for the entire computer","Change the network name to default",1
"Which combination best hardens a small office or home wireless network?","Strong passphrase, disable Wi-Fi Protected Setup, update firmware, and restrict admin access","Use open authentication, disable firewall, and enable Universal Plug and Play","Hide the network name and leave default password","Reduce transmit power and use Wired Equivalent Privacy",1
"How can you limit exposure of the router administration interface from the internet?","Disable remote management or restrict it to a virtual private network or specific source addresses","Enable Universal Plug and Play for admin","Open port 80 to the world","Use the same password as the wireless network",1
"Why keep router time accurate?","Because log timestamps and certificate checks rely on correct time","To improve antenna alignment","To increase Dynamic Host Configuration pool size","To reduce packet fragmentation",1
"A smart camera must be reachable from outside with minimal risk. What is the best design?","Place it in a screened subnet or guest virtual local area network and forward only needed ports","Place it on the main network with Universal Plug and Play","Expose the router admin page","Disable the firewall",1
"A small office wants to block adult sites on all clients. Which setting helps?","Enable content filtering with the desired categories or use a Domain Name System filter","Disable broadcast of the network name","Change the local network address range","Assign a static public address",1
"Which control prevents nearby users from guessing the wireless key by push button?","Disable Wi-Fi Protected Setup and use a strong passphrase","Use hidden network name only","Use open authentication","Enable Universal Plug and Play",1
"How do you prevent router admin exposure to the internet?","Disable remote management or restrict it to a virtual private network or specific source addresses","Allow admin over unencrypted web from any host","Enable Universal Plug and Play for admin","Change only the network name",1
"A device needs inbound access. What is the least exposed approach?","Single port forward to the device with a screened subnet or guest virtual local area network","Enable demilitarized zone host for the device","Turn off the firewall","Open all ports temporarily",1
