Q,Option1,Option2,Option3,Option4,Correct
"What is a private cloud?","Services delivered over the public Internet shared by anyone","Resources dedicated to a single organization, hosted on-premises or in a provider’s isolated tenant","A mix of two providers used alternately","A file sharing site only",2
"What is a public cloud?","Exclusive infrastructure for one company only","Services offered by a provider to multiple customers over the Internet on shared infrastructure","Hardware you buy and rack yourself","Peer-to-peer file sync only",2
"What is a hybrid cloud?","A single data center with two rooms","Combination of private and public clouds with data or workload portability between them","Only on-premises virtualization","Two Internet connections to one site",2
"What is a community cloud?","Consumer file sharing","Cloud environment shared by organizations with common interests or compliance needs","Personal backup service","An intranet web server",2
"What is Infrastructure as a Service (IaaS)?","Provider runs the apps for you","Provider offers virtualized compute, storage, and networking; you install and manage operating systems and apps","Only a file sync product","Email hosting only",2
"What is Platform as a Service (PaaS)?","Provider delivers a runtime platform and managed services for you to deploy code without managing the operating system","Raw virtual machines only","End-user applications","Backup only",1
"What is Software as a Service (SaaS)?","Provider hosts the complete application that users access via web or client; no infrastructure or platform to manage","Only developer tools","Only virtual machines","Bare-metal servers",1
"What does 'shared resources' mean in cloud computing?","Dedicated hardware per customer","Multi-tenant infrastructure where physical resources are pooled and abstracted by the provider","Users share logins","Public Wi-Fi sharing",2
"What is 'metered utilization'?","Flat monthly fee with no measurement","Billing based on actual resource consumption such as CPU hours, storage, or data transfer","Only yearly licensing","Pay for hardware up front",2
"What is 'rapid elasticity'?","Manual server installs","Ability to scale resources up or down quickly and automatically based on demand","Quarterly capacity planning only","One-time burst credits",2
"What is 'high availability' in cloud design?","Single server with nightly backups","Architecture built to minimize downtime using redundancy and failover across zones or regions","Turning off updates","Only UPS power",2
"What is 'file synchronization' in cloud services?","Email archiving only","Automatic replication of user files across devices and cloud storage with versioning","RAID inside a server","Only local backups",2
"What is Virtual Desktop Infrastructure (VDI) on premises?","Remote desktops provided by a public provider only","Desktops hosted in your own data center and accessed remotely by users","Only laptops with docking stations","A browser plug-in",2
"What is VDI in the cloud?","Local Windows install","Provider-hosted virtual desktops delivered over the Internet","Only Remote Desktop Protocol with no servers","A VPN replacement",2
"Which model best fits strict data-residency and full control requirements?","Public cloud","Hybrid cloud with sensitive data on private resources","Community cloud only","Consumer SaaS",2
"A startup wants to deploy an app fast without managing operating systems. Best fit?","Infrastructure as a Service","Platform as a Service","Software as a Service","Private cloud only",2
"A small firm needs email and collaboration with minimal IT staff. Best fit?","Software as a Service suite","Build private mail servers","Platform as a Service","Bare-metal IaaS",1
"Which feature most directly enables automatic scaling during a marketing campaign spike?","High availability","Rapid elasticity","File synchronization","Community cloud",2
"Which statement correctly compares public and private cloud?","Public maximizes control; private maximizes shared responsibility","Public provides rapid elasticity and lower upfront cost; private provides greater control and customization","They are identical in responsibility models","Private is always cheaper",2
"A team needs graphical desktops for contractors with no data stored locally. Best choice?","On-premises installs with shared folders","Virtual Desktop Infrastructure hosted in the cloud with profile and file synchronization","USB boot sticks","VPN only",2
"How does file synchronization differ from backup in cloud services?","They are identical","Sync mirrors current state across devices; backup keeps historical versions for recovery even if files are deleted locally","Backup only copies once","Sync is offline only",2
