Q,Option1,Option2,Option3,Option4,Correct
"What does Microsoft Defender Antivirus provide when turned on?","Real-time and scheduled antimalware protection","Full-disk encryption for all drives","Packet capture and analysis","Centralized directory authentication",1
"Why are Defender definition updates important?","They add new threat signatures and engine updates","They disable User Account Control prompts","They erase quarantined files automatically","They convert local accounts to Microsoft accounts",1
"What is the main function of Windows Firewall on a workstation?","Filter inbound and outbound traffic based on rules","Provide file-level encryption","Create user accounts","Manage domain policies",1
"When should you create a port rule in Windows Firewall?","To allow or block a specific port number such as Transmission Control Protocol 3389","To force apps to run as administrator","To enable full-disk encryption","To add a new local user",1
"What is an application rule in Windows Firewall?","A rule that allows or blocks a specific executable regardless of port","A rule that changes the desktop wallpaper","A rule that disables sleep mode","A rule that forces password changes",1
"What is a local account in Windows?","An identity stored on the device and used only on that device","A cloud-based identity that syncs settings","An account created in a directory domain","A guest login that never requires a password",1
"What is a Microsoft account in Windows?","A cloud-backed user identity that can sign in to Windows and sync settings","A temporary account for installers","An account that only exists on the local device","An account that always has administrator rights",1
"What is a standard user account best suited for?","Everyday tasks without system-wide changes","Installing drivers and changing system files","Creating domain policies","Resetting other users' passwords",1
"What can an administrator account do that a standard account cannot?","Install system-wide software and change system settings","Search files with File Explorer","Open a web browser","Change their own desktop background",1
"What is a guest account in Windows?","A very limited local account intended for temporary access and usually disabled by default","An account with domain administrator rights","A cloud-only identity that syncs settings","A standard account for daily use",1
"What is the Power Users group in Windows?","A legacy local group with more rights than standard users but less than administrators, retained for compatibility","A group that controls power settings only","A hidden administrators group","A guest group for visitors",1
"What credential pair unlocks Windows by default?","Username and password","Certificate and smart card only","Personal identification number only","Fingerprint only",1
"How is a personal identification number sign-in different from a password in Windows?","It is tied to the specific device and user and used locally","It is always longer than a password","It replaces the need for encryption","It is stored on a remote server only",1
"What does fingerprint sign-in provide on Windows?","Biometric authentication using an enrolled fingerprint","A second desktop for testing","A file backup to the cloud","A network share mapping",1
"What does facial recognition sign-in provide on Windows?","Biometric authentication using a supported camera and face template","Automatic driver installation","Disk defragmentation","Virtual private network setup",1
"What does single sign-on mean after the first successful logon?","Access to multiple resources without re-entering credentials until the session expires","Two-factor authentication on every app","No credentials are needed again until reboot","Passwords are disabled for all users",1
"What are New Technology File System permissions used for?","To grant or deny rights like read, write, modify, and execute on files and folders","To select wireless networks","To set the screen resolution","To choose a default browser",1
"How do share permissions differ from New Technology File System permissions?","Share permissions control network access to a shared folder; New Technology File System permissions control access on the file system itself","Share permissions control only printers; New Technology File System controls only folders","Share permissions apply locally; New Technology File System applies remotely","They are identical in scope and effect",1
"What are file and folder attributes used for?","To set flags like read-only and hidden that affect behavior and visibility","To assign passwords to files","To set processor priority","To select a display theme",1
"What is permission inheritance on folders?","Child items receive permissions from the parent unless inheritance is blocked","Permissions always reset at reboot","Only files inherit; folders never do","Inheritance applies only to printers",1
"What does Run as administrator do?","Launches a program with elevated privileges after consent","Prevents the program from accessing the network","Runs the program in compatibility mode","Backs up the program automatically",1
"What is the purpose of running a program as a standard user intentionally?","To limit privileges and reduce risk when elevation is not required","To speed up the program using more memory","To force the program to use a proxy","To disable antivirus scanning",1
"What is User Account Control designed to do?","Prompt for consent or credentials before allowing elevation to administrator rights","Block all unsigned applications permanently","Replace passwords with biometrics","Manage wireless profiles",1
"What does BitLocker protect?","Data at rest by encrypting entire drives","Network traffic by encrypting packets","Usernames and passwords during sign-in","Printer queues from tampering",1
"When should you use BitLocker To Go?","When encrypting removable media such as Universal Serial Bus flash drives","When encrypting only one folder on a disk","When capturing network traffic","When joining a directory domain",1
"What is Encrypting File System used for?","Encrypting specific files or folders on New Technology File System volumes tied to a user certificate","Encrypting entire disks including the boot partition","Encrypting wireless traffic","Encrypting only email messages",1
"A user has New Technology File System Modify on a folder but the share permission is Read. What is the user's effective access over the network?","Read","Modify","Full control","No access",1
"After installing a server app, clients cannot connect. What should you check first?","Windows Firewall inbound rules for the app or its listening port","Disk Cleanup schedule","Remote Desktop settings on the client","Time zone configuration",1
"You must protect only one confidential folder on a shared workstation. What should you use?","Encrypting File System on that folder","BitLocker on the entire drive","A new desktop theme","A proxy server",1
"A stolen laptop contained client data. Which feature best limits exposure?","BitLocker full-disk encryption with a recovery key","Disabling the screensaver","Setting a static Internet Protocol address","Using the guest account",1
