Q,Option1,Option2,Option3,Option4,Correct
"What is Dynamic Host Configuration Protocol (DHCP)?","A routing protocol","A service that automatically assigns Internet Protocol configuration such as addresses, gateway, and Domain Name System servers to clients","A file transfer service","A packet capture tool",2
"What is a DHCP reservation?","Blocking a host from leasing an address","A mapping that always assigns the same Internet Protocol address to a specific hardware address","A backup of the scope","A static entry in the hosts file",2
"What is a DHCP scope?","A list of virtual local area networks","A defined pool or range of addresses and parameters that a DHCP server can lease to clients","A routing table","A power budget",2
"What is DHCP lease time?","How long a switch runs","The duration a client may use an assigned address before renewal","The time to boot a router","The age of a cable",2
"What are DHCP options used for?","Specifying cable labels","Providing additional settings such as default gateway, Domain Name System servers, or time servers to clients","Controlling wireless channels","Encrypting Simple Network Management Protocol",2
"What is a DHCP relay or Internet Protocol helper?","A device that converts fiber to copper","A function that forwards client requests across subnets to a remote DHCP server","A power distribution unit","A packet mirror",2
"What are DHCP exclusions?","Addresses reserved for visitors","Addresses deliberately removed from a scope so they are never leased","Only static routes","Only Domain Name System zones",2
"What is Stateless Address Autoconfiguration (SLAAC)?","An Internet Protocol version 4 feature for private addressing","An Internet Protocol version 6 method where hosts self-assign addresses using router advertisements without a server","A Domain Name System security protocol","A time protocol",2
"In Internet Protocol version 6 SLAAC, what do router advertisements supply?","Only hostnames","Network prefixes and flags that tell hosts how to configure their addresses and gateways","Usernames and passwords","Only broadcast addresses",2
"What is Domain Name System (DNS)?","A system to manage power","A hierarchical naming service that maps names to Internet Protocol addresses and other data","A file sync service","A routing protocol",2
"What does Domain Name System Security Extensions (DNSSEC) provide?","Compression of responses","Digital signatures to verify the authenticity and integrity of Domain Name System data","Faster wireless speeds","Automatic addressing",2
"What is DNS over Hypertext Transfer Protocol Secure (DoH)?","Name resolution over Transport Layer Security on a dedicated port","Name resolution carried inside Hypertext Transfer Protocol Secure, blending with web traffic","A routing protocol","A backup tool",2
"What is DNS over Transport Layer Security (DoT)?","Name resolution sent over a dedicated Transport Layer Security session using a well-known port","A file transfer protocol","A wireless encryption type","An address pool",1
"What is an Address (A) record?","A reverse lookup pointer","A mapping from a name to an Internet Protocol version 4 address","An alias to another name","A mail exchanger entry",2
"What is an AAAA record?","An alias to another name","A mapping from a name to an Internet Protocol version 6 address","A text note","A name server pointer",2
"What is a Canonical Name (CNAME) record?","A mapping from a name to an Internet Protocol address","An alias that points one name to another canonical name","A mail exchange entry","A reverse pointer",2
"What is a Mail Exchange (MX) record?","A record for time servers","An entry that designates the mail server responsible for a domain","A reverse pointer","An alias to another name",2
"What is a Text (TXT) record?","A required record for every host","A record that stores arbitrary text such as verification or security policies","A reverse pointer","A simple cache",2
"What is a Name Server (NS) record?","A list of Simple Network Management Protocol managers","A record that indicates the authoritative Domain Name System servers for a zone","A time protocol","A Domain Name System over Hypertext Transfer Protocol Secure endpoint",2
"What is a Pointer (PTR) record?","A forward mapping from a name to an Internet Protocol address","A reverse mapping from an Internet Protocol address to a host name","A certificate","A zone transfer control",2
"What is a forward zone in Domain Name System?","A table of power circuits","A zone that maps host names to Internet Protocol addresses and other data","A list of patches","A backup file",2
"What is a reverse zone in Domain Name System?","A zone for routing tables","A zone that maps Internet Protocol addresses to host names via Pointer records","A zone for Domain Name System over Hypertext Transfer Protocol Secure","A zone for time servers",2
"What is an authoritative response in Domain Name System?","A cached guess","An answer served by the server that owns the zone data","A client broadcast","A response from a time protocol",2
"What is a non-authoritative response in Domain Name System?","An answer from a server using cached or recursive data rather than the primary zone owner","A response that is signed by Domain Name System Security Extensions","A response from a router advertisement","A response from a power unit",1
"What is a primary Domain Name System server?","A server that mirrors another","The server that hosts the writable master copy of a zone","Any server with caching","A time server",2
"What is a secondary Domain Name System server?","A server that holds a read-only copy of a zone obtained via zone transfer","A server that stores Simple Network Management Protocol data","A server that hosts Dynamic Host Configuration Protocol scopes","A server that only provides Domain Name System over Hypertext Transfer Protocol Secure",1
"What is a recursive resolver?","A server that only answers for its own zones","A server that performs queries on behalf of clients to obtain answers from other servers","A server that sends traps","A server that issues router advertisements",2
"What is the hosts file?","A hardware inventory list","A local static file mapping names to addresses on an individual system","A Domain Name System Security Extensions key","A time protocol",2
"What is Network Time Protocol (NTP)?","A routing protocol","A protocol for synchronizing clocks across networks","A file copy protocol","A monitoring protocol",2
"What is Precision Time Protocol (PTP)?","An email protocol","A protocol providing very precise time synchronization, often in local networks and industrial settings","A password exchange","A log format",2
"What is Network Time Security (NTS)?","A replacement for Network Time Protocol","A security mechanism that adds authentication for Network Time Protocol to prevent tampering","A Domain Name System feature","A wireless mode",2
