Q,Option1,Option2,Option3,Option4,Correct
"What is an operating system requirement for an application?","A needed BIOS vendor","A minimum Windows edition or version the app supports","The default browser setting","A mandatory local admin display name",2
"What is a system requirement?","A policy about password length","A hardware or platform need such as CPU, RAM, GPU, or storage","A list of email servers","A wallpaper resolution",2
"What is a video RAM requirement?","Minimum memory on the graphics subsystem needed by the app","The size of system pagefile","Only the resolution supported by the monitor","The amount of cache on the CPU",1
"What is a CPU requirement typically specifying?","Required processor features or minimum performance level","Only the socket type of the motherboard","The number of USB ports","The brand of power supply",1
"What is meant by an external hardware token requirement?","Any Bluetooth headset will work","A USB or other physical dongle must be present for the app to run","An app must use a web proxy","A fingerprint reader is optional",2
"What is a storage requirement?","Only the file system type used by the installer","Minimum free disk space and sometimes performance for install and operation","The number of optical drives needed","Only network folder permissions",2
"What does OS compatibility mean in this context?","The app runs on any OS","The app is tested and supported on specific OS versions and editions","The app needs a specific screen saver","The app only runs with a proxy",2
"What does distribution method ISO mountable indicate?","The installer only ships on DVD media","The installer can be provided as an ISO that Windows can mount as a virtual drive","The app must be installed from the Microsoft Store","The installer requires PXE boot",2
"Which statement best distinguishes OS vs system requirements?","OS requirements cover hardware; system requirements cover editions","OS requirements are about supported Windows versions and editions; system requirements are about CPU, RAM, GPU, and storage","They are identical","System requirements are only about screen resolution",2
"Which choice is an impact to device from a new app?","WAN congestion at a branch","Shift changes in a warehouse","Higher CPU usage and battery drain on laptops","Vendor contract renewal",3
"Which choice is an impact to network from deployment?","Increased sign-in prompts","Bandwidth spikes during downloads and updates","Users need retraining","Laptop fans run quieter",2
"Which choice is an impact to operation?","GPU overheating","New workflow steps and training requirements","NTFS corruption risk","MAC address randomization",2
"Which choice is an impact to business?","License server IP change only","Potential downtime affecting revenue during rollout","Bluetooth pairing prompts","Desktop theme change",2
"A 32-bit desktop app must be deployed to 64-bit Windows 10. What is generally true?","It will never run on 64-bit Windows","Most 32-bit apps run on 64-bit Windows; 32-bit drivers will not","It requires Hyper-V","It must be repackaged as a 64-bit service",2
"Install fails with error: insufficient video memory. What addresses the requirement?","Increase pagefile size","Add or use a GPU that meets the minimum video RAM requirement","Lower audio bitrate","Disable IPv6",2
"An installer refuses to continue because the CPU lacks required instruction set support. Best fix?","Disable Secure Boot","Update the app icon","Use hardware that supports the required CPU features","Change screen resolution",3
"App launches only when a specific USB dongle is inserted. What requirement is this?","Storage capacity","External hardware token","Network bandwidth","Operating system locale",2
"The installer requires 20 GB free on the system drive but only 8 GB is available. Best action?","Ignore the warning","Free space or choose a drive with at least 20 GB free","Lower the screen resolution","Disable hibernation only and proceed without checking",2
"The vendor states Windows 10 version 21H2 or later is required. The PC is on 1909. Best approach?","Proceed; any version is fine","Update Windows to a supported version before installing","Install the app in Safe Mode","Switch to a metered connection first",2
"A large branch office deployment saturates the WAN during app rollout. Best mitigation?","Run all installs at noon","Use staged deployment, off-peak scheduling, and bandwidth throttling or peer caching","Disable the firewall","Force every client to download from the data center at once",2
