Q,Option1,Option2,Option3,Option4,Correct
"What is an 'incorrect cable' in this context?","Any cable over 1 meter","A cable type that does not meet the interface requirement (for example, crossover vs straight-through, fiber vs copper)","A cable with blue color","A cable purchased from a different vendor",2
"What distinguishes single-mode fiber from multimode fiber?","Single-mode uses larger cores and shorter distances","Single-mode uses a small core and lasers for long distance; multimode uses larger cores and LEDs for shorter links","They are identical","Multimode is for outdoor only",2
"What do Category 5/6/7/8 describe?","Firewall rule sets","Twisted-pair cabling categories that specify performance characteristics such as bandwidth and frequency","Fiber connector shapes","Power budgets",2
"What is shielded twisted pair (STP) versus unshielded twisted pair (UTP)?","STP is wireless","STP includes shielding to reduce interference; UTP omits shielding and relies on twist to reject noise","UTP is fiber","They are identical",2
"What is signal degradation?","Increased VLAN count","Loss of signal quality over distance or due to media issues resulting in errors or low throughput","Higher link speed","More switch ports",2
"What is crosstalk?","Heat inside racks","Unwanted coupling of signals between adjacent pairs or cables causing errors","Proper termination practice","Extra bandwidth",2
"What is interference in cabling?","Perfect shielding","External electromagnetic or radio noise that disrupts signals","A routing protocol","Static IPs only",2
"What is attenuation?","Signal amplification","Gradual signal loss over distance or media causing weaker received power","Improved duplex","A patch panel label",2
"What is 'improper termination' for copper?","Using T568A or T568B consistently","Incorrect punch-down or pair order leading to performance issues","Crimping both ends","Using keystone jacks",2
"What does 'Transmitter/Receiver (TX/RX) transposed' mean on fiber?","Correct polarity","Send and receive fibers crossed so devices cannot communicate","Using single-mode instead of multimode","Dirty connectors only",2
"What are 'increasing interface counters' typically a sign of?","Healthy link","Accumulating errors, discards, or retries indicating physical or link issues","Extra bandwidth","Port mirroring enabled",2
"What is a cyclic redundancy check (CRC) error?","A routing loop","A frame fails integrity verification due to bit errors, often from cabling faults or interference","Successful authentication","A VLAN tag",2
"What are 'runts' on an interface?","Frames larger than maximum","Frames smaller than the minimum size, often due to collisions or errors","Only multicast frames","Successful jumbo frames",2
"What are 'giants' on an interface?","Frames larger than the maximum transmission unit or corrupted length frames","Frames smaller than minimum","Only encrypted packets","Normal traffic",1
"What do 'drops' on a switchport typically indicate?","Unlimited buffer space","Frames discarded due to congestion or policy limits","Healthy link","Port is administratively down",2
"What does 'error disabled' status on a switchport mean?","The port is powered off due to heat","The switch has shut the port because a protection feature (for example, port security) was triggered","The cable is longer than recommended","The VLAN is full",2
"What does 'administratively down' indicate?","A cabling fault","The interface is disabled by configuration (shutdown)","The switch is out of licenses","The device is unplugged only",2
"What does a 'suspended' port status commonly mean?","The port is negotiating trunking","The port is temporarily disabled by a protocol or policy (for example, link aggregation mismatch)","The port is powering a phone","The port is mirrored",2
"What is a Power over Ethernet (PoE) incorrect standard issue?","Using the wrong VLAN","Connecting a device requiring IEEE 802.3bt to a switch that only supports 802.3af/at, leading to power faults","Applying jumbo frames","Using a crossover cable",2
"What does 'power budget exceeded' mean for PoE?","The switch has infinite power","Total power draw of attached devices exceeds available PoE power; additional devices may not power on","Only one port can provide power","It affects only fiber links",2
"What is a 'transceiver mismatch'?","Two identical optics","Using optics not supported by the port or mixed standards (for example, single-mode optic on multimode fiber) causing link failure","Mismatched VLANs","Wrong IP address",2
"What does 'signal strength' refer to for optics or wireless links?","Number of cables in a rack","Received power level/quality; too low causes errors or loss","Size of frames","CPU usage",2
"A link comes up but immediately shows many CRC errors after moving a long cable next to a motor. What is the likely cause?","Bandwidth misconfiguration","Electromagnetic interference affecting the cable","Correct termination","Loopback plug left in place",2
"A new fiber patch works only after swapping the two connectors at one end. What was wrong?","Wrong VLAN","Transmitter/Receiver transposed","Duplex mismatch","Power budget exceeded",2
"Phones on a switch intermittently power off when additional access points are connected. Likely cause?","Jumbo frames","Power budget exceeded on the switch’s Power over Ethernet supply","Trunk mode","Wrong default gateway",2
