Q,Option1,Option2,Option3,Option4,Correct
"What does data at rest encryption on a workstation protect?","Stored data on drives when the device is off or lost","Only data in transit across the network","Only files opened in memory","Only files shared over the internet",1
"Which control best protects a stolen laptop's files without changing individual file settings?","Full drive encryption","Hiding sensitive folders","A longer desktop password hint","Turning off wireless adapters",1
"What is the goal of password complexity requirements?","Make passwords harder to guess by requiring varied characters","Force passwords to match user names","Shorten passwords to speed sign in","Eliminate the need for multi factor sign in",1
"What is the purpose of password expiration requirements?","Limit exposure by forcing periodic password changes","Reduce help desk calls","Allow shared accounts","Disable account lockout",1
"What does a Basic Input and Output System or Unified Extensible Firmware Interface setup password do?","Prevents changing firmware settings without the password","Erases the drive on sign in","Enables guest mode","Disables operating system updates",1
"Which action is an end user security best practice?","Lock the screen when leaving the desk","Disable the firewall for speed","Share the password with a teammate","Install any software found online",1
"What is a screensaver lock intended to do?","Require re authentication after inactivity","Reduce processor temperature","Disable the wireless adapter","Speed up video playback",1
"Why should users log off when finished with a shared workstation?","To end sessions and release credentials and mapped resources","To defragment the drive","To reset the wallpaper","To enable hibernation",1
"What is meant by securing critical hardware for a laptop user?","Use cable locks, privacy filters, and do not leave the laptop unattended","Install louder speakers","Use a larger external monitor","Disable all wireless radios",1
"How should personally identifiable information and passwords be stored?","Encrypted and managed in an approved password manager","In a plain text spreadsheet","Written on sticky notes under the keyboard","Printed and filed in a drawer",1
"What does restricting user permissions enforce?","Least privilege so users have only the rights needed for their job","Faster sign in for all users","Guest access for everyone","Administrative rights by default",1
"What is the purpose of restricting login times for some accounts?","Limit when specific users can sign in to reduce off hours risk","Force users to change passwords daily","Disable multi factor sign in","Encrypt data in transit automatically",1
"Why should the guest account be disabled on most workstations?","It provides anonymous or weakly authenticated access","It speeds up sign in","It is required for printing","It is needed for updates",1
"What does a failed attempts lockout policy do?","Locks the account after repeated incorrect sign in attempts","Deletes user profiles on the device","Disables the network adapter","Turns off the firewall",1
"What is a timeout or screen lock policy?","Automatically locks the session after inactivity","Reboots the device every hour","Disables sound after inactivity","Enables airplane mode",1
"Why change the default administrator name and password?","Defaults are widely known and targeted, so changing reduces attack surface","It prevents password expiration","It enables guest access","It disables printing by default",1
"What is the effect of disabling AutoRun?","Prevents programs from launching automatically from removable media","Deletes all content on removable media","Blocks all storage devices","Forces encryption on external drives",1
"What is the effect of disabling AutoPlay?","Stops media content from auto opening when inserted","Forces video playback in low resolution","Disables all Universal Serial Bus power","Deletes temporary files automatically",1
"Which single control most directly limits damage if a laptop is stolen from a car?","Full drive encryption with strong pre boot authentication","Hiding documents in deep folders","A longer desktop background password hint","Using a wired keyboard",1
"A kiosk must allow web browsing but block software installs. What is the best approach?","Use a standard or assigned access account with application allow lists and no administrative rights","Give full administrative rights and ask users to be careful","Enable guest account for convenience","Disable the firewall entirely",1
"A user is locked out during lunch every day. Which two settings should be reviewed together?","Screen lock timeout and login time restrictions","Desktop theme and display resolution","Print queue and default printer","Wireless channel and power plan",1
"Why combine password complexity with account lockout?","Complexity slows guessing and lockout limits attempts","It guarantees zero phishing","It removes the need for encryption","It replaces the need for backups",1
"What is the relationship between AutoRun and malware spread via removable drives?","AutoRun can execute code automatically from media; disabling it reduces that risk","AutoRun speeds up antivirus scans","AutoRun encrypts media by default","AutoRun blocks all file copies",1
"Which firmware control provides stronger protection at boot time?","A power on password that blocks boot without authentication","A desktop wallpaper warning","A large swap file","A louder system beep",1
"A traveling executive wants convenience and strong security. Which set is best?","Full drive encryption, short screen lock timeout, strong password with lockout, multi factor sign in, password manager","Guest account, no lockout, long screen timeout, no encryption, shared passwords","Disable updates, disable firewall, allow any software, share accounts","Only change the device name and wallpaper",1
"An intern needs access to one shared folder until Friday. What should you do?","Create a standard account, grant only that share permission, set account expiration, remove access after Friday","Add the intern to local administrators for one week","Share the entire drive to Everyone","Disable the firewall to allow access",1
"A user never locks the screen when leaving. Which control fixes this without relying on behavior?","Enforce a short inactivity timeout to trigger a screen lock","Post a reminder near the desk","Change the desktop theme","Hide the keyboard",1
"Why is strong password quality still important if full drive encryption is enabled?","Once the device is unlocked, weak passwords still allow misuse of the session","Full drive encryption prevents phishing entirely","Full drive encryption blocks all malware","Full drive encryption removes the need for updates",1
"Why disable AutoPlay even when antimalware is installed?","It removes automatic content execution before antimalware can scan","It speeds up video playback","It disables image previews","It turns off the firewall",1
