Q,Option1,Option2,Option3,Option4,Correct
"What is an Intermediate distribution frame (IDF)?","The building's primary demarcation point for external circuits","A floor- or area-level wiring closet that aggregates access-layer cabling and uplinks to the building backbone","A rack-mounted battery backup unit","A cabinet used only for fiber splicing",2
"What is a Main distribution frame (MDF)?","The central point in a building or campus where backbone cabling and external circuits terminate","A closet on each floor for access switches","A patch panel used for voice only","A dedicated rack for wireless controllers",1
"How do the MDF and IDFs typically connect?","IDFs uplink to the MDF over backbone cabling; the MDF is the central hub","The MDF uplinks to IDFs using short patch cords only","IDFs connect to the MDF only via wireless bridges","They are the same element with different names",1
"In a multi-story office, where should the core router and provider handoff usually reside?","In any floor's IDF","In the Main distribution frame (MDF)","On the roof near antennas","Inside a user cubicle",2
"What does 'rack size' most commonly describe?","The number of servers allowed by license","The standardized 19-inch rack width and height measured in rack units (U)","The weight of the rack in kilograms","The number of power outlets on the rack",2
"What does a '42U rack' indicate?","Forty-two outlets on the power strip","A rack 42 inches wide","Height capacity of forty-two rack units (each 1U ≈ 1.75 inches)","A rack rated for 42 kilowatts",3
"What does 'port-side exhaust/intake' refer to?","The direction of network traffic through the ports","The orientation of device airflow relative to the port side, used to align with hot/cold aisles","The number of fan trays in a chassis","Which side has cable management",2
"If switches have port-side intake, which way should the port side face in hot/cold aisles?","Toward the hot aisle for cooler air","Toward the cold aisle to draw in chilled air","Sideways to the aisle","It does not matter",2
"What is a patch panel?","A device that converts alternating current to direct current","A passive termination panel that organizes copper cabling and allows flexible patching to switch ports","A wireless controller","A battery charger",2
"What is a fiber distribution panel?","A panel for distributing electrical power","A passive enclosure that protects fiber terminations/splices and presents connectors for patching","A load balancer for fiber links","A device that measures optical power only",2
"Why use a patch panel instead of punching horizontal runs directly into a switch?","It increases the speed of the switch","It protects switch ports, simplifies changes, and maintains structured cabling","It provides battery backup for the switch","It eliminates the need for labeling",2
"What does 'lockable' indicate for racks or closets?","They are waterproof","They can be physically secured to restrict access and prevent tampering","They support only fiber","They require no ventilation",2
"An open closet suffers from unauthorized cable unplugging. What control best addresses this?","Use wider wireless channels","Install a lockable rack or cabinet and enforce access control","Lower the switch duplex setting","Disable the captive portal",2
"What is an Uninterruptible power supply (UPS)?","A rack power strip","A device that provides temporary battery power and power conditioning during outages or sags","A generator that supplies power for days","A device that distributes network VLANs",2
"What is a Power distribution unit (PDU)?","A battery that keeps devices online during an outage","A device that distributes electrical power to multiple outlets within a rack; may provide metering or switching","A fiber optic patch panel","A voltage regulator for alternating current only",2
"Which pairing is correct regarding rack power?","UPS provides outlets; PDU provides backup power","UPS provides backup power; PDU distributes outlets in the rack","Both provide long-term power like a generator","Neither is used in racks",2
"What is 'power load' when planning rack power?","The number of devices in a rack","The total electrical demand of connected devices, used to size circuits and UPS capacity","The airflow produced by fans","The weight of mounted equipment",2
"What does 'voltage' refer to in this context?","The type of copper cabling in use","The electrical potential of the supply (for example, 120/208/240 volts) that equipment must support","The heat output of a rack","The bandwidth of a link",2
"Your equipment draws 900 watts but the installed UPS is rated for 600 watts. What is the risk?","Nothing—runtime just increases","The UPS will be overloaded and may shut down or fail; choose a higher-capacity model","Only the PDU will fail","Voltage will automatically increase to compensate",2
"You need per-outlet metering and the ability to reboot specific devices remotely in a rack. Which device meets this need?","Basic power strip","Metered or switched Power distribution unit","Uninterruptible power supply","Fiber distribution panel",2
"What is the primary concern with humidity in network spaces?","Humidity has no effect on electronics","Too low increases electrostatic discharge risk; too high promotes condensation and corrosion","Only very high humidity is harmful","Only very low humidity is harmful",2
"What does 'fire suppression' in equipment rooms typically imply?","Using only water sprinklers above racks","Using appropriate detection and clean-agent suppression systems designed to protect electronics and people","Turning off all power to avoid sparks","Placing fire extinguishers outside the building only",2
"Why is temperature control critical for network installations?","It prevents wireless interference","It keeps devices within supported operating ranges and avoids thermal throttling or failure","It increases link speed","It eliminates the need for airflow planning",2
"How should airflow orientation align with a hot-aisle/cold-aisle layout?","Port-side intake should face the hot aisle","Align device intake with the cold aisle and exhaust with the hot aisle","Orientation is irrelevant if voltage is correct","Always exhaust toward the cold aisle for comfort",2
"After adding high-power access switches, the wiring closet overheats. What is the best immediate action?","Disable encryption on switches","Increase cooling and ensure clear front-to-back airflow; separate hot and cold aisles","Lower all interface speeds to 10 megabits per second","Replace copper with fiber",2
"A basement IDF shows corrosion and occasional condensation. What should be addressed first?","Increase channel width on the access points","Control humidity with dehumidification and sealing; maintain recommended environmental range","Lower rack unit height","Install a larger Power distribution unit",2
