Q,Option1,Option2,Option3,Option4,Correct
"What is a denial-of-service (DoS) attack?","A routine backup","An attempt to make a service unavailable by overwhelming resources or exploiting faults","A password reset","A log rotation event",2
"What is a distributed denial-of-service (DDoS) attack?","A DoS from one tester only","A DoS launched from many compromised systems (botnets) simultaneously","A lawful maintenance window","A switch software upgrade",2
"What is virtual local area network (VLAN) hopping?","Moving a device between wall jacks","An attack that forces traffic to move between virtual local area networks by abusing trunking or misconfigurations","A high-availability feature","A Wi-Fi roaming method",2
"What is Media Access Control (MAC) flooding?","A way to cool switches","Overloading a switch’s content-addressable memory with many fake addresses so it fails open and floods frames","Encrypting a MAC address","Changing the switch management IP",2
"What is Address Resolution Protocol (ARP) poisoning?","Cleaning a cache","Inserting false Address Resolution Protocol mappings so traffic is misdirected through an attacker","Blocking wireless networks","Hardcoding static routes",2
"What is Address Resolution Protocol (ARP) spoofing?","Deleting the Address Resolution Protocol cache","Impersonating another host’s Address Resolution Protocol identity to receive traffic intended for that host","Upgrading firmware","Resetting Domain Name System",2
"What distinguishes ARP poisoning from ARP spoofing?","They are identical","Poisoning corrupts mappings in victims’ caches; spoofing claims another’s identity to attract traffic—often used together","Spoofing is always benign","Poisoning only affects routers",2
"What is Domain Name System poisoning?","Speeding up queries","Corrupting name-to-address data so clients are directed to malicious destinations","Deleting the hosts file","Blocking web caching",2
"What is Domain Name System spoofing?","Validating signatures","Forging Domain Name System responses to provide false answers to queries","A backup procedure","A load-balancing method",2
"What are rogue devices/services in this context?","Devices installed by the network team","Unauthorized equipment or services (for example, a rogue Dynamic Host Configuration Protocol server or rogue access point) that impersonate or bypass controls","Approved replacements","Firmware updates",2
"What is a rogue Dynamic Host Configuration Protocol (DHCP) server attack?","Blocking Dynamic Host Configuration Protocol","An unauthorized server handing out addresses/gateways to divert or disrupt traffic","Querying Domain Name System","Switching to IPv6",2
"What is a rogue access point (AP)?","An extra managed access point","An unauthorized wireless access point that bypasses network security or imitates the legitimate network","A repeater with low power","A mesh backhaul",2
"What is an evil twin?","A redundant power supply","A malicious access point mimicking a legitimate service set identifier to lure clients","A load-sharing switch","A lawful Wi-Fi extender",2
"What is an on-path attack?","Scanning open ports only","Intercepting/altering traffic between two parties while appearing transparent to them","Blocking all traffic with an access control list","Brute-forcing passwords offline",2
"What is phishing?","Validating a certificate","Deceiving users into revealing information or performing actions via fraudulent messages","Encrypting a drive","Patching firmware",2
"What is dumpster diving?","A method to clean drives","Searching discarded materials for sensitive information","A network discovery tool","A way to cool data centers",2
"What is shoulder surfing?","Phishing via email","Observing someone’s screen or keyboard to capture information","Installing updates","Resetting a router",2
"What is tailgating?","Walking quickly to a meeting","Following an authorized person into a restricted area without proper authentication","Installing a tail light on a rack","A packet queuing method",2
"What is malware?","A secure operating system","Malicious software such as viruses, worms, trojans, or ransomware intended to damage, disrupt, or steal","A patch bundle","A log viewer",2
"Which control best reduces impact of a rogue Dynamic Host Configuration Protocol server?","Disable encryption","Enable Dynamic Host Configuration Protocol snooping on switches to trust only authorized ports","Increase channel width","Use only static addresses everywhere",2
"Which measure most directly mitigates VLAN hopping?","Use the same native VLAN everywhere","Disable unused ports and avoid using the default native VLAN on trunks; explicitly configure trunks and access ports","Rely on wireless encryption only","Enable spanning tree",2
"Which control best counters MAC flooding?","Disable logging","Port security limits (for example, maximum Media Access Control addresses) and violation actions on switch ports","Install larger fans","Use Domain Name System over HTTPS",2
"Which approach reduces exposure to on-path attacks on web traffic?","Plain Hypertext Transfer Protocol","Transport Layer Security with certificate validation and strong cipher suites","Using hubs instead of switches","Disabling logging",2
"Which control reduces user-focused social-engineering success?","Never training users","Security awareness training combined with technical controls such as email filtering and multi-factor authentication","Only longer passwords","Removing all guest networks",2
