Q,Option1,Option2,Option3,Option4,Correct
"What is a trusted source for a browser download?","The official vendor site or managed enterprise store","Any site returned by a search engine","A link in an unsolicited email","A file sharing forum",1
"Why verify file hashes for installers?","To confirm the download matches the vendor release and is not altered","To speed up installation","To reduce disk usage","To enable automatic updates",1
"What is the risk of installing from untrusted sources?","Malware or unwanted add ons may be bundled","The program will always crash","The browser will lose bookmarks","The keyboard will stop working",1
"What are extensions and plug ins?","Add on modules that extend browser features and can add risk","Hidden system files","Firmware updates for the router","Virtual machine images",1
"What is the guidance for extension security?","Use only trusted and needed extensions and review permissions","Install every popular extension","Allow all permissions by default","Disable updates for stability",1
"What is the purpose of a password manager in a browser?","Store and auto fill unique complex passwords securely","Share one password across all sites","Block ads from all pages","Speed up name resolution lookups",1
"What does a valid certificate indicate when visiting a site?","That the connection is encrypted and the site identity was validated by a certificate authority","That the site is safe from all threats","That the site will never track users","That the site is government owned",1
"What does the padlock icon in the address bar indicate?","That Transport Layer Security is in use and the certificate is valid","That cookies are disabled","That JavaScript is blocked","That the site is trusted by your manager",1
"What is a pop up blocker for?","Prevent windows or tabs from opening without user action","Clear the browser cache on exit","Disable all cookies","Enable dark mode",1
"What does clearing browsing data do?","Removes history, cookies, and cached items to reduce tracking or fix issues","Upgrades the browser version","Resets operating system settings","Increases network speed by default",1
"What is the cache used for?","Stores copies of web resources to speed up page loads","Encrypts local disk partitions","Backs up operating system files","Blocks ads automatically",1
"What is private browsing mode intended to do?","Limit local storage of history and cookies for that session","Provide end to end anonymity on the internet","Disable all scripts","Increase download speed",1
"What is the function of sign in and browser data sync?","Sync bookmarks, passwords, history, and settings across devices","Provide multi factor authentication for all sites","Share browsing data with other users by default","Disable extensions on laptops",1
"What is a risk of browser sync on shared or unmanaged devices?","Sensitive data such as passwords or history may be copied to devices you do not control","The browser will not update","The device will not connect to wireless","The display will flicker",1
"What is an ad blocker used for?","Reduce or block advertising content and some tracking scripts","Encrypt the disk","Provide antivirus at the kernel level","Disable websites entirely",1
"What is a good practice after installing a new browser?","Set security and privacy defaults, update, and sign in only on trusted devices","Disable automatic updates and install many extensions","Turn off warnings","Share the profile with everyone",1
"What should users check if a site shows a certificate warning?","Inspect the certificate details and avoid proceeding unless it is trusted and current","Ignore and continue","Switch to unencrypted web only","Clear the cache repeatedly",1
"What browser feature helps contain malicious tabs?","Site isolation or sandboxing","Hardware acceleration","Spell check","Reader view",1
"What is the safest approach for built in document or media plug in handling?","Use built in viewers or trusted vendors and keep them updated","Install multiple third party viewers from forums","Disable all viewers and share files by email","Open everything in developer mode",1
"Which cookie setting reduces tracking without breaking logins as often?","Block third party cookies or use stricter tracking prevention","Block all cookies for all sites","Delete the hosts file","Disable Transport Layer Security",1
"A user installed an untrusted extension then saw pop ups and redirects. What is the fix?","Remove the extension, scan for malware, reset settings, and review permissions","Reboot and ignore","Lower the pop up blocker level","Disable the firewall",1
"Why is hashing important for offline installer packages?","It confirms integrity when not using a store that verifies downloads","It improves keyboard latency","It adds new fonts","It enables biometric login",1
"How can an administrator control extensions in a company?","Use policy to allow or block specific extensions and set permissions","Send an email reminder only","Disable the browser","Block all websites",1
"Which combination best hardens a browser for daily use?","Automatic updates on, limited trusted extensions, password manager, phishing and malware protection, and ad or script controls as needed","Disable updates, install many extensions, and allow all pop ups","Turn off certificate checks and block Transport Layer Security","Use public sync on every kiosk",1
"A site shows a certificate name mismatch. What should you do?","Do not proceed; verify the URL and certificate details with the site owner","Proceed because the lock icon is shown","Turn off the pop up blocker","Clear cookies only",1
"Which cookie setting reduces tracking with minimal breakage?","Block third party cookies or enable strict tracking prevention","Block all cookies for every site","Delete the hosts file","Disable Transport Layer Security warnings",1
