Q,Option1,Option2,Option3,Option4,Correct
"What is network functions virtualization?","The process of replacing dedicated network hardware devices with software-based services running on virtual machines","A method for encrypting cloud data","A tool for managing on-premises switches","A technology for physically separating network cables",1
"What is a virtual private cloud?","A logically isolated section of a public cloud that you can configure as if it were your own private network","A completely on-premises private data center","A public website hosted in the cloud","A service for delivering streaming media",1
"What is the main purpose of a network security group in cloud networking?","To control inbound and outbound traffic to cloud resources based on defined security rules","To manage usernames and passwords for all employees","To encrypt all storage volumes","To assign IP addresses automatically",1
"What is a network security list in cloud networking?","A set of virtual firewall rules that controls traffic to and from specific subnets or network interfaces","A list of users authorized to access the cloud","A catalog of network devices in the data center","A list of all domain names in use",1
"What is the purpose of a cloud internet gateway?","To provide a path for cloud resources to communicate with the public internet","To store backups in the cloud","To monitor and log all internal communications","To convert IPv4 addresses to IPv6 addresses",1
"What is a network address translation gateway in cloud networking?","A gateway that enables instances in a private cloud subnet to access the internet without exposing their private IP addresses","A device for physically connecting two networks","A firewall for blocking malware","A wireless access point for cloud networks",1
"What is a virtual private network in the context of cloud connectivity?","A secure, encrypted connection over the internet between a private network and cloud resources","A dedicated physical cable between two sites","A backup connection for cloud services","A way to share files publicly",1
"What is a direct connect service in cloud networking?","A dedicated, private physical network connection from an on-premises network to a cloud provider","A satellite link for remote sites","A secure email transfer method","A service for delivering streaming media",1
"What is a public cloud deployment model?","A cloud environment where resources are owned and operated by a third-party provider and shared among multiple customers","A cloud environment used exclusively by a single organization","A hybrid of on-premises and cloud resources","A peer-to-peer network for file sharing",1
"What is a private cloud deployment model?","A cloud environment used exclusively by a single organization, either hosted on-site or by a third party","A public environment for multiple tenants","A dedicated section of a public cloud","A mix of public and private clouds",1
"What is a hybrid cloud deployment model?","A computing environment that combines public and private cloud resources with orchestration between them","A public network with encrypted access","A private network that uses virtualization","A local data center connected to a satellite link",1
"What is software as a service?","A cloud model where applications are hosted by a provider and delivered over the internet to customers","A model where the provider delivers only storage and networking","A model where the provider hosts only development tools","A licensing agreement for desktop software",1
"What is infrastructure as a service?","A cloud model where the provider delivers virtualized computing resources such as servers, storage, and networking over the internet","A model where only applications are delivered","A private network model for on-premises computing","A tool for managing hybrid cloud resources",1
"What is platform as a service?","A cloud model where the provider delivers hardware and software tools for application development over the internet","A model where only storage is delivered","A subscription to a web application","A hybrid deployment model",1
"What does scalability mean in cloud computing?","The ability of a system to increase or decrease its resources to meet workload demands","The ability of a cloud to protect against cyberattacks","The process of encrypting cloud storage","The migration of workloads between clouds",1
"What does elasticity mean in cloud computing?","The automatic provisioning and releasing of resources to match workload changes in real time","The ability to survive a hardware failure","The encryption of all data at rest","The ability to run multiple operating systems",1
"What is multitenancy in cloud computing?","A cloud architecture where multiple customers share the same physical resources while keeping their data isolated","A setup where each customer has a dedicated physical server","A private network for one tenant only","A model where applications run without virtualization",1
"Which two concepts are most closely related to controlling access to cloud resources?","Network security group and network security list","Internet gateway and NAT gateway","Scalability and elasticity","Direct Connect and VPN",1
"What is the main difference between a network security group and a network security list?","A security group controls traffic to individual instances or resources; a security list controls traffic to an entire subnet","A security group is for private clouds, while a security list is for public clouds","A security group is hardware-based, a security list is software-based","A security group uses encryption, while a security list does not",1
"What is the main difference between an internet gateway and a network address translation gateway?","An internet gateway allows direct inbound and outbound internet access; a NAT gateway allows outbound internet access without exposing private IPs","An internet gateway only works for private subnets, while a NAT gateway only works for public subnets","An internet gateway encrypts all traffic, while a NAT gateway does not","An internet gateway is always virtual, while a NAT gateway is always physical",1
"Which cloud connectivity option provides a private, physical link to the provider?","Direct Connect","Virtual private network","Internet gateway","NAT gateway",1
"Which deployment model allows both dedicated and shared cloud resources in one environment?","Hybrid cloud","Public cloud","Private cloud","Platform as a service",1
"Which cloud service model gives customers the least responsibility for maintenance and updates?","Software as a service","Infrastructure as a service","Platform as a service","Private cloud",1
"Which two cloud characteristics are most closely related to handling changes in demand?","Scalability and elasticity","Public and private","SaaS and PaaS","Security groups and security lists",1
"In which cloud model would a company have the most control over hardware configuration?","Private cloud","Public cloud","Hybrid cloud","Software as a service",1
"Which characteristic of cloud computing allows multiple organizations to share the same infrastructure while keeping their data separate?","Multitenancy","Scalability","Elasticity","Infrastructure as a service",1
"A company wants to connect its on-premises data center to its cloud network using a secure tunnel over the internet. Which option is best?","Virtual private network","Direct Connect","Internet gateway","Network security group",1
"A media company needs extremely low latency between its office and the cloud for real-time video editing. Which connectivity option is best?","Direct Connect","Virtual private network","NAT gateway","Hybrid cloud",1
"A startup wants the flexibility to run workloads in a public cloud but keep sensitive data in a private cloud. Which deployment model fits best?","Hybrid cloud","Public cloud","Private cloud","Platform as a service",1
"A developer wants a ready-to-use environment with tools to build and deploy apps without managing servers. Which model is best?","Platform as a service","Software as a service","Infrastructure as a service","Private cloud",1
