Q,Option1,Option2,Option3,Option4,Correct
What is the main purpose of a technical control in cybersecurity,To set legal standards,To train employees,To enforce security using technology,To evaluate financial risk,3
Which type of control involves the creation of policies and procedures to manage risk,Physical,Technical,Managerial,Corrective,3
What defines an operational control in security management,Actions performed by automated systems,Strategies enforced by upper management,Day-to-day practices by people and processes,Legal compliance requirements,3
What is the focus of physical security controls,Preventing social engineering,Securing digital records,Protecting network configurations,Restricting access to physical spaces and hardware,4
What is the goal of a preventive control,To log actions for review,To discourage unwanted behavior,To stop incidents before they happen,To provide post-incident recovery,3
Which control type is designed to discourage violations before they occur,Preventive,Corrective,Deterrent,Compensating,3
What is the primary function of a detective control,To detect and alert after an event occurs,To block unauthorized users,To enforce encryption standards,To provide redundancy,1
What best defines a corrective control,Stops malicious activity in real time,Discourages an attacker from acting,Restores systems after an incident,Monitors for threats continuously,3
What is the purpose of a compensating control,To detect flaws in physical barriers,To stop attacks not covered by existing controls,To replace basic security principles,To reduce the cost of risk mitigation,2
Which control type is focused on directing users to follow specific behavior or procedures,Preventive,Directive,Compensating,Detective,2
How does a technical control differ from a managerial control,Technical controls involve planning policies,Technical controls monitor employee behavior,Technical controls use hardware or software to enforce rules,Technical controls assess risk tolerance,3
What distinguishes managerial controls from operational controls,Managerial controls are implemented by IT staff,Managerial controls are part of technical security systems,Managerial controls are focused on organizational policy and risk management,Managerial controls involve securing physical assets,3
Which of the following best compares operational and physical controls,Operational controls include software settings while physical controls are part of architecture,Operational controls are about physical locks and doors,Operational controls are people-based processes while physical controls protect hardware,Operational controls monitor logs while physical controls configure firewalls,3
What is the main difference between a physical control and a technical control,A physical control includes surveillance while a technical control is a checklist,A physical control is implemented by software while a technical control is physical fencing,A physical control protects digital data while a technical control protects servers,A physical control is a tangible barrier while a technical control uses systems and software,4
How is a preventive control different from a detective control,A preventive control identifies events after they happen,A preventive control encourages compliance,A preventive control blocks threats before they occur,A preventive control logs activity for review,3
What is the main relationship between deterrent and preventive controls,Deterrent controls restore systems after attacks while preventive controls monitor them,Deterrent controls aim to discourage actions while preventive controls aim to stop them,Deterrent controls are less effective than preventive controls,Deterrent controls are more technical than preventive controls,2
What is the distinction between detective and corrective controls,Detective controls notify users of policy updates while corrective controls warn of unauthorized access,Detective controls identify incidents while corrective controls fix affected systems,Detective controls prevent malware while corrective controls scan for it,Detective controls create risk assessments while corrective controls mitigate risk,2
Which best explains how compensating controls relate to other security controls,They are used to monitor gaps in organizational performance,They replace all other types of controls,They substitute for standard controls when they cannot be used directly,They make physical security more effective,3
How is a directive control different from a compensating control,Directive controls alert when policy is violated while compensating controls instruct users,Directive controls restore systems while compensating controls deter access,Directive controls give mandatory guidance while compensating controls provide alternate protections,Directive controls monitor logs while compensating controls store data,3
A company installs a firewall to block unauthorized traffic before it enters the network. What type of control is this,Technical,Managerial,Operational,Physical,1
An IT director defines security policies and risk thresholds for the organization. What type of control is this,Technical,Managerial,Physical,Preventive,2
A security guard verifies badges at the entrance of a data center. What type of control is being used,Operational,Technical,Managerial,Physical,4
Employees are trained to follow a documented incident response plan. What category of control is this,Technical,Physical,Operational,Deterrent,3
A company deploys multifactor authentication to stop attackers from accessing user accounts. What type of control is this,Corrective,Detective,Deterrent,Preventive,4
A visible security camera is placed above an entrance to discourage unauthorized access. What type of control is this,Preventive,Corrective,Deterrent,Directive,3
An intrusion detection system sends an alert when suspicious activity is detected. What type of control is being used,Preventive,Detective,Corrective,Operational,2
An antivirus program automatically removes malware after detecting it on a workstation. What kind of control does this represent,Preventive,Detective,Corrective,Compensating,3
A company cannot implement encryption due to legacy systems and uses a locked server room instead. What type of control is this,Preventive,Corrective,Compensating,Directive,3
Employees are required to follow specific data handling procedures posted at each workstation. What type of control is being enforced,Deterrent,Directive,Managerial,Technical,2
