Q,Option1,Option2,Option3,Option4,Correct
"What is the purpose of a sandbox virtual machine?","Daily productivity only","Isolated environment to run untrusted software or browse safely without risking the host","Shared folder for teams","Printer emulator",2
"What is a test/development virtual machine?","A VM used only for backups","Disposable environment to build and test software or configurations without affecting production","A VM that mirrors the host","A storage array",2
"What is application virtualization?","Installing apps directly on the host","Packaging an application to run in an isolated container/VM so it does not modify the host operating system","Running apps from a file share with no isolation","Only mobile apps",2
"What does 'legacy software/operating system' imply in this context?","Newest supported versions","Older apps or operating systems run inside a virtual machine to maintain compatibility","Cloud-only services","Browser plug-ins only",2
"What is cross-platform virtualization?","Remote printing across platforms","Running an application or operating system designed for one platform within a virtualized or emulated environment on another platform","Dual-boot only","File synchronization",2
"What are typical resource requirements for client virtualization?","Minimal CPU and 1 GB RAM always","Adequate CPU cores with hardware virtualization support, sufficient RAM, storage capacity/IOPS, and often GPU acceleration for graphics-intensive VMs","Only a large hard drive","Only fast Wi-Fi",2
"What host CPU feature is usually required for 64-bit guests?","Hyper-Threading only","Hardware-assisted virtualization extensions such as Intel VT-x or AMD-V enabled in firmware","RAID 1","ECC memory",2
"What memory planning principle avoids host slowdowns?","Allocate all RAM to guests","Leave headroom for the host operating system and avoid overcommitting memory unless using supported techniques","Disable paging","Use only single-channel RAM",2
"What storage consideration most affects VM responsiveness on a laptop?","Case color","Solid-state drive with good input/output operations per second for the VM files","Optical drive speed","Large heat sink",2
"What is a main security requirement for client virtualization?","Allow broad clipboard and drive sharing","Isolate virtual machine networks, restrict host-guest sharing, patch both host and guests, and use snapshots before risky changes","Disable updates","Use shared admin accounts",2
"What is a snapshot in virtualization?","A screen capture","Point-in-time state you can revert to for rapid recovery during testing","A backup of just documents","A hypervisor log",2
"What is a risk of extensive host-guest integration features (shared folders/clipboard)?","Improves isolation","May bridge isolation and allow data leakage or malware movement between host and guest if not controlled","Eliminates the need for antivirus","Breaks networking",2
"Which scenario best fits application virtualization on a client?","Running an entire alternate operating system","Delivering a single legacy accounting app in an isolated package so it does not change the host registry","Hosting a website","Replacing backups",2
"A developer needs macOS, Linux, and Windows environments on one laptop. Best approach?","Buy three laptops","Use client virtualization with multiple virtual machines and resource planning","Use only Remote Desktop Protocol","Dual-boot only",2
"A student wants to try unknown freeware safely on a personal PC. Best approach?","Install it on the host","Create a sandbox virtual machine, take a snapshot, and revert if needed","Disable antivirus","Share the host drive widely",2
"A security analyst needs to capture malware behavior without infecting the network. Key setting?","Bridge the virtual network to the production VLAN","Use host-only or Network Address Translation networking and disable shared folders/clipboard","Enable all integrations","Permit USB pass-through by default",2
"What is a type-2 hypervisor on a client?","Bare-metal hypervisor that boots the hardware","A hypervisor that runs as software on top of a host operating system (for example, VMware Workstation, VirtualBox)","A cloud platform","A container engine only",2
