Q,Option1,Option2,Option3,Option4,Correct
What is the process of creating or removing user accounts in an organization called,Privilege escalation,Access control,Provisioning and de-provisioning,Security auditing,3
What defines the specific rights a user has to access resources,Threat modeling,Permission assignments,Session management,Incident response,2
What verifies a user's claimed identity using documentation or other methods,Password hashing,Token generation,Identity proofing,Session timeout,3
What allows users from different organizations to access shared systems using a common identity system,Encryption,Federation,Hashing,Auditing,2
What allows a user to log in once and access multiple systems without reauthenticating,Multi-layer encryption,Discretionary control,Single sign-on,Virtual networking,3
Which protocol is used to access and maintain distributed directory information services,Simple file transfer,Lightweight Directory Access Protocol,Database mirroring,Secure shell,2
What is a protocol that allows secure authorization without sharing credentials,Token replay,Security token service,Open authorization,Session hijacking,3
What is a standard used to exchange authentication and authorization data between parties,Security Assertions Markup Language,Firewall log analysis,Packet inspection,Transport layer protocol,1
What ensures that different systems and software can work together effectively,Isolation,Checksum validation,Interoperability,Whitelisting,3
What is the process of confirming that systems and users follow security policies,Attestation,Redundancy,Escalation,Sandboxing,1
Which access control method is enforced by a central authority and cannot be altered by users,Mandatory,Discretionary,Role-based,Attribute-based,1
Which access control model allows resource owners to determine who has access,Mandatory,Discretionary,Rule-based,Time-based,2
Which access control model assigns permissions based on job functions,Attribute-based,Rule-based,Role-based,Least access,3
Which access control model uses preconfigured rules to grant or deny access,Discretionary,Mandatory,Rule-based,Session-based,3
Which model uses user characteristics like department or clearance level to determine access,Time-of-day control,Attribute-based access,Password policy,Log monitoring,2
What restricts user access based on the current time,Protocol enforcement,Session timeout,Time-of-day restrictions,Proxy authentication,3
What principle ensures users only get the access they need to perform their job,Full control,Least privilege,Time-based rights,Group override,2
Which multifactor method uses a person's fingerprint or facial recognition,Biometrics,Security key,Token generator,Knowledge factor,1
Which type of token uses physical devices or apps to authenticate users,Public key,Biometrics,Hard or soft authentication tokens,Session tracker,3
What is a small hardware device used to generate or store authentication credentials,Token ring,Security key,Firewall module,Virtual adapter,2
What type of authentication factor is a password,Something you know,Something you have,Something you are,Somewhere you are,1
What type of factor includes a mobile phone or hardware token,Something you have,Something you know,Something you are,Somewhere you are,1
What type of factor includes physical traits like iris or fingerprint,Something you know,Something you have,Something you are,Somewhere you are,3
What factor is based on a user's geographical location,Something you have,Somewhere you are,Something you are,Something you know,2
Which password practice involves using long combinations of characters,Password reuse,Password length,Password reset,Password hinting,2
Which concept recommends using a mix of letters, numbers, and symbols in passwords,Password expiration,Password complexity,Password delay,Password sync,2
Which password practice discourages using the same password across systems,Password reuse,Password length,Password complexity,Password masking,1
What is the practice of setting passwords to expire after a certain time,Password timeout,Password reset,Password expiration,Password storage,3
What is the minimum number of days before a password can be changed again,Password sync,Password vault,Password age,Password rotation,3
What tool securely stores and manages user credentials,Token signer,Password cracker,Password manager,Encryption proxy,3
What method authenticates users without needing them to enter a traditional password,Passwordless,Password vaulting,Passcode delay,User lockout,1
Which tool provides elevated privileges only when needed,Just-in-time permissions,Always-on admin,Token escalator,Policy reminder,1
What is the secure storage of passwords in an encrypted database,Credential cloning,Password vaulting,Key distribution,Session pooling,2
What type of credentials exist only temporarily to reduce exposure,Static keys,Ephemeral credentials,Fixed passphrases,Biometric hash,2
How does provisioning differ from de-provisioning in identity management,Provisioning deletes accounts while de-provisioning creates them,Provisioning updates passwords while de-provisioning resets devices,Provisioning creates user accounts while de-provisioning removes them,Provisioning assigns permissions while de-provisioning adds access,3
What is the primary concern when assigning excessive permissions to users,Increased password strength,Slower system performance,Increased attack surface,Better interoperability,3
How does identity proofing compare to password policies,Identity proofing verifies user identity while password policies manage credentials,Identity proofing resets passwords while password policies recover accounts,Identity proofing protects data while password policies manage access rights,Identity proofing uses tokens while password policies use fingerprints,1
What is a key distinction between federation and single sign-on,Federation allows authentication across organizations while single sign-on is internal only,Federation uses two-factor authentication while single sign-on does not,Federation applies only to email access while single sign-on covers cloud apps,Federation encrypts credentials while single sign-on stores them,1
How does single sign-on differ from multifactor authentication,Single sign-on enables access across systems with one login while multifactor authentication requires multiple credentials,Single sign-on stores multiple passwords while multifactor authentication limits access,Single sign-on is less secure than username-based login while multifactor authentication uses biometrics only,Single sign-on disables token use while multifactor authentication promotes it,1
How does Lightweight Directory Access Protocol differ from Open authorization,Lightweight Directory Access Protocol retrieves directory information while Open authorization grants access without password sharing,Lightweight Directory Access Protocol uses token signing while Open authorization uses static keys,Lightweight Directory Access Protocol applies to cloud environments only while Open authorization is local,Lightweight Directory Access Protocol is passwordless while Open authorization requires biometrics,1
How does Security Assertions Markup Language relate to Open authorization,Both are used for federated authentication but Security Assertions Markup Language is XML-based while Open authorization uses token scopes,Both use the same syntax for session management,Both are implemented only on internal servers,Both support network segmentation,1
Which best describes how interoperability compares to attestation,Interoperability ensures systems work together while attestation verifies compliance,Interoperability uses encryption while attestation blocks user access,Interoperability prevents session hijacking while attestation resets devices,Interoperability validates logins while attestation tracks passwords,1
How does mandatory access control differ from discretionary access control,Mandatory is enforced by policy and not adjustable by users while discretionary allows resource owners to define access,Mandatory uses password expiration while discretionary uses tokens,Mandatory supports biometrics while discretionary enforces encryption,Mandatory is rule-based while discretionary is port-based,1
How does role-based access control differ from attribute-based access control,Role-based grants access based on job function while attribute-based uses user characteristics,Role-based uses tokens while attribute-based uses biometrics,Role-based defines passwords while attribute-based defines usernames,Role-based requires VPN while attribute-based requires encryption,1
How is rule-based access control different from time-of-day restrictions,Rule-based uses predefined conditions while time-of-day restrictions are based on scheduling,Rule-based controls encryption while time-of-day controls authentication,Rule-based is more dynamic than time-of-day restrictions,Rule-based prevents network access while time-of-day prevents app launches,1
Which access control principle ensures users receive only the access they need,Least privilege,Attribute-based,Time-of-day,Discretionary,1
How does biometric authentication differ from security key use,Biometrics rely on physical traits while security keys are hardware devices,Biometrics require password managers while security keys are software-based,Biometrics use network access while security keys use log files,Biometrics validate roles while security keys reset accounts,1
What is the distinction between hard tokens and soft tokens,Hard tokens are physical devices while soft tokens are software-based,Hard tokens are used in cloud only while soft tokens are for on-premises,Hard tokens require encryption while soft tokens require biometric scans,Hard tokens are less secure than soft tokens,1
How does a security key differ from a password manager,A security key is used for login authentication while a password manager stores credentials,A security key tracks password changes while a password manager resets access,A security key allows single sign-on while a password manager controls network access,A security key encrypts entire drives while a password manager stores file hashes,1
