Q,Option1,Option2,Option3,Option4,Correct
"What is a Software-Defined Network (SDN)?","A network architecture that uses centralized, software-based controllers to manage and automate network traffic","A network built entirely from physical switches and routers","A peer-to-peer file sharing network","A wireless-only LAN design",1
"What is a Software-Defined Wide Area Network (SD-WAN)?","A WAN architecture that uses software to intelligently route traffic across multiple connection types","A private LAN that spans a small geographic area","A VPN service used only for email traffic","A method for encrypting wireless connections",1
"In SDN/SD-WAN, what does 'application aware' mean?","The network can identify, prioritize, and optimize traffic based on the application type","The network runs only web applications","The applications configure the network hardware directly","The network only supports TCP-based applications",1
"What is 'zero-touch provisioning' in SDN/SD-WAN?","Automated configuration of devices without manual setup","Manual setup of each device through the console port","A policy that disables physical device access","The ability to install devices without power cables",1
"What does 'transport agnostic' mean in SD-WAN?","The solution can use any network connection type, such as MPLS, broadband, or LTE","The solution only works with fiber optic connections","The solution works only on wireless transport methods","The solution requires a dedicated leased line",1
"What is 'central policy management' in SDN/SD-WAN?","Defining and applying network rules from a single, centralized interface","Configuring each device individually","Restricting policy changes to the data center only","Applying policies randomly to test security",1
"What is Virtual Extensible Local Area Network (VXLAN)?","A network virtualization technology that encapsulates Layer 2 frames inside Layer 3 packets","A wireless encryption protocol","A network storage protocol","A type of physical switch",1
"What is the purpose of Data Center Interconnect (DCI) in VXLAN?","To connect two or more data centers as if they were on the same Layer 2 network","To replace MPLS entirely","To provide firewall services between data centers","To store backup configuration files",1
"What does Layer 2 encapsulation in VXLAN mean?","Encapsulating Ethernet frames in UDP/IP packets for transport over Layer 3","Encrypting application data","Replacing MAC addresses with IP addresses","Compressing TCP headers",1
"What is Zero Trust Architecture (ZTA)?","A security model that assumes no user or device is trusted by default, requiring continuous verification","A security model that trusts all devices inside the LAN","A VPN technology for remote workers","A method for encrypting storage devices",1
"In ZTA, what is policy-based authentication?","Granting access based on security rules tied to user and device attributes","Allowing access based on a single password","Assigning access randomly","Allowing all authenticated devices unrestricted access",1
"What does 'least privilege access' mean in ZTA?","Providing the minimum access needed for a user to perform their job","Allowing all users administrative privileges","Denying all network access by default","Allowing unlimited access to all resources",1
"What is Secure Access Service Edge (SASE)?","A cloud-based framework combining networking and security services into a single service model","A type of on-premises firewall","A form of wireless encryption","A data center cabling standard",1
"What is Security Service Edge (SSE)?","A subset of SASE that focuses specifically on cloud-delivered security services","A VPN encryption method","A Layer 2 network protocol","A network storage system",1
"What is Infrastructure as Code (IaC)?","Managing and provisioning infrastructure through machine-readable configuration files instead of manual setup","Manual installation of network devices","A protocol for encrypting backup data","A GUI tool for network monitoring",1
"What is the benefit of using playbooks/templates in IaC?","They provide repeatable, consistent deployment of configurations","They automatically connect devices to the internet","They remove the need for backups","They configure devices without any documentation",1
"What is configuration drift in IaC?","The gradual deviation of a system's configuration from the intended state","The loss of device configuration after a reboot","The relocation of physical equipment","The change in network latency over time",1
"What is a dynamic inventory in IaC?","An automatically updated list of infrastructure resources for automation tools","A spreadsheet of physical devices","A backup of router configurations","A report of all network traffic",1
"What is version control in IaC?","Tracking and managing changes to infrastructure configuration files","Blocking unauthorized file uploads","Encrypting configuration backups","Preventing multiple users from editing the same file",1
"What is a central repository in IaC source control?","A single location where configuration files are stored and managed","A shared file folder for office documents","A database of employee credentials","A backup server for email archives",1
"What is conflict identification in IaC?","Detecting when changes in configuration files contradict each other","Finding duplicate VLAN IDs","Detecting mismatched duplex settings","Identifying incorrect IP subnet masks",1
"What is branching in IaC?","Creating separate versions of configuration files for development or testing","Splitting a physical network into multiple segments","Adding extra redundant network paths","Running IPv4 and IPv6 together",1
"What is the main goal of IPv6 adoption?","To provide a vastly larger address space to mitigate IPv4 address exhaustion","To make networks run only on wireless connections","To replace DNS entirely","To eliminate the use of private addresses",1
"What is tunneling in IPv6 compatibility?","Encapsulating IPv6 packets inside IPv4 packets for transport","Replacing IPv4 entirely","Assigning IPv4 addresses to IPv6 hosts","Using only multicast for IPv6 routing",1
"What is dual stack in IPv6 compatibility?","Running IPv4 and IPv6 simultaneously on the same network","Using two IPv6 addresses per interface","Running IPv6 only for public-facing services","Pairing IPv6 with VPN tunnels only",1
"What is NAT64 in IPv6 compatibility?","A translation method that enables IPv6-only devices to communicate with IPv4-only devices","A way to encapsulate IPv6 inside IPv4","A technique for encrypting IPv6 traffic","A subnetting method for IPv6",1
"A company wants a single cloud-delivered solution that combines networking and security. Which model fits?","SASE","SD-WAN","VXLAN","ZTA",1
"Which technology interconnects two data centers at Layer 2 over a Layer 3 network?","VXLAN","SSE","SASE","IaC",1
"A security team wants a model that requires verifying every request, regardless of source. Which should they choose?","Zero Trust Architecture","SD-WAN","SSE","VXLAN",1
"A network team wants centralized control over WAN links using multiple transport types. Which solution is best?","SD-WAN","ZTA","VXLAN","SSE",1
