Q,Option1,Option2,Option3,Option4,Correct
"What is Category 5 (Cat 5) cable commonly used for today?","High speed 10 Gigabit Ethernet for 100 meters","Older Fast Ethernet up to 100 Mb/s; largely replaced by newer categories","Fiber backbone links","Coaxial cable television distribution",2
"What improvement does Category 5e (Cat 5e) add over Cat 5?","Supports up to 1 Gb/s Ethernet on typical runs with reduced crosstalk","Adds fiber strands to the cable","Increases conductor gauge to 18 AWG","Requires shield on every pair",1
"Which statement about Category 6 (Cat 6) is accurate?","Only supports 100 Mb/s","Supports 1 Gb/s to 100 m and 10 Gb/s for shorter distances","Requires fiber connectors","Is wireless only",2
"What distinguishes Category 6a (Cat 6a) from Cat 6?","Designed to support 10 Gb/s to 100 meters","Removes twisted pairs","Uses coaxial cores","Only for telephone service",1
"What is coaxial cable most often used for in networks?","Short fiber jumpers","Cable internet and television distribution using F type connectors","Parallel SCSI chains","Mouse and keyboard cables",2
"What is shielded twisted pair (STP)?","Twisted pair with additional shielding around pairs or bundle to reduce interference","A fiber optic cable type","A flat ribbon cable","Coaxial wire with braid only",1
"What does 'direct burial' mean on copper cabling?","Cable designed for plenum spaces","Cable rated to be buried in the ground without conduit and with moisture protection","Cable for patch panels only","Cable used only indoors",2
"What is unshielded twisted pair (UTP)?","Coaxial with no braid","Standard Ethernet cable with twisted pairs and no additional shielding","Fiber jumper","Wireless antenna cable",2
"What is 'plenum rated' cable?","Cable designed for outdoor conduit only","Jacket that produces low smoke and toxic fumes when heated, required in air handling spaces","Cable with water blocking gel","Cable shielded with foil only",2
"What is the primary advantage of optical fiber in networking?","Works only for short distances","Immunity to electromagnetic interference and very long distance, high bandwidth transmission using light","Requires no connectors","Uses telephone signaling",2
"What are T568A and T568B?","Fiber polishing methods","Ethernet copper pinout standards defining pair order in 8P8C connectors","Coaxial shielding codes","Wireless security modes",2
"For a straight through patch cable, which termination rule is correct?","Use T568A on one end and T568B on the other","Use the same standard on both ends, either T568A or T568B","Use no standard order","Cross power pairs only",2
"Which video interface carries digital video and audio on a single cable and is common on TVs?","Video Graphics Array (VGA)","High Definition Multimedia Interface (HDMI)","Digital Visual Interface - A","Serial",2
"Which interface supports packet based video, daisy chaining, and high resolutions on computers?","DisplayPort","RJ45","DB9","Lightning",1
"Which legacy video interface is analog only and uses a 15 pin D sub connector?","Video Graphics Array (VGA)","High Definition Multimedia Interface","DisplayPort","Digital Visual Interface - D",1
"What is Digital Visual Interface (DVI)?","Analog only signaling","A digital or analog video interface with variants such as DVI D and DVI I","A fiber audio cable","A storage connector",2
"Which storage cable is most common for modern internal drives?","Integrated Drive Electronics (IDE or PATA) ribbon","Serial Advanced Technology Attachment (SATA) 7 pin data cable","Small Computer System Interface (SCSI) parallel cable","External SATA only",2
"What is External SATA (eSATA) used for?","Internal motherboard to drive links only","Connecting external SATA storage with a shielded connector","Fiber channel networks","Wireless backups",2
