Q,Option1,Option2,Option3,Option4,Correct
"What does enabling the cellular data network on a phone do?","Disables Wi-Fi","Allows the device to use the carrier’s mobile data for internet access","Forces airplane mode","Erases the Preferred Roaming List",2
"Why might you disable cellular data temporarily?","To increase screen brightness","To prevent mobile data use when roaming or to troubleshoot connectivity","To clear pictures from storage","To disable Bluetooth pairing",2
"What do the terms 2G, 3G, 4G, and 5G represent?","Battery sizes","Generations of cellular network technology with differing speed/latency capabilities","Wi-Fi channel numbers","Security levels for Bluetooth",2
"What is a mobile hotspot?","A new display type","A feature that shares a phone’s internet connection with other devices via Wi-Fi or tethering","A wireless charging pad","A Bluetooth speaker mode",2
"Best practice when configuring a hotspot for others to use?","Leave network open for convenience","Use a strong passphrase and modern encryption such as WPA2/WPA3 Personal","Disable the hotspot name","Turn off cellular data",2
"What distinguishes Global System for Mobile Communications (GSM) from Code Division Multiple Access (CDMA) historically?","GSM uses Subscriber Identity Module (SIM) cards for network access; CDMA historically bound service to the device and Preferred Roaming List","Both require no authentication","CDMA uses only Wi-Fi radios","GSM cannot roam",1
"What is a Preferred Roaming List (PRL) update on legacy devices?","A camera firmware patch","A carrier-provided database of towers and frequencies that improves roaming selection and coverage","A Bluetooth driver","A display color profile",2
"What is the first step when pairing a Bluetooth accessory?","Enter a Personal Identification Number code immediately","Enable Bluetooth on the mobile device","Reset the operating system","Turn off airplane mode permanently",2
"After enabling Bluetooth, what must you do to start the pairing process?","Enable pairing mode on at least one device so it is discoverable","Disable Wi-Fi","Change the phone’s Access Point Name","Install a SIM card",1
"What is the purpose of 'Find a device for pairing' in Bluetooth settings?","To locate nearby discoverable devices to select for connection","To search the web for drivers","To erase the device","To test cellular signal strength only",1
"When prompted during pairing, what is the Personal Identification Number (PIN) code used for?","Encrypting all photos","Verifying both devices agree to connect, preventing accidental pairing","Changing the Access Point Name","Unlocking the bootloader",2
"Why perform a 'Test connectivity' step after pairing?","To verify the accessory functions as intended (for example, audio plays through the headset)","To factory reset the phone","To enroll in Mobile Device Management","To update the Preferred Roaming List",1
"What are Global Positioning System (GPS) services on a phone?","Cell tower triangulation only","Satellite-based positioning used for navigation and precise location","A Wi-Fi booster","A camera stabilization feature",2
"What are cellular location services?","Optical zoom features","Estimating location using cell towers and often Wi-Fi databases; less precise than satellite positioning but fast and low power","Only satellite signals","A payment method",2
"What is Mobile Device Management (MDM)?","A music subscription","A platform used by organizations to enroll devices, enforce policies, push settings/apps, and perform remote actions such as wipe","A photo editor","A home router feature",2
"What is Mobile Application Management (MAM)?","Managing the phone’s battery life","Applying security and policy controls at the app level (for example, containerizing corporate apps) often without full device control","Blocking all downloads","Turning on airplane mode",2
"What is typically configured during corporate email setup on a managed device?","Only wallpaper","Server settings, identity, security policies (for example, passcode, certificate), and synchronization options","Game controller mappings","Bluetooth media controls",2
"What does two-factor authentication add to mobile sign-in?","More storage space","A second verification step (for example, code or push notification) in addition to the password","Automatic hotspot activation","Free cellular data",2
"How are corporate applications commonly delivered to devices under management?","SMS links only","Via the MDM/MAM app catalog or enterprise store with enforced policies","Through random web downloads","Only via email attachments",2
"What does 'account setup' mean for synchronization services?","Charging the battery fully","Adding or signing into a cloud/service account and granting permissions for data categories to sync","Changing the screen timeout","Resetting network settings",2
"Which service is a Microsoft-hosted platform for email, files, and device sync?","Google Workspace","iCloud","Microsoft 365","Android Auto",3
"Which service is Google’s productivity and identity platform often synced on Android and iOS?","iCloud","Google Workspace","Microsoft 365","Bluetooth LE",2
"Which service is Apple’s cloud platform for backup and synchronization on Apple devices?","iCloud","Microsoft 365","Google Workspace","Dropbox only",1
"What does selecting 'Mail' in sync settings do?","Synchronizes audio output settings","Enables email messages, folders, and status to update between device and server","Connects to Bluetooth accessories automatically","Installs a new keyboard",2
"What does selecting 'Photos' in sync settings typically do?","Copies photos to the SIM card","Synchronizes pictures and videos with the provider’s cloud library","Deletes local photos after 24 hours","Changes the camera resolution",2
"What does enabling 'Calendar' synchronization provide?","Wallpaper rotation","Bidirectional syncing of events and reminders between device and service","Battery optimization","Hotspot throttling",2
"What does selecting 'Contacts' to synchronize accomplish?","Blocks incoming calls","Keeps address books consistent across devices and services","Disables caller ID","Turns off voicemail",2
"What does 'recognizing data caps' mean for mobile users?","Understanding monthly high-speed data limits and adjusting usage or settings to avoid throttling or extra charges","Knowing Wi-Fi passwords","Turning on airplane mode during calls","Increasing screen brightness",1
"Which setting helps conserve mobile data under a limited plan?","Streaming high-resolution video on cellular","Disabling background app refresh/sync on cellular and preferring Wi-Fi","Keeping hotspot on continuously","Turning off Bluetooth",2
"A user’s Bluetooth headset will not pair. The phone sees nothing in scan. Best first action?","Enable pairing mode on the headset so it becomes discoverable","Change the Access Point Name","Update the Preferred Roaming List","Erase all accounts",1
"A traveler reports navigation works outdoors but fails inside malls. Why?","Cellular location requires sunlight","Satellite-based GPS signals are weak indoors; fall back to cellular/Wi-Fi location when available","Bluetooth must be on","Hotspot is disabled",2
"An employee must access corporate email and apps with security controls on a personal phone. Best approach?","Install random store apps","Enroll the device with Mobile Device Management and apply Mobile Application Management policies","Share passwords with a coworker","Disable two-factor authentication",2
"A user wants to let a coworker connect a laptop through the phone for internet in the field. Which feature should be configured?","Global Positioning System services","Mobile hotspot with a strong passphrase","Mobile Application Management container","Preferred Roaming List manual edit",2
"Mail and contacts sync correctly to Microsoft 365, but photos do not appear on the user’s tablet. Best fix?","Enable Bluetooth","Enable 'Photos' in the synchronization settings or use the platform’s photo library sync","Disable Wi-Fi","Reset the Personal Identification Number code",2
