Q,Option1,Option2,Option3,Option4,Correct
"What encryption algorithm is associated with modern secure Wi Fi protection?","Advanced Encryption Standard","Data Encryption Standard","Wired Equivalent Privacy stream cipher","Rivest Cipher 4 only",1
"What does the temporal key integrity protocol attempt to do?","Improve key handling for legacy encryption and is now deprecated","Provide biometric enrollment","Replace access points with controllers","Configure network address translation",1
"What does Wi Fi Protected Access 2 primarily rely on for strong encryption?","Advanced Encryption Standard using CCMP mode","Temporal key integrity protocol only","Rivest Cipher 4 stream cipher","Plain text with hidden SSID",1
"What is a key improvement introduced with Wi Fi Protected Access 3 personal mode?","Simultaneous Authentication of Equals resists offline dictionary attacks","Use of long static pre shared keys only","Requirement for captive portals","Removal of encryption for compatibility",1
"What is a potential limitation when upgrading to Wi Fi Protected Access 3?","Older clients and access points may not support it","It cannot use advanced encryption standard","It requires wired connections","It disables multiple input multiple output antennas",1
"In a small office using one shared passphrase, which mode is being used?","Personal mode with a pre shared key","Enterprise mode with 802.1X","Open mode with no password","Captive portal authentication",1
"In a campus environment using centralized authentication per user, which mode is typical?","Enterprise mode with 802.1X and a RADIUS server","Personal mode with a shared key","Open mode for all users","Temporary access using SMS codes only",1
"What is the primary purpose of a Remote Authentication Dial In User Service server in Wi Fi?","Provide centralized authentication and accounting for enterprise wireless","Encrypt the radio link with advanced encryption standard","Control radio channels on access points","Replace the need for passwords",1
"What does Terminal Access Controller Access Control System Plus primarily do?","Provide centralized authentication and authorization on network devices","Encrypt storage on laptops","Replace dynamic host configuration protocol","Scan for malware on endpoints",1
"Which authentication protocol issues time stamped tickets for access after initial logon?","Kerberos","RADIUS accounting","TACACS command authorization","Simple mail transfer",1
"What is a benefit of enterprise mode over personal mode?","Unique credentials per user enable revocation without changing a shared key","It works on very old devices that do not support encryption","It always provides faster throughput","It requires no servers to manage",1
"Which statement about temporal key integrity protocol is most accurate today?","It is legacy and should be avoided when possible","It is required for Wi Fi Protected Access 3","It is the strongest mode for advanced encryption standard","It is only used with wired networks",1
"Which option best improves security when legacy devices force use of temporal key integrity protocol?","Place legacy clients on a separate network and restrict access","Disable encryption entirely for speed","Use a longer service set identifier name","Reduce transmit power to minimum",1
"Which technology is responsible for per packet keying and integrity in modern Wi Fi?","Counter Mode with Cipher Block Chaining Message Authentication Code Protocol","Temporal key integrity protocol with Rivest Cipher 4","Shared media collision detection","Simple network management protocol community strings",1
"What is the primary risk of using a weak pre shared key in personal mode?","Attackers may capture a handshake and perform offline guessing","It disables all roaming features","It causes interference on 5 GHz channels","It prevents clients from seeing the service set identifier",1
"In a mixed environment during migration, what does transition mode on some access points allow?","Clients using both Wi Fi Protected Access 2 and Wi Fi Protected Access 3 to connect","Clients using wired only to connect to wireless","Only open networks to operate","Only pre shared keys to be used",1
"Which method adds a second factor to a wireless portal login?","Multifactor authentication such as password plus authenticator app code","Increasing the pre shared key length only","Using media access control address allow lists","Turning off the service set identifier broadcast",1
"What is the most secure choice among these for a new wireless deployment with modern clients?","Wi Fi Protected Access 3 enterprise with RADIUS","Open authentication with captive portal","Wi Fi Protected Access 2 personal with temporal key integrity protocol","Hidden service set identifier with no encryption",1
"Which back end service commonly works with enterprise wireless to validate user certificates or passwords?","RADIUS server","Dynamic host configuration protocol server","Domain Name System server","File Transfer Protocol server",1
"What is a common cause of failed enterprise wireless authentication after a certificate change?","Clients do not trust the new certificate authority","The access point changed its channel","The service set identifier is now hidden","The dynamic host configuration protocol scope is full",1
"Which statement best contrasts RADIUS and TACACS Plus?","RADIUS is often used for wireless user authentication, TACACS Plus is common for device admin access control","RADIUS is only for wired networks, TACACS Plus is only for wireless","RADIUS is encryption, TACACS Plus is hashing","RADIUS manages printers, TACACS Plus manages cameras",1
"Which item completes this relationship: Wi Fi Protected Access 2 personal uses pre shared key while Wi Fi Protected Access 2 enterprise uses ___","802.1X with RADIUS based authentication","Email one time codes","Hidden service set identifier","Static media access control allow list",1
"Which action most directly reduces the blast radius of a stolen personal mode passphrase shared among many users?","Change the passphrase and rotate it regularly","Disable multiple input multiple output","Lower the transmit power","Use only 2.4 GHz channels",1
"Which authentication method uses tickets so clients do not send passwords after initial logon?","Kerberos","Simple authentication and security layer PLAIN","Password Authentication Protocol","Challenge Handshake Authentication Protocol in clear text",1
"In a guest Wi Fi scenario, which approach balances ease of use with basic security?","Use a captive portal with unique access codes and isolate guests from internal networks","Use enterprise mode with smart cards for all guests","Leave the network open with no isolation","Share the corporate pre shared key and enable file sharing",1
"Which factor most often drives the choice between personal and enterprise wireless modes for a small business with no servers?","Availability of a RADIUS service and directory to manage users","Support for five gigahertz radios","Number of access points installed","Presence of a captive portal vendor",1
"Which item completes this relationship: Wi-Fi Protected Access 2 personal uses a pre-shared key, whereas Wi-Fi Protected Access 2 enterprise uses ____","port-based network access control (IEEE 802.1X) with Remote Authentication Dial-In User Service","hidden service set identifier","email one-time codes only","static MAC allow list",1
