Q,Option1,Option2,Option3,Option4,Correct
"What is physical destruction in the context of data disposal?","Physically damaging media so it cannot be used again","Deleting files through the recycle bin","Reformatting the file system only","Compressing the drive to save space",1
"What is drilling as a destruction method?","Boring holes through platters or chips to prevent data access","Running a file shredder utility","Removing the drive from the chassis","Powering the device on and off repeatedly",1
"What does shredding do to storage media?","Cuts media into small pieces to make recovery impractical","Overwrites media with random data","Heats media to a set temperature","Magnifies the magnetic domains",1
"What is degaussing primarily used for?","Disrupting magnetic fields on magnetic media such as hard drives and tapes","Securely erasing solid state drives by controller command","Crushing optical discs only","Cleaning drive heads",1
"Which media is not effectively sanitized by degaussing?","Solid state drives","Magnetic tape","Traditional hard disk drives","Removable magnetic cartridges",1
"What is incinerating in disposal?","Destroying media by controlled burning","Heating media to dry moisture","Melting only the drive enclosure","Baking to remove stickers",1
"What is meant by erasing or wiping a drive?","Overwriting data areas with known patterns or zeros","Hiding files with an attribute","Moving files to a hidden folder","Changing file extensions",1
"What does low level formatting mean on modern systems?","A vendor or tool driven overwrite of all addressable blocks","A quick format that rebuilds only the file system table","A firmware setting for boot order","A command that defragments files",1
"What is standard formatting?","Recreating file system structures without guaranteed data wipe","Overwriting every sector with zeros","Destroying the device controller","Using magnets to clear platters",1
"Which option best ensures no customer data remains before recycling a PC?","Full device wipe or secure erase that overwrites all blocks","Empty the recycle bin","Rename user folders","Remove the side panel only",1
"What is the safest approach for failed hard drives containing sensitive data?","Physical destruction and documented disposal","Attempt repeated software wipes","Ship to user home for testing","Store in a desk drawer",1
"What is a third party vendor in disposal workflows?","An external company contracted to destroy or recycle media","An employee who supervises interns","A public trash service","A software license provider",1
"What is a certificate of destruction?","Documented proof that specific assets were destroyed or recycled","A warranty for the drive","A product license key","A shipping label for returns",1
"Why is a chain of custody important during disposal?","It proves who handled assets at each step to reduce risk of data leakage","It improves drive performance","It reduces shipping costs","It encrypts the media in transit",1
"Which method best prevents reuse of a laptop with high risk data?","Remove and shred storage media and crush the laptop chassis","Log off and leave the login screen","Quick format the drive","Delete user profiles only",1
"A company plans to donate used PCs. What should be done first?","Wipe or secure erase drives and verify results","Move data to an external drive and hand off PCs","Create a new local admin and keep old accounts","Only remove stickers",1
"What is the primary risk of using only standard formatting before resale?","Residual data may be recoverable with tools","Drive will not boot","Drive becomes read only","Operating system will not install apps",1
"Which control verifies that a wipe completed successfully?","Validation logs or spot checks with forensic tools","Restart the device three times","Ask users if files are gone","Rename the computer",1
"Why might an organization choose degaussing followed by shredding for hard disk drives?","Defense in depth to ensure magnetic data and the media are destroyed","To make the drive reusable","To meet warranty requirements","To reduce audit records",1
"What is recommended for sanitizing a solid state drive that will be reused internally?","Controller secure erase or vendor tool for the specific drive","Run a magnet over the case","Drill one hole through the label","Perform only a quick format",1
"What should be documented when outsourcing disposal?","Asset IDs, date, method, vendor, certificate of destruction, and witnesses if required","Brand of drill used and paint color of the truck","User opinions about the vendor","Drive temperature at pickup",1
"A user reformats a USB drive and gives it to a coworker. Sensitive files were on it. What policy was missed?","Proper sanitization by wipe or destruction and approval before reuse","Install office templates before reuse","Always label with user name","Change the USB color tag",1
"Which option best balances environmental concerns and data security for bulk hard disk drives with medium sensitivity?","Certified recycling with verified wipe and sample validation","Throw into regular trash","Keep in a box for future use","Ship drives to unrelated vendors",1
"What is the difference between wipe and format for data disposal?","Wipe overwrites data areas; format rebuilds the file system and may leave data recoverable","Both are identical secure methods","Format is more secure than wipe","Neither changes any data",1
"Why is vendor secure erase preferred for solid state drives?","It targets all flash blocks, including those not mapped to the file system","It degausses the memory cells","It edits only the partition table","It lowers the drive temperature",1
"Which document proves compliant third party destruction?","Certificate of destruction tied to asset IDs","A shipping invoice only","An email from the driver","A help desk ticket number",1
