Q,Option1,Option2,Option3,Option4,Correct
Which document lists safe handling and disposal steps for items like toner and cleaners?,User manual,Safety Data Sheet,Service contract,Internet provider agreement,2
What is the correct disposal method for lithium batteries?,Trash can,Incinerate,Recycle through an electronics waste program,Landfill,3
How should used toner cartridges be handled?,Open and rinse,Sweep with a dry brush,Seal and return or recycle,Empty into a sink,3
What tool is best for removing dust from heatsinks without static risk?,Household vacuum with metal tip,Leaf blower,Electrostatic-safe vacuum or canned air,Wet cloth,3
Which placement reduces overheating for desktop towers?,Inside a closed cabinet,On carpet under a desk,On a hard surface with clear vents,Next to a heater,3
What office temperature and humidity range is generally recommended for computers?,90 F and 80 percent humidity,68-76 F and 40-60 percent humidity,50 F and 10 percent humidity,Any value is fine,2
Which device protects against brief power dips and lets you shut down safely?,Surge protector,Uninterruptible power supply,Circuit breaker,Line splitter,2
Which device primarily protects against voltage spikes only?,Uninterruptible power supply,Surge suppressor,Power strip,Generator,2
What is a brownout?,Complete loss of power,Overvoltage,Undervoltage,Short to ground,3
Which action most reduces dust intake?,Run with the case open,Positive airflow with filters,Remove all filters,Block intake vents,2
Where should obsolete computers and monitors go?,General trash,Electronics waste recycler,Compost,Shredder,2
What is the correct guidance for handling refrigerants near computer areas?,No protective equipment needed,Follow environmental rules for handling refrigerants,Always vent outdoors,Use gasoline to clean lines,2
What is the safest way to clean a clogged fan?,Force blades to spin with air,Hold blades still while blowing air,Use water,Oil the motor with cooking oil,2
Which method best prevents dust from resettling after cleanup?,Leave fans off,Run air purifiers for a short period,Open windows during a storm,Shake carpets over the bench,2
After a flood, which step comes before powering on equipment?,Dry the exterior only,Power on to test,Thoroughly dry and inspect the equipment,Replace memory first,3
Which power policy reduces environmental impact without hurting availability?,Disable sleep entirely,Set aggressive sleep and display timeouts,Run full power all day,Disable hibernate,2
What is the correct way to move a heavy cathode-ray tube monitor or a heavy backup power unit?,Grab cords and lift,Use a team lift or a dolly,Roll it on its face,Carry one-handed,2
What must be labeled when storing chemicals or toner?,Nothing,Only the date,Contents and hazard information,Owner initials,3
Why is canned air preferred over a household vacuum for cleaning printed circuit boards?,Cheaper,Adds moisture,Reduces static risk when used correctly,Heats components,3
Which practice helps during seasonal heating and cooling changes?,Ignore temperature alarms,Monitor temperature and humidity and adjust airflow,Remove all filters,Open cases,2
