Q,Option1,Option2,Option3,Option4,Correct
What is a firewall rule used for,Storing passwords,Filtering network traffic,Encrypting emails,Scanning for malware,2
What is the function of an access list in a firewall,Granting user permissions to files,Monitoring failed login attempts,Controlling which traffic is allowed or denied,Configuring wireless encryption,3
Which term refers to specific network communication identifiers used by firewalls to allow or block data,Packets and hashes,Groups and policies,Ports and protocols,Sessions and cookies,3
What is a screened subnet typically used for,Internal secure storage,Guest Wi-Fi access,Hosting public-facing servers in a protected zone,Data encryption on removable drives,3
What does an intrusion detection system use to identify potential threats,Signatures,Encryption,Port forwarding,Group policies,1
What is a key function of intrusion prevention systems,Scanning for unused ports,Blocking suspicious traffic based on trends or patterns,Generating email templates,Segmenting physical networks,2
What is the purpose of a web filter,Backing up user data,Filtering content and URLs based on policies,Installing browser extensions,Encrypting internal emails,2
Which type of web filter is installed on each device and works independently,Centralized proxy,URL scanner,Agent-based,Reputation filter,3
What does a centralized proxy web filter do,Encrypt all traffic using port 443,Filter web requests by routing through a single point,Analyze encrypted drives,Perform full packet capture on wireless access points,2
What does URL scanning in web filtering analyze,Social media metrics,Physical device locations,Specific website addresses,Password strength,3
What does content categorization do in web filtering,Track email attachments,Classify websites into defined groups for policy enforcement,Encrypt entire file systems,Install patches automatically,2
What is the purpose of block rules in a web filter,Prevent access to defined websites or content types,Manage disk quotas,Apply network segmentation,Create data backups,1
What is a reputation-based web filter,One that filters based on device speed,One that blocks sites based on known malicious behavior,One that adjusts filters based on email content,One that stores passwords securely,2
What is Group Policy primarily used for,Setting user and system configurations in Windows environments,Encrypting database records,Backing up cloud servers,Analyzing real-time logs,1
What is SELinux,An email encryption tool,A Linux security module that enforces mandatory access control,A cloud storage protocol,A software-defined network,2
What does protocol selection impact in secure communication,Visual layout of websites,Choice of encryption and communication standards used,Length of passwords,Physical cable type,2
What does port selection affect in network security,The size of the network switch,Which devices are authorized to send email,Which services can communicate over the network,The physical location of the firewall,3
What is a transport method in the context of secure protocols,The color scheme of dashboards,A way to deliver data securely such as using encryption or tunnels,A procedure for testing hard drives,A mobile application for key exchange,2
What is DNS filtering used for,Blocking access to malicious or unauthorized domain names,Scanning USB drives,Encrypting mobile devices,Filtering social media content,1
What is the role of Domain-based Message Authentication Reporting and Conformance,Verifying that email messages come from authorized domains,Controlling physical access to buildings,Storing DNS records,Compressing attachments,1
What does DomainKeys Identified Mail help verify,The password history of the user,The integrity and authenticity of email content,The location of the recipient,The public IP of a firewall,2
What does Sender Policy Framework do,Creates digital signatures for files,Defines which mail servers can send emails for a domain,Encrypts browser sessions,Blocks USB ports,2
What is an email gateway,An encrypted hard drive,A device or service that filters and routes email between networks,A type of virtual private network,A local antivirus application,2
What does file integrity monitoring detect,Application installation success,Changes to files that could indicate tampering or compromise,Disk fragmentation,VPN connection quality,2
What does data loss prevention aim to stop,Password guessing attacks,Physical tampering,Unauthorized access or sharing of sensitive data,Firewall misconfiguration,3
What is the function of network access control,Allowing remote desktop to all employees,Granting or denying device access based on policy compliance,Encrypting DNS traffic,Installing browser extensions,2
What is the goal of endpoint detection and response,To create user accounts,To perform ongoing analysis and response at the endpoint level,To filter outgoing email,To prevent software installation,2
What does user behavior analytics focus on,Counting emails sent per day,Logging firewall configuration changes,Identifying anomalies in user activity to detect potential threats,Creating backups of network devices,3
