Q,Option1,Option2,Option3,Option4,Correct
"What is a screen lock on a mobile device?","A requirement to authenticate before the device can be used after it locks or sleeps","A feature that lowers screen brightness","A wallpaper selector","A setting that disables wireless",1
"What does facial recognition provide on a phone or tablet?","Biometric unlock by matching the enrolled face","Automatic contact backups","Wireless network scanning","Longer battery life",1
"What are personal identification number codes used for on mobile devices?","Short numeric codes used to unlock the device","A code to join a wireless network","A code to pair a printer","A code to enable developer mode",1
"What does fingerprint unlock provide?","Biometric unlock using a fingerprint sensor","A one time password by text message","An email alert when storage is full","A faster camera shutter",1
"What is a pattern lock?","A gesture on a grid that must match the saved pattern to unlock","A time based code from the cloud","An audio based passphrase","A swipe to dismiss notifications",1
"What is a swipe lock?","A minimal unlock that provides no strong authentication","A biometric unlock method","A universal remote control","A secure backup method",1
"What is a remote wipe?","A command from management or a cloud service that erases device data","A factory reset using buttons on the device only","A power cycle of the device","A screen cleaning utility",1
"What are locator applications used for?","Find the device location, ring it, lock it, or display a message","Improve battery capacity","Expand storage automatically","Throttle the processor",1
"Why are operating system updates critical on mobile devices?","They provide security patches that fix known vulnerabilities","They only change wallpapers","They only add new ringtones","They always reduce performance",1
"What does device encryption protect on a phone or tablet?","Stored data from access without authentication","Only messages in transit","Only photos in the gallery","Only data on a memory card",1
"What are remote backup applications for?","Copy device data to cloud storage for recovery after loss, theft, or wipe","Create a local copy on the same device","Speed up the processor","Disable lock screen notifications",1
"What are failed login attempt restrictions?","Policies that add delay, lockout, or wipe after repeated incorrect unlock attempts","Policies that change wallpaper after a week","Policies that adjust screen brightness","Policies that disable the camera",1
"What is mobile antivirus intended to do?","Detect and block malicious applications and behavior on the device","Increase camera resolution","Reduce display power usage","Disable cellular data",1
"What is a mobile firewall?","A rule based filter that controls network connections on the device","A tool to change fonts","A feature to reorder icons","A method to charge faster",1
"What is a bring your own device policy?","Rules that govern how personal devices may access company resources","A policy that issues only company devices","A policy that bans passwords","A policy that disables all wireless networks",1
"What is a corporate owned device policy?","Rules for devices owned by the organization with mandatory configuration and monitoring","Guidelines for selecting wallpapers","Rules for personal social media use","Standards for printer paper sizes",1
"What are profile security requirements on mobile devices?","Management profiles that enforce passcodes, encryption, updates, and app allow or block lists","Optional wallpapers and themes","Keyboard language preferences only","Screen brightness settings only",1
"What are Internet of Things devices?","Embedded networked devices such as cameras, sensors, or thermostats","Desktop computers running a server","Large database clusters","External storage arrays only",1
"What is an important first step when hardening an Internet of Things device?","Change default credentials and update firmware","Disable encryption everywhere","Expose the device directly to the internet","Share the same password across all devices",1
"Which network control best limits the impact of a compromised Internet of Things camera?","Place it on an isolated network segment with limited access","Enable guest mode on the main wireless network","Disable device logging","Share the device password with the team",1
"A phone with client data is lost. Which two actions protect data and accounts?","Use device encryption and issue a remote wipe and also revoke application tokens","Disable the screen rotation setting","Lower the screen brightness","Disable vibration alerts",1
"A user wants to read company email on a personal tablet. What minimum controls are required?","Enroll in management, enable encryption, enforce a strong screen lock with attempt limits, require updates, allow remote wipe on separation","Allow access with no controls for convenience","Share the company password with the user","Disable updates to prevent reboots",1
"Why is a pattern lock often weaker than a personal identification number of the same length?","Smudge trails and observation make patterns easier to guess","Patterns are always shorter than numbers","Patterns disable encryption","Patterns prevent device updates",1
"A smart camera is reachable from the internet with default credentials. What is the immediate risk and fix?","High risk of compromise and change credentials, update firmware, and place it behind a firewall or on an isolated network","Low risk and leave defaults for convenience","No risk and defaults are secure","Disable encryption to improve speed",1
"How do locator applications and remote backup work together after a theft?","Locator helps attempt recovery and remote backup preserves data before issuing a remote wipe","Locator changes the passcode and backup disables email","Locator turns off the camera and backup removes apps","Locator upgrades the operating system and backup reduces storage",1
"A corporate owned phone must block unapproved apps. Which control enforces this?","A managed configuration profile with an application allow list through mobile device management","Ask users not to install anything","Hide the application store icon","Disable the camera",1
"Why combine failed login attempt restrictions with strong backup practices?","Aggressive wipe settings can cause data loss if thresholds are reached and backups prevent permanent loss","It makes the phone charge faster","It improves wireless range","It disables all biometrics",1
"An employee travels to a high risk region. Which settings reduce exposure if the device is seized?","Full device encryption, short auto lock timeout, minimal local data, and a plan for immediate remote wipe","Disable encryption and use a long timeout","Share the passcode with a manager","Install apps from unknown sources",1
"How does securing smartphones differ from securing Internet of Things sensors?","Phones support rich management and user interaction and many Internet of Things devices need network segmentation and simple controls","They are identical in every way","Sensors always have stronger security","Phones never receive updates",1
"A smartwatch paired to a company phone displays notifications. What policy should address this?","Bring your own device or corporate accessory policy that controls pairing and data shown on lock screens","A policy about keyboard vendors","A rule that bans all timepieces","A rule that sets ringtone volume",1
"Why are operating system updates often more important than third party antivirus on phones?","Updates remediate root vulnerabilities platform wide, while antivirus may not prevent exploitation of unpatched flaws","Antivirus always reduces battery life","Updates only add new wallpapers","Antivirus replaces the need for a passcode",1
