Q,Option1,Option2,Option3,Option4,Correct
"What characterizes the Advanced Technology eXtended (ATX) motherboard form factor versus Information Technology eXtended (ITX)?","ATX is generally larger with more expansion slots and headers","ATX is smaller with fewer slots","ITX uses server sockets only","ITX always has multiple CPU sockets",1
"What distinguishes Information Technology eXtended (ITX) boards?","Large tower boards","Small-form-factor boards used in compact systems with limited slots","Laptop-only boards","Fiber backplanes",2
"What is Peripheral Component Interconnect (PCI) on a motherboard?","A legacy parallel expansion bus","A high-speed serial lane architecture","A memory slot","A CPU socket",1
"What is Peripheral Component Interconnect Express (PCIe)?","A serial expansion bus that uses lanes (x1, x4, x8, x16) for add-in cards such as graphics","A parallel ribbon bus","Only a storage interface","A power connector",1
"What are 'power connectors' in this context?","Front-panel jumpers only","Connectors supplying power from the power supply (for example, 24-pin main and 4/8-pin CPU) and SATA power for drives","Only USB headers","Audio jacks",2
"What is Serial ATA (SATA) on a motherboard?","A network interface","A data interface for drives; distinct from the SATA power connector","A CPU socket","An audio port",2
"What is eSATA compared with SATA?","The same physical internal connector","An externalized SATA interface for external drives and docks","A wireless protocol","A power-only lead",2
"What are 'headers' on a motherboard?","Expansion slots for graphics","Pin blocks for front-panel connections, USB, audio, and other internal cabling","Only fan connectors","Only SCSI ports",2
"What is meant by CPU sockets under motherboard compatibility?","Interchangeable generic connectors","Specific mechanical and electrical interfaces for processors that are vendor and generation specific","Only coolers","Only laptop sockets",2
"Which statement about Advanced Micro Devices and Intel sockets is correct?","They are cross-compatible","Each vendor uses different socket families; compatibility depends on platform and generation","All CPUs fit any ITX board","Only servers use sockets",2
"What does 'server' or 'multisocket' motherboard indicate?","Boards that support more than one processor package for higher core counts and memory capacity","Boards that only fit in laptops","Boards that cannot use ECC memory","Boards that lack PCIe slots",1
"What is the purpose of Basic Input/Output System (BIOS) or Unified Extensible Firmware Interface (UEFI) boot options?","Select startup devices and order (for example, solid-state drive, optical, network)","Set screen brightness","Install printer drivers","Encrypt user files",1
"What do 'USB permissions' in firmware typically control?","Voltage of fans","Allowing or blocking booting from and access to Universal Serial Bus devices","Color of LEDs","Wi-Fi passwords",2
"What is Trusted Platform Module (TPM) in firmware settings?","An audio codec","A hardware security chip providing cryptographic functions such as measured boot and disk encryption key storage","A graphics overclocking tool","A cooling sensor",2
"What does 'fan considerations' in firmware usually configure?","Boot password","Fan curves or profiles for temperature-based cooling control","File system format","Video capture settings",2
"What is Secure Boot?","A feature that allows any unsigned bootloader","A firmware feature that checks bootloaders against trusted certificates to prevent unauthorized code at startup","A password for BIOS setup","A network firewall",2
"What does a 'boot password' (setup or power-on) do?","Encrypts user documents","Restricts access to firmware settings or booting without a password","Erases the drive","Disables the CPU",2
"What is a Hardware Security Module (HSM)?","A removable GPU","A dedicated device that safeguards and manages cryptographic keys; can integrate with servers for high-assurance operations","A Wi-Fi antenna","A heat sink",2
"What is x64/x86 in CPU architecture terms?","Audio bit depth","Instruction set families; x86 is 32-bit compatibility, x64 extends to 64-bit processing","Memory channel count","GPU shader versions",2
"What is Advanced RISC Machine (ARM) in this context?","A storage interface","A Reduced Instruction Set architecture common in mobile and some servers emphasizing efficiency","A Windows file system","A GPU bus",2
"What is the difference between single-core and multicore CPUs?","Single-core has one processing core; multicore integrates multiple cores within a single package to execute more threads in parallel","Single-core is always faster","Multicore requires multiple sockets","Single-core supports virtualization only",1
"What is simultaneous multithreading (often called multithreading) on a CPU?","Running two sockets","A technology that lets one physical core schedule multiple hardware threads to improve utilization","A memory type","A GPU feature only",2
"What does 'virtualization support' in a CPU/firmware enable?","3D graphics","Hardware acceleration for running virtual machines (for example, Intel VT-x or AMD-V)","Faster printing","Audio over HDMI",2
