Q,Option1,Option2,Option3,Option4,Correct
What is the purpose of guidelines in a security governance framework,To provide specific instructions for tasks,To establish laws enforceable by government,To outline recommended practices without being mandatory,To define network protocols,3
What is the main purpose of an acceptable use policy,To enforce password changes,To monitor network traffic,To define how organizational resources may be used,To restrict physical access to server rooms,3
What is the focus of an information security policy,To control building entry points,To ensure legal compliance with HR rules,To protect organizational data and systems,To manage application development schedules,3
What is a business continuity policy designed to ensure,Long-term financial growth,Data encryption compliance,Operations can continue during disruptions,The software lifecycle is completed on time,3
What is the goal of a disaster recovery policy,To limit employee internet access,To speed up software patching,To restore systems and data after an incident,To reduce international travel,3
What does an incident response policy define,How to assign user permissions,How to design secure applications,How to react to and manage security events,How to encrypt hard drives,3
What is the software development lifecycle in security governance,An insurance requirement for vendors,An approach to updating password policies,The process of designing and maintaining secure applications,The method of employee onboarding,3
What is the purpose of change management in governance,To oversee facility maintenance,To control and document changes to systems or processes,To hire software developers,To enforce encryption protocols,2
What is a password standard used for in governance,To track who uses passwords,To eliminate passwords entirely,To enforce consistent rules for password creation and management,To assign passwords to executives only,3
What is the role of an access control standard,To define the power supply for hardware,To limit developer access to databases,To outline how user permissions are granted and managed,To build firewalls,3
What does a physical security standard focus on,Securing programming languages,Protecting servers and buildings from unauthorized access,Managing password storage,Developing new encryption algorithms,2
What is the purpose of an encryption standard,To specify backup locations,To define procedures for user termination,To establish how data should be protected using cryptographic methods,To monitor network speeds,3
What does a change management procedure ensure,All business travel is approved,Security awareness training is documented,All modifications to systems are reviewed and approved,Antivirus software is installed monthly,3
What is the purpose of an onboarding/offboarding procedure,To create disaster recovery backups,To regulate physical access controls,To securely add or remove users from systems,To configure firewalls for remote offices,3
What is the purpose of a playbook in incident response,To describe company values,To offer best-practice development guidelines,To outline step-by-step actions for specific security events,To assign office seating arrangements,3
What is a regulatory external consideration in security governance,An internal training policy,An industry-specific guideline,An enforced law or rule from a governing authority,An optional user agreement,3
What is a legal external consideration,A law or regulation that must be followed,An internal system control,An encryption setting,An internet use guideline,1
What is an industry external consideration,Rules created by government officials,Legal contracts with employees,Security requirements common across a business sector,Physical infrastructure design,3
What are local or regional external considerations in governance,Global security policies,Standards from national authorities,Regulations or practices specific to a certain area or state,Encryption techniques used in cloud storage,3
What are national external considerations in governance,Policies enforced by individual teams,Standards created by software vendors,Security rules and laws established at a country level,Firewall configuration guides,3
What are global external considerations in governance,Protocols for satellite communication,Security requirements recognized and followed internationally,Encryption methods only for classified systems,Cloud storage capacity rules,2
What does monitoring and revision refer to in governance,Sending emails to stakeholders,Updating hardware every quarter,Reviewing and improving policies over time,Ordering new security badges,3
What is the purpose of a governance board in cybersecurity,To configure firewalls,To evaluate and direct overall security strategies,To monitor antivirus logs,To review ticket escalations,2
What is the role of committees in a governance structure,To handle hardware repairs,To ensure secure software licensing,To guide security decisions through group oversight,To purchase physical access keys,3
What do government entities contribute to governance,Appointing internal software developers,Creating industry trademarks,Enforcing regulations and compliance standards,Writing employee handbooks,3
What is a centralized governance structure,Control is shared among multiple teams,Security tasks are outsourced,Decisions are made by a single authority or team,Policies are created by external auditors,3
What is a decentralized governance structure,One executive makes all security decisions,Security decisions are made by external contractors,Control is distributed among departments or regions,Only encryption protocols are standardized,3
What is the role of a data owner in governance,To sell company data to partners,To physically guard hard drives,To make decisions about how data is handled and protected,To issue user credentials,3
What is a data controller responsible for,Deciding how data is used and processed,Physically destroying retired storage,Backing up legacy applications,Auditing employee attendance,1
What does a data processor do in governance,Manages encryption key lifecycles,Handles personal data on behalf of the controller,Creates antivirus definitions,Designs security awareness posters,2
What is the responsibility of a data custodian or steward,Physically guarding storage servers,Owning intellectual property,Performing day-to-day maintenance and protection of data,Auditing external vendors,3
How do guidelines differ from procedures in a governance framework,Guidelines are mandatory while procedures are suggestions,Procedures are less detailed than guidelines,Guidelines suggest best practices while procedures provide step-by-step instructions,Guidelines are legal documents while procedures are technical notes,3
What is the main distinction between an acceptable use policy and a business continuity policy,Acceptable use outlines disaster protocols while business continuity governs computer access,Acceptable use covers employee behavior while business continuity ensures operations during disruption,Business continuity restricts data access while acceptable use manages service contracts,Acceptable use prevents backups while business continuity ensures privacy compliance,2
