Q,Option1,Option2,Option3,Option4,Correct
What is the process of discovering potential events that could negatively affect assets,Risk register,Risk identification,Risk mitigation,Risk threshold,2
Which type of risk assessment is performed as needed without a regular schedule,Recurring,Continuous,Ad hoc,One-time,3
Which type of risk assessment occurs on a regular basis,Ad hoc,One-time,Recurring,Mitigated,3
What is a risk assessment conducted a single time to evaluate a specific situation,Continuous,Ad hoc,Recurring,One-time,4
What type of risk assessment is ongoing and embedded into system monitoring,Recurring,Continuous,One-time,Ad hoc,2
Which method of risk analysis uses descriptive categories to estimate impact,Quantitative,Probability-based,Impact-focused,Qualitative,4
Which method of risk analysis uses numbers to calculate potential losses,Qualitative,Quantitative,Exposure-based,Impact estimation,2
What is the expected cost of a single loss event,Annualized rate of occurrence,Annualized loss expectancy,Single loss expectancy,Risk tolerance,3
What is the yearly expected monetary loss from a risk,Single loss expectancy,Annualized rate of occurrence,Risk register,Annualized loss expectancy,4
What is the frequency a loss event is expected to occur in one year,Annualized loss expectancy,Annualized rate of occurrence,Single loss expectancy,Impact factor,2
What is the measure of how likely a specific threat is to occur,Exposure factor,Mitigation,Impact,Probability,4
What is the estimated chance that a risk will occur,Response,Tolerance,Likelihood,Owner,3
What percentage of an asset is lost due to a specific threat event,Single loss expectancy,Impact,Exposure factor,Risk appetite,3
What is the measure of damage that a risk can cause,Exposure factor,Likelihood,Impact,Risk owner,3
What is a centralized document that records and tracks organizational risks,Risk register,Risk threshold,Risk analysis,Risk indicator,1
What is a metric that signals increasing risk before it becomes critical,Risk register,Impact score,Key risk indicator,Mean time to repair,3
Who is the person responsible for managing a specific risk,Risk mitigator,Risk indicator,Risk owner,Risk analyst,3
What is the maximum level of risk an organization is willing to bear before action is required,Risk threshold,Risk appetite,Risk indicator,Risk factor,1
What is the general amount of risk an organization is willing to accept,Risk register,Risk analysis,Risk appetite,Risk control,3
Which type of risk appetite favors taking more risk for potential growth,Conservative,Expansionary,Neutral,Preventative,2
Which type of risk appetite aims to avoid unnecessary risk and protect assets,Expansionary,Neutral,Conservative,Impact-focused,3
What type of risk appetite balances risk and caution depending on context,Neutral,Expansionary,Conservative,Absolute,1
Which strategy shifts risk responsibility to a third party,Risk avoidance,Risk acceptance,Risk transfer,Risk mitigation,3
What is the strategy of acknowledging a risk without taking action,Mitigate,Avoid,Transfer,Accept,4
What is a formal allowance to accept a specific risk under defined conditions,Exception,Exemption,Mitigation,Avoidance,2
What is a temporary allowance to bypass a risk control,Exception,Transfer,Exemption,Mitigation,1
What is the strategy of eliminating the source of a risk to prevent impact,Avoid,Accept,Transfer,Defer,1
What is the strategy of reducing the likelihood or impact of a risk,Accept,Mitigate,Avoid,Transfer,2
What is the process of formally communicating risk data to stakeholders,Risk reporting,Threat analysis,Impact documentation,Risk transfer,1
What process identifies essential functions and their dependencies in case of disruption,Business continuity plan,Disaster recovery,Business impact analysis,Risk register,3
What defines the maximum acceptable time to restore a function after disruption,Recovery time objective,Recovery point objective,Mean time to repair,Service window,1
What defines the maximum acceptable amount of data loss after a failure,Mean time to failure,Service level agreement,Recovery point objective,Recovery time objective,3
What is the average time it takes to fix a failed component,Recovery point objective,Mean time between failures,Mean time to repair,Response objective,3
What is the expected time between inherent failures of a system,Mean time to repair,Recovery point objective,Recovery time objective,Mean time between failures,4
How does risk identification differ from risk analysis,Risk analysis identifies potential threats,Risk identification determines business impact,Risk identification logs the risk,Risk analysis evaluates probability and impact,4
What is a key difference between ad hoc and recurring risk assessments,Recurring assessments are one-time events,Ad hoc assessments are scheduled regularly,Ad hoc assessments are unscheduled and event-driven,Recurring assessments are triggered by anomalies,3
Which assessment type provides the most consistent data over time,One-time,Continuous,Ad hoc,Exemption,2
How does a one-time assessment differ from a recurring one,One-time assessments provide continuous updates,Recurring assessments happen once during onboarding,One-time assessments are isolated events,Recurring assessments are performed after incidents,3
Which risk analysis method uses numbers rather than categories,Qualitative,Subjective,Quantitative,Impact-based,3
Which metric is calculated by multiplying annualized rate of occurrence and single loss expectancy,Probability,Annualized loss expectancy,Exposure factor,Risk appetite,2
Which term represents how often a loss event is expected to occur annually,Impact,Single loss expectancy,Annualized rate of occurrence,Risk tolerance,3
How does exposure factor relate to single loss expectancy,Exposure factor multiplies probability,Exposure factor is used to calculate ALE,Exposure factor is a component of risk register,Exposure factor determines how much of an asset is lost,4
What is the relationship between likelihood and probability,Both represent how severe the impact is,Likelihood is based on subjective judgment,Probability is always lower than likelihood,Likelihood equals recovery time divided by impact,2
Which component of the risk register shows a predefined action point for risk,Risk owner,Risk threshold,Key risk indicator,Exposure factor,2
What distinguishes risk tolerance from risk appetite,Risk tolerance is broader than appetite,Risk appetite is stricter than tolerance,Risk tolerance defines acceptable variation,Risk appetite is based on past losses,3
What defines an expansionary risk appetite compared to a conservative one,Expansionary favors avoiding risk,Conservative promotes innovation,Expansionary seeks opportunity through higher risk,Conservative involves higher probability acceptance,3
What does a neutral risk appetite aim to do,Balances between risk avoidance and acceptance,Maximizes returns regardless of risk,Avoids all risk entirely,Accepts all risks without mitigation,1
How does risk transfer differ from risk mitigation,Mitigation avoids the risk entirely,Transfer reduces risk probability,Transfer shifts responsibility to another party,Mitigation outsources the risk,3
What is the primary difference between exemption and exception in risk acceptance,Exemption applies temporarily,Exception is used for full risk avoidance,Exemption is a broad category,Exception allows bypassing controls under conditions,4
