Q,Option1,Option2,Option3,Option4,Correct
What does the principle of confidentiality ensure in information security,Data is available when needed,Only authorized users can access data,Data is accurate and unchanged,Users are held accountable for actions,2
What is the goal of integrity in the CIA triad,Prevent unauthorized data access,Ensure data is accurate and unaltered,Maintain system uptime,Track user actions,2
Which aspect of the CIA triad focuses on ensuring timely access to resources,Confidentiality,Integrity,Availability,Authorization,3
What does non-repudiation guarantee in a security context,A user can deny performing an action,Only system administrators access logs,Actions cannot be denied by the originator,All communications are encrypted,3
What is the purpose of authentication in security,Prevent unauthorized physical entry,Identify and verify users or systems,Ensure data accuracy,Monitor system logs,2
What is authorization responsible for in access control,Verifying credentials,Assigning privileges and permissions,Encrypting user sessions,Logging user activity,2
What does accounting refer to in AAA,Identifying users,Granting permissions,Tracking and recording user actions,Validating input data,3
What is gap analysis used for in cybersecurity,Encrypting data,Identifying missing controls or compliance gaps,Resetting user passwords,Logging physical access,2
What is the main idea of the Zero Trust model,Trust all internal systems,Use single-layer authentication,Assume no implicit trust and verify all access,Allow external traffic by default,3
What does adaptive identity involve in Zero Trust control plane,Static password rules,User identification that adjusts to context,Assigning fixed roles,Trusting all internal users,2
How does threat scope reduction help security,Expands access rights,Limits access to only necessary resources,Allows anonymous access,Reduces logging and monitoring,2
What is the function of policy-driven access control in Zero Trust,Provides default open access,Allows access based on dynamic rules and conditions,Uses only usernames for control,Disables access logs,2
What is the role of the policy administrator in a Zero Trust architecture,Blocks all access requests,Evaluates requests and enforces access decisions,Physically guards servers,Develops user training material,2
What does the policy engine do in Zero Trust,Stores login credentials,Generates and evaluates access decisions based on policy,Encrypts data at rest,Disables system updates,2
What are implicit trust zones in the data plane,Areas assumed safe without verification,Zones protected by firewalls,Segments requiring two-factor authentication,Encrypted backup zones,1
What is the subject or system in Zero Trust,The resource being requested,The user or entity requesting access,The log of previous access attempts,The physical network,2
What is the function of the policy enforcement point,Detect anomalies in the network,Apply decisions made by the policy engine,Perform software updates,Send alerts to administrators,2
What is the purpose of a bollard in physical security,Illuminate dark areas,Prevent vehicle-based attacks,Authenticate users,Detect network intrusions,2
What is an access control vestibule designed to do,Allow multiple people to enter quickly,Control one person at a time for access verification,Enable emergency exits,Store visitor logs,2
How does fencing enhance security,Detects motion,Restricts physical entry to a perimeter,Grants digital access,Authenticates user credentials,2
What is the function of video surveillance in physical security,Encrypt data transmissions,Verify network configuration,Monitor and record physical activity,Manage system logs,3
What role does a security guard play in physical security,Automatically unlock doors,Monitor systems remotely,Provide human oversight and response,Encrypt file systems,3
