Q,Option1,Option2,Option3,Option4,Correct
"What does a crimper do in copper cabling work?","Seats wires into insulation displacement connector (IDC) slots on a patch panel","Attaches modular connectors (for example, RJ-45) to the ends of twisted-pair cable by compressing the contacts","Locates a cable in a bundle using an audible tone","Measures WiFi channel use",2
"What is the purpose of a cable stripper?","Remove the outer jacket of a cable without damaging the inner conductors","Test end-to-end continuity","Amplify a toner signal","Terminate fiber with connectors",1
"What does a WiFi analyzer help you determine?","Which Ethernet pairs are split","Radio signal strength, channel utilization, and interference sources for wireless networks","Which cables are open or shorted","Power over Ethernet voltage levels",2
"What tool pair is commonly used to trace an unlabelled copper cable through walls or bundles?","Loopback plug and cable tester","Punchdown tool and crimper","Toner (tone generator) and inductive probe","Network tap and switch",3
"What is the function of a punchdown tool?","Crimps RJ-45 plugs to cable ends","Seats individual wires into insulation displacement connector (IDC) slots on 66 or 110 blocks or keystone jacks, trimming excess","Measures packet loss on WiFi","Detects duplicate IP addresses",2
"What is a cable tester used for?","Testing only wireless throughput","Validating copper pair mapping and continuity; detecting opens, shorts, and miswires","Provisioning Dynamic Host Configuration Protocol (DHCP) scopes","Configuring Virtual Local Area Networks (VLANs)",2
"What does a loopback plug do?","Bridges transmit to receive on a port to verify the interface or network interface card (NIC) and link electronics","Repeats wireless signals","Converts copper to fiber","Captures traffic for analysis",1
"What is a network tap?","A device that passively copies network traffic for analysis without interrupting flow","A device that injects power into Ethernet","A wireless range extender","A punchdown adapter",1
"Which tool should you use first when making a custom Category 6 patch cable?","Cable tester","Cable stripper to remove the jacket","Toner probe","Loopback plug",2
"Which tool is best to terminate horizontal cabling into a patch panel?","Crimper","Punchdown tool","Toner probe","Loopback plug",2
"Which scenario calls for a toner and probe set?","Validating that pairs are correctly terminated on a new jack","Finding the far end of an unlabelled cable behind a wall","Checking WiFi channel overlap","Testing an Ethernet adapter on a laptop without a switch",2
"Which scenario is ideal for a loopback plug?","Tracing cable runs","Testing whether a network interface card (NIC) can establish link and pass a built-in self-test","Measuring WiFi signal-to-noise ratio","Checking fiber light levels",2
"What can a basic cable tester NOT verify that a certifier can?","End-to-end continuity","Correct pinout","Performance parameters like attenuation and near-end crosstalk to a standards limit","Open or short detection",3
"Which statement compares crimper and punchdown tools correctly?","Both only test cables","Crimper attaches modular plugs to cable ends; punchdown seats individual wires into insulation displacement connector (IDC) blocks or keystones","Crimper is for fiber; punchdown is for coax","Punchdown creates WiFi links",2
"Which tool directly helps plan access point channel assignments?","Cable tester","WiFi analyzer","Crimper","Loopback plug",2
"A newly installed jack fails continuity on pairs 3 and 6. Which tool fixes this most directly?","WiFi analyzer","Punchdown tool to reseat wires into insulation displacement connector (IDC) slots","Loopback plug","Toner probe",2
"You built a patch cable and want to confirm T568B pinout and continuity. Which tool set is best?","Cable tester with remote end","Toner and probe","Network tap","Punchdown tool only",1
"You need to capture real production traffic for intrusion analysis without affecting the live link. Best choice?","Loopback plug","Switch port in access mode","Network tap","Toner probe",3
"A user claims WiFi is slow at lunchtime. Which tool gives evidence to choose new channels?","Cable tester","WiFi analyzer showing channel utilization and interference","Crimper","Loopback plug",2
"You suspect an office cable bundle is mislabeled. Which workflow is best?","Use a WiFi analyzer to scan channels","Attach a tone generator to the suspected jack and follow the sound with the inductive probe at the patch panel","Crimp new plugs on every cable","Install a network tap on each run",2
"A NIC link light stays off when connected to a known-good switch. Which quick test isolates the NIC?","Use a network tap","Attach a loopback plug to the NIC and check for link activity or run NIC diagnostics","Use a toner probe","Punch down the cable again",2
"A run passes continuity but users report intermittent errors at high speeds. Which tool class provides deeper verification to standards?","Basic continuity tester","Certification grade cable analyzer that measures parameters such as attenuation and near-end crosstalk","Toner probe","Loopback plug",2
