Q,Option1,Option2,Option3,Option4,Correct
What is the main goal of the preparation phase in incident response,To analyze threat intelligence,To define plans and gather tools before an incident occurs,To isolate affected systems,To restore backups after an attack,2
What does the detection phase focus on in incident response,Restoring services,Preventing future attacks,Identifying and recognizing potential security events,Prosecuting attackers,3
What is the primary activity in the analysis phase of incident response,Installing antivirus,Training new staff,Determining the scope and impact of an incident,Reporting audit results,3
What is the goal of containment during incident response,To stop malware from spreading further in the environment,To determine the root cause of the breach,To delete old backups,To contact legal counsel,1
What is the purpose of the eradication phase in incident response,To recover lost data,To gather chain of custody documentation,To remove the root cause and artifacts of the incident,To simulate future attacks,3
What happens during the recovery phase of incident response,Identify malicious actors,Develop detection tools,Bring systems back online safely and verify integrity,Submit audit logs for compliance,3
Why is the lessons learned phase critical in incident response,It reduces help desk tickets,It prevents hardware failures,It improves response by analyzing what worked and what failed,It upgrades the firewall,3
What is the purpose of incident response training,To evaluate risk tolerance,To improve user interface design,To ensure personnel understand their roles and responsibilities,To monitor uptime,3
What is a tabletop exercise in the context of incident response,An actual attack against the network,An automated scan of systems,An in-person discussion-based walk-through of a simulated incident,Training for new software,3
What is a simulation in incident response testing,Reviewing logs from last month,Practicing theoretical risk planning,An interactive and often live test of response procedures,Writing policy documents,3
What is the goal of root cause analysis after a security incident,To assign blame to a user,To back up all files,To identify the fundamental reason the incident occurred,To renew service licenses,3
What does threat hunting involve,Waiting for alerts to trigger,Manually searching for indicators of compromise before an alert is triggered,Sending out phishing tests to employees,Installing updates,2
What is the purpose of a legal hold in digital forensics,To notify the public of a breach,To prevent the destruction of relevant evidence,To create a new password policy,To submit insurance claims,2
What does the chain of custody ensure in a forensic investigation,That backups are encrypted,That evidence is collected and handled without tampering,That the firewall is active,That audit logs are rotated,2
What is the acquisition phase in digital forensics,The phase where data is modified for analysis,The collection of relevant evidence in a forensically sound manner,The encryption of systems,The monitoring of user accounts,2
Why is reporting important in digital forensics,It helps IT budgets,It tracks login attempts,It documents findings and actions taken during the investigation,It resets the password policy,3
What is the main goal of preservation in digital forensics,To keep systems running after a breach,To ensure evidence remains intact and unaltered,To submit data to antivirus vendors,To update the asset inventory,2
What is e-discovery in the context of digital forensics,Erasing hard drives after collection,Identifying and producing electronic information for legal purposes,Encrypting internal documents,Scanning devices for malware,2
How does the preparation phase differ from detection in the incident response process,Preparation involves restoring systems while detection focuses on firewall rules,Preparation establishes tools and roles before incidents while detection identifies actual events,Preparation involves patch management while detection involves recovery,Preparation requires legal review while detection requires forensic imaging,2
Which best describes the difference between analysis and containment,Analysis focuses on determining impact while containment aims to eliminate vulnerabilities,Analysis identifies root causes while containment scans for malware,Analysis is part of training while containment is optional,Analysis compares logs while containment creates backups,1
What distinguishes eradication from recovery during incident response,Eradication removes the threat source while recovery restores systems to operation,Eradication involves legal hold while recovery reports findings,Eradication sends alerts while recovery scans for vulnerabilities,Eradication performs encryption while recovery resets accounts,1
How is lessons learned different from preparation in incident response,Lessons learned prepares team roles while preparation evaluates prior responses,Lessons learned builds network defenses while preparation writes audit reports,Lessons learned reviews completed incidents to improve future response while preparation creates readiness plans,Lessons learned runs backups while preparation manages licenses,3
How does training differ from testing in incident response,Training ensures people understand their roles while testing simulates incidents to evaluate procedures,Training is required by law while testing is voluntary,Training uses virtual machines while testing uses scripts,Training is reactive while testing is passive,1
How do tabletop exercises differ from simulations,Tabletop exercises are discussion-based while simulations are hands-on and interactive,Tabletop exercises require automation while simulations do not,Tabletop exercises involve only legal staff while simulations include only IT,Tabletop exercises always include real malware while simulations do not,1
What separates root cause analysis from analysis in incident response,Root cause analysis finds the fundamental issue while analysis estimates potential costs,Root cause analysis traces original failure while analysis identifies symptoms and scope,Root cause analysis verifies backups while analysis verifies firewalls,Root cause analysis is done during containment while analysis is done during recovery,2
What makes threat hunting different from detection in the incident response process,Threat hunting is reactive while detection is proactive,Threat hunting passively waits for alerts while detection launches scans,Threat hunting seeks threats without alerts while detection responds to alerts,Threat hunting recovers lost systems while detection involves training,3
How does a legal hold differ from evidence preservation in digital forensics,Legal hold instructs to preserve data while preservation ensures data remains unchanged,Legal hold deletes old backups while preservation encrypts evidence,Legal hold stores logs while preservation performs log rotation,Legal hold archives chain of custody while preservation triggers analysis,1
What is the key distinction between chain of custody and acquisition in digital forensics,Chain of custody tracks evidence handling while acquisition collects the evidence,Chain of custody scans files while acquisition preserves backups,Chain of custody creates hashes while acquisition logs activity,Chain of custody encrypts files while acquisition removes malware,1
How does reporting differ from acquisition in a forensic investigation,Reporting involves documenting findings while acquisition focuses on collecting evidence,Reporting triggers alerts while acquisition scans logs,Reporting edits files while acquisition encrypts them,Reporting erases threats while acquisition performs containment,1
What distinguishes preservation from reporting in digital forensics,Preservation ensures integrity of evidence while reporting documents the process and results,Preservation copies logs while reporting verifies certificates,Preservation removes malware while reporting deletes old files,Preservation generates reports while reporting archives them,1
How does e-discovery differ from acquisition in forensic procedures,E-discovery focuses on legal relevance of data while acquisition collects data for analysis,E-discovery scans for signatures while acquisition removes threats,E-discovery deletes old files while acquisition scans memory,E-discovery encrypts logs while acquisition rotates backups,1
During an incident response exercise, which task would be completed in the preparation phase,Restoring service availability,Analyzing root cause,Creating incident playbooks,Shutting down compromised systems,3
A security analyst notices suspicious outbound traffic and initiates log review. What phase of incident response are they performing,Detection,Recovery,Containment,Eradication,1
After detecting unauthorized access, a team investigates system logs to determine scope and impact. What phase is this,Preparation,Eradication,Analysis,Lessons learned,3
If a malware outbreak is spreading across the network, which action represents containment,Creating password policies,Disconnecting infected machines from the network,Installing antivirus on new endpoints,Backing up data for review,2
After isolating infected systems, what action is most appropriate during the eradication phase,Restoring service from backup,Identifying and removing the malware payload,Changing firewall rules for future attacks,Sending alerts to management,2
What is the primary goal during the recovery phase of incident response,Analyzing threat origin,Restoring normal operations and verifying stability,Documenting final report,Preserving forensic evidence,2
Which task is most appropriate during the lessons learned phase after an incident is resolved,Updating antivirus definitions,Decommissioning old equipment,Reviewing what went well and what needs improvement,Isolating infected machines,3
An organization holds monthly sessions reviewing past incident scenarios and team performance. This best describes which activity,Containment,Testing,Training,Lessons learned,3
A company stages a tabletop exercise to evaluate its ransomware response. What is the key goal,Execute live malware to test endpoints,Simulate a response scenario without disrupting systems,Rotate incident response personnel,Automate containment processes,2
Which approach uses active tools to test systems under attack-like conditions,Simulation,Root cause analysis,Preservation,Alerting,1
A team performs root cause analysis after a data breach. What is the best outcome of this activity,Identifying the attacker identity,Determining the exact vulnerability exploited,Formatting all hard drives,Encrypting data backups,2
Which activity involves proactively searching for indicators of compromise before alerts occur,Root cause analysis,Preservation,Threat hunting,Containment,3
Which action would fulfill a legal hold request during an investigation,Wiping systems for reuse,Instructing personnel not to delete emails or files,Blocking IP addresses from firewall,Upgrading software on endpoints,2
While handling digital evidence, which action helps ensure chain of custody is maintained,Compressing files for storage,Hashing evidence and documenting every access,Sending evidence via unsecured email,Uploading logs to a public server,2
A forensic analyst is copying volatile data from a compromised system. This step is known as what,Preservation,Acquisition,Eradication,Recovery,2
What action must occur after collecting evidence and before final case closure,Updating antivirus definitions,Creating a lessons learned plan,Submitting a full incident report,Deploying firewall rules,3
Which activity ensures that digital evidence remains unchanged and admissible in court,Reporting,Containment,Preservation,E-discovery,3
A legal team requests access to specific user data during litigation. Which term describes this process,E-discovery,Detection,Training,Chain of custody,1
