Q,Option1,Option2,Option3,Option4,Correct
What type of log provides records of allowed and blocked traffic across network boundaries,Application logs,Firewall logs,Endpoint logs,Metadata,2
Which log type captures errors and events generated by software applications,Network logs,Firewall logs,Application logs,OS-specific security logs,3
Which logs are collected directly from user devices to track local activities and system events,Firewall logs,Endpoint logs,Packet captures,Dashboards,2
What type of log includes entries like login attempts and permission changes on an operating system,Endpoint logs,Firewall logs,OS-specific security logs,Automated reports,3
Which type of log shows alerts generated by systems monitoring for known attack patterns,IPS/IDS logs,Metadata,Firewall logs,Packet captures,1
Which log source provides a summary of communication patterns and traffic flow on a network,OS-specific security logs,Application logs,Network logs,Vulnerability scans,3
What is the term for data that provides information about other data, such as timestamps or sender details,Dashboard,Packet capture,Metadata,Vulnerability scan,3
Which tool generates a list of known weaknesses on a system or network based on scanning,Firewall log,Metadata,Dashboard,Vulnerability scan,4
What type of report is created automatically by systems to summarize activity or performance,Dashboard,Packet capture,Automated report,Firewall log,3
Which visual tool provides a real-time overview of system or network status using graphs and summaries,Packet capture,Dashboard,Application log,Metadata,2
What data source captures raw network traffic including headers and payloads for analysis,Metadata,Dashboard,Vulnerability scan,Packet capture,4
How do firewall logs differ from network logs,Firewall logs track physical hardware issues while network logs record access attempts,Firewall logs monitor internal processes while network logs monitor software bugs,Firewall logs record traffic at security boundaries while network logs show all traffic patterns,Firewall logs include data payloads while network logs only show headers,3
How are application logs different from OS-specific security logs,Application logs record software behavior while OS-specific logs track hardware changes,Application logs capture app-level events while OS-specific logs track operating system security-related actions,Application logs are stored in RAM while OS-specific logs are stored in the cloud,Application logs show login attempts while OS-specific logs show packet captures,2
How do endpoint logs relate to IPS/IDS logs,Endpoint logs detect external network threats while IPS/IDS logs track local machine errors,Endpoint logs are focused on local device activity while IPS/IDS logs monitor and respond to network threats,Endpoint logs capture DNS queries while IPS/IDS logs capture application crashes,Endpoint logs analyze firewall policies while IPS/IDS logs show license violations,2
What is a key distinction between OS-specific security logs and IPS/IDS logs,OS-specific logs track user activity while IPS/IDS logs track backup events,OS-specific logs are used for patching while IPS/IDS logs provide telemetry data,OS-specific logs monitor local system actions while IPS/IDS logs detect and report network intrusions,OS-specific logs store metadata while IPS/IDS logs create dashboards,3
How do network logs differ from packet captures,Network logs summarize communication activity while packet captures contain full data streams,Network logs are encrypted while packet captures are plaintext only,Network logs store firewall rules while packet captures store configurations,Network logs analyze user behavior while packet captures show password policies,1
How does metadata support log analysis,Metadata includes firewall rules while logs contain timestamps,Metadata provides context such as time and location to aid interpretation of log data,Metadata holds encryption keys while logs display device names,Metadata stores traffic direction while logs store certificate chains,2
How are vulnerability scans different from packet captures,Vulnerability scans check for weaknesses while packet captures record live traffic data,Vulnerability scans show email usage while packet captures highlight OS updates,Vulnerability scans store hashed credentials while packet captures show logs only,Vulnerability scans detect malware while packet captures record passwords,1
How do automated reports and dashboards differ,Automated reports display raw packet data while dashboards generate log files,Automated reports provide scheduled summaries while dashboards present interactive real-time views,Automated reports are generated manually while dashboards are system logs,Automated reports contain firewall signatures while dashboards visualize DNS queries,2
How do dashboards complement packet captures,Dashboards store entire network sessions while packet captures create email alerts,Dashboards display historical graphs while packet captures detect network hardware,Dashboards provide visual summaries while packet captures offer granular network traffic analysis,Dashboards enforce password policies while packet captures prevent unauthorized access,3
While investigating blocked outbound connections, a security analyst notices repeated denials logged for IP addresses outside the organization,Which log would best help identify the blocked attempts,Application logs,Firewall logs,Metadata,OS-specific security logs,2
A developer reports that a web app is not functioning correctly after a recent update. Which logs are most likely to help troubleshoot the issue,Firewall logs,Endpoint logs,Application logs,IPS logs,3
During an incident response, a compromised laptop is being reviewed. Which logs should be analyzed to identify suspicious local activity,Firewall logs,Endpoint logs,Dashboard exports,Vulnerability scan data,2
An administrator is auditing login attempts to a Linux server. Which logs should be consulted to identify repeated failed login attempts,OS-specific security logs,Application logs,Vulnerability reports,SNMP traps,1
An intrusion detection system has flagged unusual traffic. Which logs would help confirm whether the activity was malicious or benign,Automated reports,IPS logs,Firewall logs,Password logs,2
A security team wants to understand the volume and type of traffic between departments. Which logs should they analyze,Firewall logs,Metadata,Network logs,Application logs,3
While reviewing file access logs, an analyst needs to determine when a file was accessed and from where. Which additional information is most useful,Metadata,Firewall logs,Packet captures,Security groups,1
An organization wants to proactively identify vulnerabilities in externally facing systems. What should they schedule,IPS alerts,Manual patching,Firewall policy review,Vulnerability scans,4
Which tool allows a team lead to quickly view threat statistics and active alerts across all regions in a visual interface,Packet captures,Firewall rules,Dashboards,Chain of custody logs,3
Which data source provides the most detailed view of real-time traffic content during a suspected exfiltration event,Vulnerability reports,Automated reports,Endpoint logs,Packet captures,4
