Q,Option1,Option2,Option3,Option4,Correct
"What is a physical network diagram?","A map of subnets and routing domains","A drawing that shows real devices, racks, and cabling routes and terminations","A list of IP address assignments","A table of routing metrics",2
"What is a logical network diagram?","A map of physical cable trays and rack elevations","A conceptual view showing subnets, virtual local area networks, routing, and traffic flows","A list of warranty expirations","A map of fire extinguishers",2
"Which diagram most commonly shows exact cable types and port IDs?","Layer 1 (physical) network diagram","Layer 2 network diagram","Layer 3 network diagram","Wireless heat map",1
"Which diagram is best for showing virtual local area networks and switch trunks?","Layer 1 (physical) network diagram","Layer 2 network diagram","Layer 3 network diagram","Rack elevation diagram",2
"Which diagram is best for showing IP subnets and routing between them?","Layer 1 (physical) network diagram","Layer 2 network diagram","Layer 3 network diagram","Cable map",3
"What does a rack diagram capture?","Only IP address plans","The front view of mounted equipment with rack unit positions, dimensions, and dependencies","Only wireless channels","Only DHCP scopes",2
"What is a cable map or diagram used for?","Tracking encryption keys","Documenting cable paths, endpoints, labels, and patch-panel mappings","Tracking application versions","Listing wireless clients",2
"What is asset inventory in networking?","A tool for drawing diagrams","A complete record of hardware, software, licensing, and warranty/support details","A list of coffee machines","A database of end-user passwords",2
"What is Internet Protocol Address Management (IPAM)?","A replacement for Domain Name System servers","A system/process to plan, allocate, track, and audit Internet Protocol addresses and integrate with Dynamic Host Configuration Protocol and Domain Name System","A backup generator","A wireless survey tool",2
"What is a service-level agreement (SLA)?","An internal change ticket","A contract defining measurable service targets such as uptime and response time","A list of server hostnames","A security policy for passwords only",2
"What is a wireless survey/heat map?","A tool for measuring power distribution in racks","A visualization of signal strength, interference, and coverage to guide access point placement","A Layer 3 routing map","A diagram of fire suppression",2
"What does end-of-life (EOL) indicate?","The vendor still sells the product but stops updates","The vendor stops selling new units; limited or no updates going forward","The vendor adds new features","The product has unlimited support",2
"What does end-of-support (EOS) indicate?","The vendor will continue firmware patches indefinitely","The vendor no longer provides fixes or assistance, which increases operational risk","The vendor provides extended warranties automatically","The product is recalled",2
"Which falls under software management in life-cycle management?","Patches and bug fixes, operating system updates, and firmware updates","Only power supplies","Only rack doors","Only cabling labels",1
"What is decommissioning?","Power-cycling a device","Securely retiring assets, including configuration backup, data sanitization, and proper disposal","Changing an Internet Protocol address","Replacing a fan tray",2
"What is change management in networking?","Ad-hoc edits to live devices","A controlled process for requesting, approving, implementing, and documenting changes","A daily stand-up meeting","Only emergency reboot procedures",2
"What is a production configuration?","A lab template for future builds","The active, running configuration on a device providing service","A random backup file","A power plan",2
"What is a backup configuration?","A printed manual","A stored copy of device configuration for recovery and audit purposes","A logical diagram","A heat map",2
"What is a baseline or golden configuration?","The worst-performing config kept for history","A known-good, approved standard configuration used for comparison and drift detection","A vendor’s factory default","A nightly auto-saved log",2
"Why keep a baseline plus backups?","It eliminates the need for approvals","To compare current settings to a standard and to restore quickly after failures or bad changes","To reduce rack weight","To avoid documenting changes",2
"Which documentation best helps a technician trace a failed copper link from desk to switch port?","Layer 3 diagram","Cable map with patch-panel mappings and labeling scheme","Wireless heat map","Asset inventory",2
"Which document helps plan capacity for a refresh cycle by warranty status?","Wireless heat map","Asset inventory including warranty support dates","Layer 2 diagram","Change log",2
