Q,Option1,Option2,Option3,Option4,Correct
What is the purpose of an electrostatic discharge wrist strap?,Prevent shock to the user,Prevent static electricity from damaging components,Provide earth ground for wall power,Detect electrical shorts,2
Where should an electrostatic discharge wrist strap be connected?,Painted metal,Live power pin,Unpainted metal on the computer case that is grounded,Plastic bezel,3
What humidity range best reduces static electricity in offices?,0-10 percent,10-30 percent,40-60 percent,80-90 percent,3
Which packaging should you use to store or transport components?,Bubble wrap,Antistatic bag,Paper envelope,Plastic grocery bag,2
Before servicing a computer, what is the first safety step?,Remove the power supply,Disconnect power from the outlet,Short capacitors with a screwdriver,Remove the processor cooler,2
Which fire extinguisher class is appropriate for electrical fires?,Class A,Class B,Class C,Class K,3
What tool safely removes dust from a power supply?,Vacuum with metal nozzle,Air compressor at very high pressure,Electrostatic-safe vacuum,Cloth rag,3
Proper lifting technique emphasizes...,Twisting at the waist,Lifting with your legs,Locking knees and pulling with your back,Bending and twisting together,2
Which statement about electrostatic discharge mats is correct?,They insulate the user,They provide a controlled path to ground,They store static for later discharge,They require no ground lead,2
Why should you never open or service a power supply?,Low voltage only is present,High-voltage capacitors can retain charge and cause injury,There are no moving parts,It voids a software license,2
When is eye protection most important?,Editing settings,Soldering or cutting ties,Installing memory,Reviewing logs,2
What is the purpose of equipment grounding?,Improve wireless speed,Reduce radio noise only,Provide a safe path for fault current,Increase fan speed,3
Which clothing choice best reduces static electricity?,Wool sweater,Silk shirt,Synthetic fleece,Cotton T-shirt,4
How should circuit boards be handled on the workbench?,By contacts or pins,By edges,By the heatsink only,By attached cables,2
Which action is least safe when cleaning a computer?,Power off and unplug,Use isopropyl alcohol on contacts,Use a household vacuum with a metal nozzle,Use an electrostatic-safe brush,3
What document must be posted where chemicals are used?,Safety Data Sheet,Holiday schedule,Only asset tags,Packing slip,1
What is the safest way to free a stuck power connector?,Pull on the wires,Wiggle the connector housing at the plug,Grip metal pins with pliers,Heat the plug,2
Why should jewelry be removed when servicing equipment?,It looks unprofessional,It may cause short circuits or get caught,It violates software policy,It adds radio noise,2
Which mask helps when cleaning heavy dust from systems?,Paper towel,Particulate respirator mask,No mask needed,Surgical drape,2
Where should drinks be kept relative to electronics on a workbench?,Beside the work area,On top of the case,In a closed cabinet away from the bench,Next to the cooling fan,3
