Q,Option1,Option2,Option3,Option4,Correct
"What is the first step in a structured troubleshooting methodology?","Implement a fix immediately","Identify the problem by gathering information, questioning users, and identifying symptoms","Escalate to a vendor","Document lessons learned",2
"What does 'gather information' accomplish in troubleshooting?","It replaces the need to test","It establishes context such as who is affected, when it began, and what changed","It automatically fixes issues","It measures link speed",2
"What is the value of 'questioning users' early?","Users always provide technical fixes","It captures observed behavior and recent changes that instruments may miss","It replaces packet capture","It determines power budgets",2
"What does 'identify symptoms' focus on?","Listing every device on the network","Separating observed effects (for example, cannot reach internet) from assumptions about causes","Choosing a replacement switch","Scheduling maintenance windows",2
"What does 'determine if anything has changed' look for?","Only firmware releases","Recent config, environment, or workload changes correlated with the issue","Only new user accounts","Only new patch cables",2
"Why 'duplicate the problem, if possible'?","To make it worse","To reproduce the failure in a controlled way to observe it and validate the fix","To roll back configs","To gather warranty info",2
"How should multiple problems be approached?","As one big incident","Individually, to avoid confounding causes and to isolate variables","Only by replacing hardware","By disabling authentication",2
"What is 'establish a theory of probable cause'?","Choosing a random fix","Forming the most likely explanation based on evidence and knowledge","Escalating to management","Running speed tests only",2
"What does 'question the obvious' mean?","Ignore simple explanations","Verify basics like power, cabling, and correct ports before complex analysis","Assume the core router failed","Skip to escalations",2
"What is a 'top-to-bottom' approach?","Start at physical and work up the stack","Start at application and work down the stack","Change all settings at once","Bypass the OSI model",2
"What is a 'bottom-to-top' approach?","Start at application and work down the stack","Start at physical and work up through the OSI model","Only test wireless","Replace cables first every time",2
"What is the OSI model used for here?","A licensing requirement","A structured framework to locate faults by layer (physical, data link, network, etc.)","A VLAN trunking protocol","A password policy",2
"What is 'divide and conquer' in troubleshooting?","Testing every device","Picking a midpoint in the path to test; if it works, move farther, if not, move closer to the user","Replacing transceivers","Only using logs",2
"What is the purpose of 'test the theory to determine the cause'?","To prove or disprove the theory with targeted checks or changes","To close the ticket faster","To document lessons learned","To purchase hardware",1
"If a theory is confirmed, what should happen next?","Randomly change configs","Determine next steps to resolve the problem","Open a new incident","Ignore preventive measures",2
"If a theory is not confirmed, what is the correct action?","Escalate without notes","Establish a new theory or escalate with evidence","Roll back the entire network","Replace the core switch immediately",2
"What does 'establish a plan of action and identify potential effects' require?","Implementing changes with no approvals","Defining the change, timeline, backout plan, risk, and impact before touching production","Only emailing stakeholders","Skipping maintenance windows",2
"What is the difference between 'implement the solution' and 'escalate as necessary'?","There is no difference","Implement when authorized and capable; escalate when scope or risk requires additional support","Always escalate first","Only implement during business hours",2
"What does 'verify full system functionality' confirm?","Only that a ping works","That the fix resolved root cause and that dependent services operate normally","That logs are rotated","That users received an email",2
"What is the purpose of 'implement preventive measures if applicable'?","To add random features","To reduce recurrence through actions like patches, configuration hardening, or monitoring","To extend warranties","To increase bandwidth always",2
"What must 'document findings, actions, outcomes, and lessons learned' include?","Only successful steps","Symptoms, root cause, what changed, the fix, verification, and prevention for future reference","Private user data","Screenshots only",2
"Which step best fits after duplicating a problem and finding the switchport down due to err-disable?","Document lessons learned first","Establish a theory (port security violation) and test by checking logs and counters","Replace the rack immediately","Change the default gateway",2
"Which approach is most appropriate when a user can reach local resources but not the internet?","Top-to-bottom starting at application","Bottom-to-top from physical cabling toward the edge router, reviewing default gateway and NAT","Only capture packets on the server","Replace fiber",2
