Q,Option1,Option2,Option3,Option4,Correct
"What is a hard disk drive?","Solid-state memory with no moving parts","Spinning magnetic platters with an actuator arm and heads","Optical media read by a laser","Tape cartridge with sequential access",2
"Which rotational speed offers the lowest average latency among common desktop drives?","5,400 revolutions per minute","7,200 revolutions per minute","10,000 revolutions per minute","15,000 revolutions per minute",4
"Which rotational speed is most common in thin laptops to save power and reduce noise?","5,400 revolutions per minute","7,200 revolutions per minute","10,000 revolutions per minute","15,000 revolutions per minute",1
"Which hard drive form factor is typical for desktops and servers needing large capacity?","2.5 inch","3.5 inch","M.2","mSATA",2
"Which hard drive form factor is typical inside laptops and small form factor PCs?","2.5 inch","3.5 inch","5.25 inch","M.2",1
"What is a solid-state drive?","A drive using flash memory with no moving parts for low latency and high shock resistance","A drive using spinning platters","A tape library","An optical disc",1
"What is Non-Volatile Memory Express (NVMe)?","A file system for flash cards","A command set and protocol optimized for PCI Express access to solid-state storage","A USB external enclosure type","A SCSI parity scheme",2
"What is Serial ATA (SATA) in the context of storage?","A network protocol","A serial host interface for drives such as hard disks and solid-state drives","A memory card format","A power connector only",2
"What is Peripheral Component Interconnect Express (PCIe) in storage?","A parallel expansion bus","A high-speed serial bus used by NVMe solid-state drives and add-in cards","A fiber connector","An optical standard",2
"What is the M.2 form factor?","A 2.5 inch drive bay form factor","A small card form factor that can carry either NVMe over PCIe or SATA depending on the device and motherboard slot","A USB flash drive shape","A tape cartridge size",2
"What is mSATA?","A miniature SATA drive form factor that uses SATA signaling over a mini-PCIe style card","A memory card for cameras","A network protocol","A coax connector",1
"Which pairing provides the highest throughput and lowest latency for a single client workstation?","2.5 inch SATA solid-state drive","M.2 SATA solid-state drive","M.2 NVMe solid-state drive over PCI Express","7,200 revolutions per minute hard disk drive",3
"Which statement about M.2 is accurate?","All M.2 drives are NVMe only","M.2 can be either NVMe over PCI Express or SATA; the motherboard slot must support the drive type","M.2 is an optical format","M.2 is only for Wi-Fi cards",2
"What is Redundant Array of Independent Disks (RAID) 0?","Mirroring for fault tolerance","Striping for performance with no redundancy","Striping with parity across three or more disks","Mirrored pairs striped together",2
"What is Redundant Array of Independent Disks (RAID) 1?","Parity across several disks","Mirroring that duplicates data to another disk for redundancy","Striping only","Erasure coding",2
"What is Redundant Array of Independent Disks (RAID) 5?","Striping with distributed parity that tolerates a single-disk failure (minimum three disks)","Mirroring only","No redundancy","Two mirrors with no striping",1
"What is Redundant Array of Independent Disks (RAID) 10?","Parity only","Mirroring and striping combined (striped set of mirrored pairs; minimum four disks)","Single disk with hot spare","Optical jukebox",2
"Which removable storage is best for quickly transferring files between PCs without a network?","Flash drive on Universal Serial Bus","Memory card (Secure Digital) in a camera","Optical disc (DVD)","Tape cartridge",1
"Which removable storage is most common inside digital cameras?","Flash drive","Secure Digital memory card","Optical disc","Tape",2
"Which removable storage is most suitable for distributing read-only media or archival write-once content?","USB flash drive","Optical disc such as DVD or Blu-ray","Tape cartridge","Secure Digital card",2
"A budget desktop needs bulk storage for large media libraries with acceptable performance. Best choice?","M.2 NVMe solid-state drive","3.5 inch 7,200 revolutions per minute hard disk drive","2.5 inch 5,400 revolutions per minute hard disk drive","M.2 SATA solid-state drive",2
"A thin laptop needs better battery life and faster boot without changing bays. Best choice?","2.5 inch SATA solid-state drive","3.5 inch hard disk drive","External optical drive","Tape cartridge",1
"A video-editing workstation needs a fast scratch disk on a single drive. Best choice?","M.2 NVMe solid-state drive","2.5 inch SATA solid-state drive","7,200 revolutions per minute hard disk drive","USB flash drive",1
"Four 2 terabyte drives are configured as Redundant Array of Independent Disks (RAID) 5. Approximate usable capacity?","2 terabytes","4 terabytes","6 terabytes","8 terabytes",3
"Four 2 terabyte drives are configured as Redundant Array of Independent Disks (RAID) 10. Approximate usable capacity?","2 terabytes","4 terabytes","6 terabytes","8 terabytes",2
"Which statement compares 2.5 inch and 3.5 inch drives correctly?","2.5 inch typically fits laptops; 3.5 inch typically fits desktops/servers and offers larger capacity per drive","2.5 inch always faster than 3.5 inch","3.5 inch uses less power than 2.5 inch in laptops","They are interchangeable without adapters",1
"Which statement compares SATA solid-state drives and hard disk drives?","SATA solid-state drives have lower latency and are shock-resistant; hard disk drives offer higher capacities per dollar","Hard disk drives are always faster","Solid-state drives require spinning media","Both use lasers",1
"What differentiates mSATA and M.2 for SSDs?","Both always use NVMe","mSATA uses SATA signaling only; M.2 can be SATA or NVMe over PCI Express depending on the drive and slot","Both are only for Wi-Fi cards","Both require 3.5 inch bays",2
"Why might an M.2 NVMe drive not be recognized in a particular slot?","NVMe never works in desktops","The motherboard slot must support NVMe/PCIe and the physical keying of the drive","All M.2 slots are identical","It requires a SATA power cable",2
"Which removable media is best for write-once distribution or archival compliance?","USB flash drive","Optical disc such as DVD-R or BD-R (write-once)","Tape only","SD card only",2
