Q,Option1,Option2,Option3,Option4,Correct
"What is static routing?","Manually configured routes that do not change unless edited by an administrator","Automatically learned routes that adapt to network changes","A method for translating private addresses to public","A protocol for first-hop redundancy",1
"What is dynamic routing?","Routes learned and updated automatically by routing protocols","A manual list of routes configured on each router","A feature that hides internal addresses behind a single public address","A way to divide a physical interface into logical interfaces",1
"What is Border Gateway Protocol (BGP)?","An exterior gateway routing protocol that exchanges routes between autonomous systems on the internet","A link‑state protocol used within an enterprise","A method for translating private addresses","A first‑hop redundancy technique",1
"What is Open Shortest Path First (OSPF)?","A link‑state interior gateway protocol that selects paths based on cost","A path‑vector protocol for internet route exchange","An advanced distance‑vector protocol proprietary to one vendor","A mechanism for address translation",1
"What is Enhanced Interior Gateway Routing Protocol (EIGRP)?","An advanced distance‑vector (hybrid) interior gateway protocol that uses composite metrics","A link‑state protocol defined by open standards","An exterior gateway protocol used between internet providers","A mechanism for network address translation",1
"What is administrative distance?","A measure of trustworthiness for a route source; lower values are preferred when multiple sources know the same prefix","A per‑hop count of the path length","A link cost value used only by link‑state protocols","A value that counts the number of translated sessions",1
"What is prefix length in routing?","The number of leading 1 bits in the subnet mask, used to determine the specificity of a route (longest match wins)","The number of routers in a path","The time-to-live value of a packet","The size of a translation table",1
"What is a routing metric?","A value used by a routing protocol to compare multiple paths learned by the same protocol","A security score for a router","A hardware model number","A speed rating of an interface",1
"What is Network Address Translation (NAT)?","A technique that translates one IP address to another at a network edge device","A protocol for exchanging routes on the internet","A link‑state routing algorithm","A feature that creates virtual interfaces",1
"What is Port Address Translation (PAT)?","A form of NAT that maps many internal addresses to one public address by using different port numbers","A method for assigning static routes dynamically","A link‑state flooding mechanism","A way to encapsulate routing tables in frames",1
"What is a First Hop Redundancy Protocol (FHRP)?","A technique that provides a virtual default gateway shared by multiple routers to prevent single‑gateway failure","A protocol for exchanging routes with upstream providers","A method for per‑packet load balancing within OSPF","A security feature that blocks rogue DHCP servers",1
"What is a Virtual IP (VIP) in the context of FHRP?","An IP address not tied to a single physical router, used by hosts as their default gateway for redundancy","An address used only for loopback testing","A private address range defined by RFC1918","An address used exclusively for multicast",1
"What are subinterfaces?","Logical interfaces created on a single physical interface, often used to route between multiple virtual LANs","Separate physical ports on a switch","Virtual machines running a router OS","A type of dynamic routing update",1
"Which best describes BGP’s role compared to OSPF and EIGRP?","BGP is typically used between autonomous systems (exterior), while OSPF/EIGRP are used within an organization (interior)","All three are used only on the public internet","BGP is link‑state, the others are path‑vector","EIGRP is exterior, OSPF is path‑vector",1
"Which statement about route selection is correct?","Routers first choose the longest prefix match, then compare administrative distance, then compare metric","Routers always choose the lowest metric before anything else","Routers compare administrative distance before prefix length","Routers choose the oldest route to ensure stability",1
"In general, which route does a router prefer when two sources advertise the same destination prefix?","The one with the lower administrative distance","The one with the higher metric","The one learned most recently","The one with the shortest interface name",1
"What does OSPF use as its metric?","Cost, typically derived from bandwidth","Hop count only","Composite metric including bandwidth and delay","Autonomous system path length",1
"What does EIGRP use as its metric by default?","A composite metric derived from bandwidth and delay (and optionally load/reliability)","Hop count only","Cost based solely on interface bandwidth","Autonomous system path length",1
"What best characterizes BGP path selection?","Policy‑driven decisions (e.g., autonomous system path and attributes) rather than pure bandwidth or delay","Shortest path based solely on hop count","Link‑state flooding and Dijkstra’s algorithm","Per‑VLAN spanning tree metrics",1
"Which is a benefit of static routes?","Simplicity and predictability in small, stable networks","Automatic adaptation to link failures","Minimal administrative overhead in large topologies","Built‑in loop avoidance and convergence algorithms",1
"Which is a drawback of static routes?","They do not automatically adjust to topology changes","They require significant CPU to compute paths","They can only route within a single autonomous system","They cannot point to next hops",1
"Which is a key benefit of dynamic routing?","Automatic convergence when topology changes","Zero control‑plane overhead","Guaranteed shortest path at all times","Eliminates need for default routes",1
"Which statement about NAT vs Port Address Translation (PAT) is correct?","NAT can be one‑to‑one, while PAT maps many internal hosts to one public address using ports","PAT is only used for IPv6","PAT requires unique public IPs for every internal host","NAT cannot be used with private addressing",1
"What is the purpose of a Virtual IP (VIP) for hosts?","It serves as the default gateway address that remains available even if the active router fails","It is used only for DNS queries","It assigns dynamic addresses to clients","It encrypts the first hop of traffic",1
"What problem do First Hop Redundancy Protocols solve?","Loss of connectivity when a single default gateway fails","Routing loops in dynamic protocols","Address exhaustion in private networks","Packet fragmentation on low‑MTU links",1
"When are subinterfaces commonly used?","When a single physical router interface must route between multiple virtual LANs on a trunk link","When adding more physical ports to a switch","When translating private addresses to public","When exchanging routes between autonomous systems",1
"Which protocol type is OSPF?","Link‑state interior gateway protocol","Path‑vector exterior gateway protocol","Advanced distance‑vector exterior protocol","Distance‑vector protocol used for the internet",1
"Which protocol type is BGP?","Path‑vector exterior gateway protocol","Link‑state interior gateway protocol","Distance‑vector interior gateway protocol","Advanced distance‑vector interior protocol",1
