Q,Option1,Option2,Option3,Option4,Correct
"What are private Internet Protocol version 4 address ranges used for internal networks?","1.0.0.0/8 only","10.0.0.0/8, 172.16.0.0–172.31.255.255, and 192.168.0.0/16","169.254.0.0/16 only","8.8.8.0/24 only",2
"What are public Internet Protocol version 4 addresses?","Reserved for testing only","Globally routable addresses allocated by registries and internet service providers","Addresses that can only be used in home routers","169.254.x.x addresses",2
"What is Internet Protocol version 6 in this context?","A wireless protocol","The newer Internet Protocol with a larger address space and modern features such as stateless autoconfiguration","A file sharing method","An email standard",2
"What is Automatic Private Internet Protocol Addressing (APIPA)?","Dynamic Host Configuration Protocol reservations","Self-assigned 169.254.0.0/16 address used when no Dynamic Host Configuration Protocol server is reachable","Virtual private network addressing","Public internet allocation",2
"What does 'static addressing' mean on a small office/home office network?","Clients receive a new address each boot","The device is configured with a fixed Internet Protocol address manually","The router changes address hourly","The address is assigned by the internet service provider only",2
"What does 'dynamic addressing' mean?","Internet Protocol version 6 only","Dynamic Host Configuration Protocol automatically assigns Internet Protocol parameters to clients","A device changes its Media Access Control address","A static address is entered once",2
"What is the default gateway setting used for?","Choosing the printer","Specifying the router that forwards traffic to other networks, including the internet","Setting the screen brightness","Naming the Wi-Fi",2
"A printer should always be reachable at the same address. Best configuration?","Dynamic Host Configuration Protocol with random lease","Static Internet Protocol address or Dynamic Host Configuration Protocol reservation for that printer","Automatic Private Internet Protocol Addressing","No gateway configured",2
"A client has an Internet Protocol address and can reach local hosts but not the internet. Which setting is most likely missing or wrong?","Subnet mask","Default gateway","Media Access Control address","Computer name",2
"A laptop on a small office/home office network shows 169.254.20.10 and no internet. What does this indicate?","Proper Dynamic Host Configuration Protocol operation","Automatic Private Internet Protocol Addressing because the Dynamic Host Configuration Protocol server is unreachable","Manually configured static address","Public addressing",2
"Which scenario best fits using static addressing on a small office/home office router?","Guest phones","Servers, printers, or management interfaces that must not change addresses","Every laptop","Random devices",2
"Which setting must be consistent for devices to communicate on the same Internet Protocol version 4 subnet?","Matching default gateways only","Matching subnet mask appropriate for the address range","Matching hostnames","Matching Domain Name System servers",2
"A customer asks why internet is down after changing the router’s local Internet Protocol from 192.168.1.1 to 192.168.10.1 without updating anything else. Most likely cause?","Cable is unplugged","Dynamic Host Configuration Protocol clients received new network addresses but the computer with static settings still points to the old gateway","Wireless is disabled","Printer offline",2
