Q,Option1,Option2,Option3,Option4,Correct
What is the purpose of monitoring systems in a security environment,To install updates automatically,To track and evaluate device behavior for threats,To create user accounts,To generate encryption keys,2
What is the role of application monitoring in cybersecurity,To block email spam,To observe software behavior and detect anomalies,To format drives,To install firmware,2
Why is infrastructure monitoring important in enterprise security,To build new servers,To measure cable lengths,To oversee hardware and network health,To configure routers,3
What does log aggregation involve in a security setting,Disabling old user accounts,Combining log data from multiple sources for analysis,Writing code for backup systems,Encrypting all software files,2
What is the goal of alerting in a monitoring system,To increase server speed,To notify administrators of potential security events,To remove browser history,To disable antivirus temporarily,2
What does scanning typically refer to in security operations,Taking screenshots,Reviewing network traffic for malicious activity,Downloading patches,Creating new accounts,2
What is the purpose of security reporting,To track and communicate findings from monitoring tools,To delete corrupted files,To install updates,To configure printers,1
Why is archiving used in cybersecurity operations,To create login credentials,To store log data for long-term retention and compliance,To encrypt mobile devices,To test power supplies,2
What does quarantine mean in security alert response,To delete backup files,To isolate suspicious files or devices from the network,To test backup speed,To monitor login frequency,2
What is alert tuning used for in cybersecurity,To disable alerts,To adjust alert thresholds and reduce false positives,To reboot firewalls,To back up logs,2
What is Security Content Automation Protocol primarily used for,To automate security testing and standardization,To print audit logs,To configure wireless routers,To enable remote desktop,1
What are security benchmarks used for,To compare file sizes,To measure compliance with best practices or standards,To list usernames,To limit bandwidth,2
What is an agent in monitoring,Software installed on a system to collect data for analysis,An employee monitoring physical devices,A router that blocks malware,Hardware used for backups,1
What is agentless monitoring,Using network-based tools to observe systems without installed software,Monitoring only physical access,Watching social media for threats,Installing antivirus manually,1
What is the primary role of a security information and event management system,To store encryption keys,To collect and analyze log data across the organization,To reset user accounts,To block specific websites,2
What is the main function of antivirus software,To monitor CPU usage,To detect and remove malicious programs,To archive email attachments,To enable file sharing,2
What is the purpose of data loss prevention tools,To increase system speed,To prevent unauthorized transfer of sensitive data,To block pop-up ads,To limit printer access,2
What are Simple Network Management Protocol traps used for,To disable switches,To send alerts from devices about specific network events,To update printer drivers,To scan for barcodes,2
What is NetFlow commonly used for in network monitoring,To encrypt USB drives,To analyze network traffic patterns and flow data,To test memory speed,To configure RAID settings,2
What does a vulnerability scanner do,To block emails,To identify weaknesses in systems or applications,To create user manuals,To display pop-up warnings,2
How does monitoring systems differ from monitoring infrastructure,Systems focus on physical equipment while infrastructure focuses on data files,Systems monitoring tracks user behavior while infrastructure monitors hardware health,Systems involve operating systems and software whereas infrastructure includes physical and virtual resources,Systems and infrastructure monitoring are the same thing,3
What is a primary distinction between application monitoring and systems monitoring,Application monitoring focuses on operating systems while systems monitoring targets specific apps,Systems monitoring is always real-time while application monitoring is scheduled,Application monitoring focuses on software functionality and performance whereas systems monitoring observes core operating systems,There is no functional difference,3
How does log aggregation support reporting in security operations,Log aggregation prevents unauthorized access while reporting documents file usage,Log aggregation stores individual logs only while reporting aggregates them,Log aggregation collects logs from various sources while reporting summarizes and presents findings,They perform the exact same function,3
What is the difference between alerting and scanning,Alerting provides real-time notifications whereas scanning identifies vulnerabilities and issues through scheduled checks,Scanning sends alerts to users while alerting performs deep packet inspection,Alerting encrypts data while scanning collects passwords,Alerting and scanning both involve blocking network ports,1
How does reporting differ from alerting in a monitoring context,Reporting notifies administrators instantly while alerting tracks long-term trends,Reporting aggregates and analyzes data over time whereas alerting provides real-time notifications,Alerting is used for legal audits while reporting is not,There is no difference,2
How is archiving related to log aggregation,Archiving permanently deletes logs after aggregation,Archiving compresses logs whereas aggregation expands them,Archiving stores long-term copies while aggregation collects real-time data,Log aggregation replaces the need for archiving,3
What distinguishes quarantine from alert tuning in response strategy,Quarantine filters spam messages while alert tuning changes antivirus schedules,Quarantine isolates threats whereas alert tuning adjusts sensitivity to reduce false alerts,Quarantine encrypts files while tuning creates backups,They serve identical purposes in log management,2
How does Security Content Automation Protocol relate to benchmarks,Security Content Automation Protocol provides automated compliance tools while benchmarks define the standards to be met,Benchmarks and Security Content Automation Protocol are both used only in cloud security,Benchmarks automate threat detection while Security Content Automation Protocol logs file changes,Benchmarks create virtual machines for testing,1
How does agent-based monitoring differ from agentless monitoring,Agent-based monitoring uses network protocols while agentless requires local software,Agent-based runs only on mobile devices whereas agentless is for servers,Agent-based requires installed software while agentless operates remotely without installation,They are interchangeable terms for antivirus scanning,3
What is a unique advantage of a security information and event management system compared to traditional log collection,Security information and event management only stores logs while traditional tools analyze them,Security information and event management includes real-time correlation and response while traditional log tools focus on storage,Traditional tools are used in cloud only whereas security information and event management is for on-premises,They are functionally identical,2
What distinguishes antivirus from data loss prevention,Antivirus blocks spam emails while data loss prevention filters encrypted traffic,Antivirus prevents malware infections whereas data loss prevention monitors data exfiltration,Data loss prevention protects passwords while antivirus restricts login access,They serve the same purpose in endpoint protection,2
How do Simple Network Management Protocol traps compare to NetFlow in network monitoring,Simple Network Management Protocol traps focus on event alerts while NetFlow provides traffic flow analysis,NetFlow sends device alerts while Simple Network Management Protocol traps analyze data patterns,They both monitor the same information and cannot be distinguished,NetFlow is for wireless devices only while Simple Network Management Protocol traps are for wired,1
What is a key difference between vulnerability scanners and antivirus tools,Vulnerability scanners monitor login attempts while antivirus software scans email attachments,Vulnerability scanners identify potential weaknesses while antivirus actively blocks known threats,Antivirus creates backups while scanners delete old data,They both perform encryption and hashing,2
Q,Option1,Option2,Option3,Option4,Correct
Your team needs to monitor memory usage and CPU spikes on multiple Linux servers. Which type of computing resource should be the focus,Systems,Applications,Infrastructure,Backups,1
An ecommerce platform is experiencing slowdowns under load. Which resource should be monitored to analyze code performance,Infrastructure,Applications,Backup systems,Network interfaces,2
A company is moving to a hybrid cloud model and needs to ensure data center availability. Which resource should be prioritized for monitoring,Applications,Systems,Infrastructure,Wi-Fi endpoints,3
A security analyst needs to correlate logs from multiple sources to identify a threat pattern. Which activity is required,Scanning,Archiving,Log aggregation,Alert tuning,3
A technician configures an intrusion detection system to send messages when unusual activity is detected. What is this process called,Alerting,Logging,Scanning,Archiving,1
Which activity involves checking systems for known vulnerabilities without triggering alerts,Scanning,Alert tuning,Quarantine,Benchmarking,1
A compliance manager wants to generate monthly reports summarizing all alerts and incidents. What task are they performing,Scanning,Reporting,Log aggregation,Quarantine,2
To meet legal retention policies, a company must store event logs for seven years. Which activity fulfills this requirement,Alerting,Archiving,Scanning,Verification,2
An incident response team isolates a compromised endpoint from the network. What type of action is this,Alert tuning,Quarantine,Scanning,Benchmarking,2
Security analysts notice too many irrelevant notifications from a monitoring tool. What should they do to reduce noise while retaining effectiveness,Quarantine,Alert tuning,Rescanning,Archiving,2
You are configuring a compliance check using a standardized format that aligns with industry benchmarks. Which tool should you implement,Security information and event management,Benchmarks,Security Content Automation Protocol,NetFlow,3
Which tool defines rules and measurements to guide system configuration standards,Benchmarks,Verification,Rescanning,Hashing,1
A security engineer needs to monitor cloud-based endpoints without installing software locally. Which method should they choose,Agent-based monitoring,Remote wiping,Agentless monitoring,Sandboxing,3
You are designing a solution to centralize log collection, correlate events, and trigger real-time alerts. Which system should you deploy,Antivirus,Security information and event management,Encryption gateway,Patch manager,2
During a malware outbreak, a tool detects and deletes known malicious files automatically. Which tool is this,SIEM,Data loss prevention,Antivirus,SCAP,3
To prevent confidential data from being emailed externally, which tool should you deploy,Data loss prevention,Antivirus,NetFlow,Vulnerability scanner,1
Which protocol allows routers and switches to send alert messages to a centralized server for monitoring,Simple Network Management Protocol traps,NetFlow,SIEM,Syslog,1
You are asked to analyze historical traffic trends including port usage and flow volume. Which monitoring tool is best suited,Benchmarking,Security information and event management,NetFlow,Alerting,3
Which tool is best suited to proactively scan devices for missing patches and known vulnerabilities,NetFlow,Vulnerability scanner,SIEM,Archiving tool,2
While configuring a lab to test detection and response, you simulate malicious behavior to trigger alerts. Which combination would best validate your monitoring,Alerting plus quarantine,Vulnerability scanner plus SCAP,SIEM with alert tuning and quarantine,Logging with benchmarking and antivirus,3
