Q,Option1,Option2,Option3,Option4,Correct
What is the professional approach to appearance and attire,Match required attire for the customer environment,Wear casual clothes you prefer,Wear a suit in all cases,Ignore dress expectations,1
Best way to start information gathering,Begin with open ended questions then narrow with focused questions,Ask only yes or no questions,Skip questions and start fixing,Demand written answers only,1
Why avoid jargon acronyms and slang,They confuse customers and reduce trust,They always save time,They make you sound elite,They replace documentation,1
What is active listening,Focus take notes restate the issue and avoid interrupting,Talk over the customer,Wait silently and say nothing,Type while ignoring the speaker,1
What should you do if you will be late,Contact the customer and update the timeline,Do nothing,Blame traffic,Cancel without notice,1
Best response to a difficult customer,Stay calm avoid arguing and restate the problem for clarity,Raise your voice,End the call quickly,Blame the user,1
What is the correct action when private files are visible on a desktop,Do not read them and protect confidentiality,Copy them for later,Discuss with friends,Upload to cloud storage,1
Why provide clear status updates,Set expectations and reduce uncertainty,Add pressure,Increase ticket count,Meet marketing goals,1
When a device is not economical to repair,Offer repair or replacement options per policy and get approval,Hide the findings,Return it without comment,Discard the device,1
What is the best tone to use,Positive and respectful,Humorous sarcasm,Angry and short,Silent treatment,1
Where should you record actions and findings,In the ticket or work order,In a private notebook only,On social media,On a sticky note,1
Which behavior shows cultural sensitivity,Use appropriate titles and respect local customs,Assume all people share your customs,Make jokes about names,Avoid learning any customs,1
What should you do with distractions like personal calls,Silence them and focus on the customer,Answer during the session,Text while troubleshooting,Scroll social media,1
What is the goal of a closeout summary,Confirm work performed next steps and contact path,Repeat the whole ticket again,Ask for a raise,Hide mistakes,1
How should you respond when you do not know an answer,Be honest and say you will find out and follow up,Make up an answer,Ignore the question,Blame the hardware,1
What is a professional way to address user names,Use the customers preferred name and title,Use nicknames without asking,Use first name only always,Use last name only always,1
Which note style is best,Clear objective notes with steps and results,Personal opinions only,Only times with no actions,Emoji logs,1
What is the correct data handling during a repair,Access only data needed with permission and protect privacy,Browse photos for fun,Copy music to your phone,Post screenshots online,1
During triage which issue should be handled first,Safety or data loss risk then service impact then minor issues,The most interesting issue,The easiest issue,The latest email,1
If a customer asks for an off policy action what should you do,Explain the policy and offer approved alternatives,Do it anyway,Argue with them,End the call,1
