Q,Option1,Option2,Option3,Option4,Correct
"A system emits a pattern of power-on self-test (POST) beeps and shows no video. What does this indicate?","Operating system corruption","Firmware error codes pointing to failing hardware such as memory or video","Network outage","Hard drive full",2
"Which symptom best matches a blue screen of death (BSOD) or endless pinwheel?","Application update available","Operating system crash, often caused by driver or hardware faults","Monitor power-save mode","Keyboard unplugged",2
"What does a black screen with fans spinning usually suggest first?","Wrong printer driver","No video due to failed graphics adapter or memory seating; check connections and components","Operating system update finished","Damaged speaker",2
"A desktop has 'no power'—no fans or lights. First check?","Replace CPU","Verify power cable, power strip, rear voltage selector, and power supply unit (PSU) switch","Update video driver","Change Dynamic Host Configuration Protocol (DHCP) scope",2
"Which issues most commonly cause sluggish performance?","Damaged Ethernet cable","Insufficient memory or background processes consuming CPU and storage input/output","Bad monitor cable","Incorrect Domain Name System (DNS) settings",2
"A system randomly shuts down under load. Which is most likely?","Improper thermal paste or cooling causing overheating and automatic protection","Bad desktop background","Incorrect time zone","Outdated wallpaper",1
"What does a burning smell from inside a PC usually indicate?","Healthy airflow","Electrical short or overheating component - power off and inspect","Software bug only","Dust on screen",2
"What does intermittent shutdown often point to?","Loose power or thermal issues such as a failing power supply or overheating","Wrong wallpaper","Bad email client","Incorrect print driver",1
"Frequent application crashes after a recent graphics driver update suggest what?","Failed power supply","Driver instability - roll back or update to a vendor-approved version","Damaged CPU socket","Faulty monitor",2
"Which symptom indicates capacitor swelling on a motherboard?","Bright screen","Bulging or leaking capacitor tops leading to instability","Faster boot times","High Wi-Fi signal",2
"Inaccurate system date and time after each power loss usually points to what?","Incorrect display settings","Exhausted complementary metal-oxide semiconductor (CMOS) battery on the motherboard","Incompatible keyboard","Wrong Ethernet cable",2
"What is the best first step when a system gives memory errors at boot?","Replace the motherboard immediately","Reseat memory modules, test with known-good memory, and run memory diagnostics","Reinstall the operating system","Swap the printer",2
"Which issue can cause black screen immediately after adding a new CPU?","Dead pixels","Incompatible firmware or unsupported CPU requiring a firmware update","Wrong wallpaper","Bad speakers",2
"Which symptom aligns with 'no power' due to a faulty case power button?","Fans spin fast","Front-panel header miswire preventing the power switch from signaling the motherboard","Artifacts on screen","Power-on self-test (POST) beeps indicate memory error",2
"A desktop makes a constant grinding noise and temperatures are rising. Most likely cause?","Hard drive head crash","Failing case or CPU fan bearings - replace the fan and check airflow; inspect the power supply fan as well","Speaker interference","Wrong display driver",2
