Q,Option1,Option2,Option3,Option4,Correct
What is the purpose of user provisioning,To monitor user activity,To automate account creation and access assignment,To remove users from a network,To encrypt user data,2
What does resource provisioning involve,Manually assigning roles,Configuring firewalls,Automatically allocating computing resources,Monitoring network traffic,3
What are guard rails in automation,User permission levels,Security boundaries built into automated workflows,Physical security fences,Data backup processes,2
What is the role of security groups,To assign public IP addresses,To manage file backups,To define access permissions for groups of users or resources,To create audit reports,3
What is the goal of automated ticket creation,To close issues faster,To notify HR about employee changes,To generate and assign support tasks automatically,To scan systems for malware,3
What is escalation in an automated workflow,Reducing system load,Reporting threats to law enforcement,Transferring an issue to a higher support level,Encrypting all outgoing data,3
Why would a service or access be automatically enabled or disabled,To improve interface design,To balance workloads,To enforce policies and respond to security changes,3
What does continuous integration and testing help achieve,Lower internet usage,Improved system color themes,Faster and safer development through constant merging and testing,More frequent email alerts,3
What is the role of integrations and application programming interfaces,To prevent phishing emails,To generate network addresses,To enable communication between different software systems,To upgrade device firmware,3
What is one primary benefit of automation in security operations,Increased number of employees,Efficiency and time saving,More email notifications,Manual review of logs,2
What does enforcing baselines with automation accomplish,Increased alert sensitivity,Consistent application of security settings and configurations,Improved battery life,More random configurations,2
Why is standard infrastructure configuration important,To confuse attackers,To maintain predictable and secure setups,To create colorful dashboards,To slow down users,2
What does scaling in a secure manner mean,Buying more servers,Increasing staff salaries,Adding capacity while maintaining security standards,Reducing screen brightness,3
How does automation support employee retention,By increasing vacation days,By reducing repetitive tasks and improving job satisfaction,By enforcing strict rules,By increasing work hours,2
What is meant by improved reaction time in automation,Slower patch deployment,Manual log review,Quicker response to incidents or changes,More time for documentation,3
What is a workforce multiplier effect of automation,Automation reduces team size,Automation allows teams to accomplish more with the same number of people,Automation delays productivity,Automation requires new buildings,2
What is a potential downside of increased complexity in automation,Better performance,Lower software costs,Increased chance of errors and maintenance difficulty,Improved physical security,3
How can cost be a consideration in automation and orchestration,It always lowers expenses,It has no financial impact,Initial setup and tools may require significant investment,It reduces training costs,3
What is meant by single point of failure,One person controlling security policies,One automation component whose failure can disrupt the entire system,One location for all backups,One account for multiple users,2
What is technical debt in automated systems,Outstanding configuration costs,Future work created by quick or temporary solutions,The amount owed to cloud providers,Unpaid hardware maintenance,2
Why is ongoing supportability critical for automation,To improve weather forecasting,To allow systems to adapt and remain functional over time,To reduce device lifespan,To enhance physical security controls,2
How does user provisioning differ from user authentication,Provisioning verifies identity,Provisioning creates and manages user accounts while authentication confirms identity,Provisioning stores passwords securely,Provisioning encrypts user sessions,2
How is resource provisioning different from resource allocation,Provisioning involves initial setup and deployment while allocation involves ongoing distribution,Provisioning is only for physical assets,Provisioning reduces system speed,Provisioning increases user quotas,1
What is the main difference between guard rails and firewalls,Guard rails automate internal controls while firewalls block unauthorized network traffic,Guard rails manage bandwidth,Guard rails scan for malware,Guard rails are physical barriers,1
How do security groups relate to access control lists,Security groups are logical groupings while access control lists specify permissions at a granular level,Security groups only apply to networks,Security groups replace all authentication needs,Security groups use encryption algorithms,1
What separates ticket creation from escalation in a workflow,Ticket creation initiates a process while escalation moves it to a higher support level,Escalation is only for billing,Escalation deletes old tickets,Escalation happens before ticket creation,1
How does enabling services differ from disabling access,Enabling services makes functions available while disabling access restricts unauthorized use,Disabling access always reboots systems,Disabling access deletes data,Disabling access creates logs,1
What is the difference between continuous integration and version control,Continuous integration merges and tests code automatically while version control tracks code changes over time,Version control encrypts code,Continuous integration compresses logs,Continuous integration performs audits,1
How are application programming interfaces different from plugins,Application programming interfaces provide structured communication between software while plugins extend functionality,Plugins replace APIs,APIs reduce encryption strength,Plugins monitor logs,1
How does automation primarily improve efficiency compared to manual processes,It reduces errors and increases speed through repeatable scripts,It reduces server load,It creates backups,It increases storage,1
Why is enforcing baselines with automation more effective than manual enforcement,Automation ensures consistent application of settings across systems,Manual enforcement is more secure,Automation disables security protocols,Manual enforcement increases flexibility,1
How do standard infrastructure configurations relate to scalability,Standard configurations simplify expansion while maintaining security and functionality,They increase customization,They reduce device performance,They prevent user access,1
What is the key benefit of secure scaling over rapid scaling,Secure scaling maintains protections during growth while rapid scaling may overlook security,Secure scaling reduces revenue,Secure scaling increases complexity,Rapid scaling is more expensive,1
How does automation impact employee retention differently than manual processes,It reduces repetitive tasks leading to greater job satisfaction,It reduces vacation time,It increases shift duration,It makes jobs obsolete,1
What distinguishes improved reaction time from alerting,Improved reaction time refers to faster incident response while alerting simply notifies of events,Alerting blocks traffic,Reaction time logs data,Reaction time creates dashboards,1
