Q,Option1,Option2,Option3,Option4,Correct
"What is the primary purpose of an access control vestibule (mantrap)?","Control entry by allowing only one person to pass at a time","Provide visitor badges","Record video of entrances","Lock equipment in racks",1
"What does a badge reader verify?","Possession of an issued access card","A fingerprint template","A spoken passphrase","A one time code from email",1
"What security function does video surveillance provide?","Monitoring and recording for detection and investigation","Encrypting files at rest","Preventing malware on endpoints","Providing emergency lighting",1
"Which physical control is designed to detect movement in a protected area?","Motion sensor","Bollard","Smart card","Folder redirection",1
"What is the purpose of door locks in physical security?","Prevent unauthorized access to rooms or cabinets","Detect tailgating events","Alert responders to fire","Provide network segmentation",1
"What do equipment locks protect?","Individual devices such as laptops or rack equipment","Network links between switches","Software configurations","Cloud backups",1
"Which control is a human deterrent and responder on site?","Security guard","Time based access control list","Login script","Authenticator app",1
"What are bollards used for?","Protect entrances from vehicle impact","Detect motion near a door","Display warning messages","Filter email spam",1
"What does perimeter fencing primarily provide?","A physical barrier that deters and delays intruders","A network access list","A lighting control circuit","A password policy",1
"Why is security lighting important at building entrances and parking areas?","It deters intruders and improves camera visibility","It powers badge readers","It provides emergency data links","It encrypts wireless traffic",1
"What does a magnetometer do in an access control point?","Detects metallic objects on a person","Measures room temperature","Authenticates smart cards","Issues temporary visitor passes",1
"Which biometric matches blood vessel patterns in the back of the eye?","Retina scan","Palmprint scan","Fingerprint scan","Voice recognition",1
"Which biometric matches the ridges on a fingertip?","Fingerprint scan","Retina scan","Iris color comparison","Gait analysis",1
"Which biometric matches friction ridges across the hand surface?","Palmprint scan","Retina scan","Face geometry","Keystroke timing",1
"Which item is a proximity device that transmits an identifier when near a reader?","Key fob","Paper badge","Magnetometer","Door contact",1
"Which physical credential usually contains a chip for contact or contactless verification?","Smart card","Email code","Voice call token","SMS code",1
"What is the advantage of using traditional keys for some areas?","Low cost and no electronics required","Automatic access logging","Remote disabling of stolen keys","Time limited one time codes",1
"What is the principle of least privilege?","Grant only the minimum access required to perform a job","Grant full access during onboarding then reduce later","Require two administrators to approve any change","Deny all access by default permanently",1
"What does an access control list define on a resource?","Which identities are allowed or denied specific actions","How to encrypt the data on disk","The backup schedule for the server","Which network ports are open on the firewall",1
"What is multifactor authentication?","Using two or more different factor types to verify identity","Using two passwords for the same account","Using two accounts for the same user","Using longer passwords only",1
"Which is an example of a hard token?","A dedicated hardware key that generates one time codes","A smartphone app that shows codes","A code sent by text message","An email based verification link",1
"Which is an example of a soft token?","A one time code generated by an authenticator app","A hardware key with a display","A magnetic stripe card","A printed recovery code",1
"What is a typical weakness of using short message service codes as a second factor?","They can be intercepted or redirected","They require no cellular service","They work only with smart cards","They require iris scanners",1
"What describes a voice call based code?","An automated call reads a one time code to the user","The user records a passphrase for future comparison","A voiceprint is matched like a biometric","A call connects to the help desk for approval",1
"What benefit does an authenticator application provide over SMS?","Codes are generated locally and do not rely on phone number routing","It removes the need for passwords","It replaces physical access badges","It provides group policy settings",1
"What is the primary purpose of mobile device management in an organization?","Enforce security policies and manage mobile endpoints","Provide wide area cellular coverage","Install physical door locks","Replace Active Directory",1
"In a Windows domain, what is the purpose of a login script?","Execute commands or mappings at user sign in","Encrypt the local hard drive","Update the BIOS firmware","Start the firewall service",1
"What is a Windows domain used for?","Centralized authentication and administration of users and computers","Isolating servers from the internet","Running applications in containers","Setting printer default trays",1
"What is Group Policy used for?","Applying standardized configuration and update settings to domain objects","Capturing network packets","Scheduling backups to tape","Creating email distribution lists",1
"How are organizational units typically used?","Group users and computers to apply targeted policies and delegation","Store shared files for departments","Hold local workstation accounts","Configure RAID on servers",1
"What does a home folder provide?","A centrally stored user data location that can follow the user","A default folder for installing apps","A hidden folder for caching updates","A backup of system files only",1
"What is folder redirection used for?","Store user data on network shares instead of the local profile","Block users from creating new folders","Encrypt local folders with BitLocker","Move the entire operating system to a new drive",1
"What do security groups provide in a domain?","A way to assign permissions to many accounts at once","A shared mailbox for a team","A report on password expirations","A container for software packages",1
"Which control is primarily preventive?","Electronic door lock","Video surveillance review","Incident postmortem report","Log aggregation",1
"Which control is primarily detective?","Security camera monitoring","Door access badge","Bollard at a driveway","Key fob issuance",1
"Which two controls together best reduce tailgating risk at a secure entrance?","Access control vestibule and security guard","Smart card and email code","Lighting and voice call token","Home folder and folder redirection",1
"In a scenario where a laptop is frequently used in public spaces, which control best prevents casual theft of the device itself?","Cable lock attached to a fixed object","Full disk encryption only","Login script enforcement","Authenticator app for sign in",1
"A contractor needs temporary building access for one week. Which solution fits best?","Issue a time limited badge credential","Add to permanent security group","Provide master keys to all doors","Disable lighting in unused areas",1
"What is the primary purpose of an alarm system in physical security?","Generate alerts for intrusion or environmental conditions to trigger response","Block all network traffic automatically","Encrypt data on servers","Replace the need for cameras",1
"Which statement best describes email one-time codes as a second factor?","Convenient but weaker; security depends on the mailbox and they are phishable","As strong as hardware tokens in most cases","Not permitted by any security frameworks","They do not work on mobile devices",1
"In a Windows domain, how are operating system update settings commonly enforced?","Through Group Policy Objects that apply update configurations to targeted organizational units","By local scripts on each workstation only","By changing the home folder path","By creating new security groups with no policies",1
