Q,Option1,Option2,Option3,Option4,Correct
"What is encryption?","Storing data in plain text for fast access","Transforming data with cryptography so only authorized parties can read it","Backing up files to a remote server","Compressing files to save space",2
"What does 'data in transit' refer to?","Data stored on a disk or drive","Data traveling across a network or between systems","Data backed up to tape","Data deleted from storage",2
"What does 'data at rest' refer to?","Data moving across the internet","Data actively being processed by the CPU","Data stored on media such as drives or cloud storage","Data cached in the browser only",3
"What is a digital certificate?","A plain-text password","A cryptographic credential that binds an identity to a public key and is signed by a certificate authority","A barcode on a device","A network license file",2
"What is Public Key Infrastructure (PKI)?","A system that assigns IPv4 subnets","The policies, roles, hardware, software, and procedures to create, manage, distribute, and revoke digital certificates","A database for asset tags","A wireless authentication method",2
"What is a self-signed certificate?","A certificate signed by a public certificate authority","A certificate signed by the same entity that presents it instead of by a trusted authority","A certificate that never expires","A certificate used only for email",2
"What is identity and access management (IAM)?","Only a password vault","Frameworks and tools that establish digital identities and control access to resources","A diagramming method","A backup schedule",2
"What is multifactor authentication (MFA)?","Using a very long single password","Requiring two or more categories of factors (for example, something you know, have, or are) to authenticate","Only using biometrics","Only using a hardware token",2
"What is single sign-on (SSO)?","A policy that prevents roaming","An approach that lets a user authenticate once and gain access to multiple systems without re-authenticating","A VPN technology","A password manager extension",2
"What is Remote Authentication Dial-in User Service (RADIUS)?","A file storage protocol","A centralized authentication, authorization, and accounting service commonly used for network access","An encryption algorithm","A routing protocol",2
"What is Lightweight Directory Access Protocol (LDAP)?","A time protocol","A directory protocol used to query and modify identity information such as users and groups","A log format","A firewall rule",2
"What is Security Assertion Markup Language (SAML)?","A routing language for switches","A standard for exchanging authentication and authorization assertions between identity and service providers","A certificate file type","An email filtering tool",2
"What is Terminal Access Controller Access-Control System Plus (TACACS+)?","A disk encryption suite","A protocol that provides device administration authentication and authorization, often separating authentication and authorization per command","A wireless survey format","A cabling standard",2
"What is time-based authentication typically referring to?","Renewing software licenses hourly","One-time passcodes that change with time (for example, Time-based One-Time Password)","A daily password rotation","Time synchronization over NTP",2
"What is authorization?","Proving identity to a system","Granting specific permissions to an authenticated identity","Encrypting traffic with Transport Layer Security","Backing up configs",2
"What is the principle of least privilege?","Give every user administrator rights","Grant only the minimum permissions required to perform a job function","Deny all access by default forever","Allow read access to everyone",2
"What is role-based access control (RBAC)?","Permissions assigned per device serial number","Permissions assigned to roles representing job functions, then users inherit those rights","Permissions based on geolocation only","No central policy at all",2
"What is geofencing?","Encrypting emails only","Using location boundaries (for example, GPS or network location) to allow or restrict access or trigger actions","Blocking all mobile devices","Measuring wireless heat",2
"What falls under physical security in this context?","Cameras and locks that deter, detect, or delay unauthorized physical access","Transport Layer Security cipher suites","Only password length rules","Change advisory meetings",1
"What is a honeypot?","A production web server","A deliberately vulnerable or attractive system designed to observe or lure attackers","A load balancer","A malware scanner only",2
"What is a honeynet?","A single device for backups","A network of honeypots and related systems used to study attacker behavior","A subnet with printers","A remote access gateway",2
"What is 'risk' in security terms?","A list of vulnerabilities","The potential that a threat will exploit a vulnerability and cause impact","Guaranteed damage from malware","A backup schedule",2
"What is a vulnerability?","A motivated attacker","A weakness that could be exploited by a threat","A compliance requirement","A network diagram",2
"What is an exploit?","A policy document","A technique or code that takes advantage of a vulnerability","A firewall log","A password hint",2
"What is a threat?","A patched system","Any circumstance or event with the potential to cause harm","A compliance fine","A backup image",2
"What is the confidentiality-integrity-availability (CIA) triad?","A model of network topologies","A foundational model describing protection of secrecy, accuracy, and uptime of information","A type of encryption","A wireless policy",2
"What is 'data locality' in compliance contexts?","Where users live","Requirements that data be stored or processed within specific geographic or legal boundaries","A performance metric","A DNS feature",2
"What is Payment Card Industry Data Security Standard (PCI DSS)?","A government privacy law","An industry standard defining security controls for organizations that handle payment cards","A spam filter","A routing protocol",2
"What is General Data Protection Regulation (GDPR)?","A U.S. encryption export rule","A European Union regulation governing personal data protection and privacy","A wireless certification","A logging framework",2
"What is network segmentation enforcement?","Making all networks flat for simplicity","Using technical controls (for example, virtual local area networks, access control lists, firewalls) to isolate and control traffic between groups of devices","Only labeling cables","Only documenting diagrams",2
"What best describes Internet of Things (IoT) and Industrial Internet of Things (IIoT) in segmentation?","Personal laptops only","Collections of embedded devices/sensors that often warrant isolation due to risk and update challenges","Only data center servers","A type of encryption",2
"What are SCADA, industrial control system (ICS), and operational technology (OT)?","Web analytics tools","Control systems for industrial processes that often require strict network isolation and monitoring","Email security tools","Wireless client types",2
"What is a 'guest' network in this context?","A network for domain controllers","An isolated segment for visitors’ devices with restricted access to internal resources","A subnet for printers","A management network",2
"What does 'bring your own device (BYOD)' imply for segmentation?","Personal devices are blocked at all times","Personal devices are allowed but should be governed and segmented to limit risk","Only corporate laptops are allowed","Wired ports are disabled",2
"What is the primary purpose of security cameras in network facilities?","To increase wireless coverage","To deter, detect, and record unauthorized physical access for investigation and response","To speed up switch performance","To replace identity and access management",2
"What role do physical locks play in network security?","They encrypt data at rest","They prevent or delay unauthorized physical access to rooms, racks, and devices as part of layered defenses","They provide Multi-factor Authentication for web apps","They replace firewalls entirely",2
