Q,Option1,Option2,Option3,Option4,Correct
What is the process of testing a system's defenses by simulating an attack,Security audit,Penetration testing,Risk assessment,Vulnerability scan,2
What clause gives an organization the legal ability to inspect a vendor's operations,Confidentiality clause,Termination clause,Right-to-audit clause,Non-compete clause,3
What provides proof that a company performs self-evaluations of its security controls,Privacy statement,Internal policy summary,Evidence of internal audits,Risk acceptance form,3
What type of evaluation is performed by an external third party to assess a vendor,Internal control review,Independent assessment,Security exception review,Compliance waiver,2
What analysis evaluates the risk posed by suppliers and logistics,Resource inventory analysis,Supply chain analysis,Risk appetite review,Incident history evaluation,2
What process involves researching and verifying a vendor's background and practices,Data classification,Due diligence,Information assurance,Key risk indicator review,2
What term refers to a situation where personal or financial interest could bias decisions,Threat modeling,Security misconfiguration,Conflict of interest,Policy exception,3
What type of agreement defines specific service expectations and performance metrics,Memorandum of agreement,Non-disclosure agreement,Service-level agreement,Work order,3
What type of formal agreement outlines responsibilities between two parties,Service-level agreement,Memorandum of agreement,Questionnaire,Right-to-audit clause,2
What document expresses mutual understanding without legal enforcement,Service-level agreement,Non-disclosure agreement,Memorandum of understanding,Business partners agreement,3
What agreement defines overall terms for multiple future engagements,Memorandum of agreement,Master service agreement,Service-level agreement,Security operations guide,2
What document outlines detailed tasks and deliverables for a specific project,Memorandum of understanding,Master service agreement,Work order or statement of work,Change request,3
What agreement ensures confidential information is not shared outside of the business relationship,Memorandum of agreement,Service-level agreement,Business partners agreement,Non-disclosure agreement,4
What agreement defines the relationship and obligations between two companies doing business together,Non-disclosure agreement,Business partners agreement,Work order,Memorandum of understanding,2
What is the ongoing process of reviewing and verifying vendor compliance and performance,Vendor selection,Vendor monitoring,Vendor onboarding,Vendor deprovisioning,2
What tool is used to collect standardized information from vendors for evaluation,Security template,Compliance workflow,Questionnaire,Audit trail,3
What defines the parameters and limitations for an engagement or test,Security framework,Rules of engagement,Service requirement plan,Compliance matrix,2
How does penetration testing differ from vulnerability scanning,It is passive only,It does not identify exploits,It actively attempts to exploit vulnerabilities,It is performed monthly,3
What is a key difference between a right-to-audit clause and a non-disclosure agreement,A right-to-audit clause allows oversight while an NDA limits information sharing,An NDA grants audit access,A right-to-audit clause prevents legal discovery,An NDA is always required with audit clauses,1
What distinguishes evidence of internal audits from independent assessments,Internal audits are performed by external consultants,Independent assessments are self-conducted,Internal audits are performed within the organization,Independent assessments use internal logs only,3
How do independent assessments provide value compared to internal audits,They are performed by in-house staff,They avoid objectivity,They provide unbiased external validation,They use the same tools as internal audits,3
What makes supply chain analysis more comprehensive than vendor monitoring,It focuses on one vendor,It includes internal IT systems,It maps dependencies across multiple tiers,It avoids using questionnaires,3
How is due diligence different from vendor monitoring,Due diligence is ongoing after selection,Due diligence is performed before selection,Vendor monitoring occurs before contracts,Vendor monitoring is a legal agreement,2
How is a conflict of interest best avoided during vendor selection,Using internal policies only,Hiring vendors with shared ownership,Ensuring unbiased decision-making processes,Choosing the lowest bidder,3
What sets a service-level agreement apart from a memorandum of understanding,A service-level agreement is informal,A memorandum defines technical performance,A service-level agreement defines measurable service expectations,A memorandum always includes legal penalties,3
How does a memorandum of agreement differ from a business partners agreement,A memorandum defines legal ownership,A business partners agreement outlines expected performance,A memorandum specifies roles without legal enforcement,A business partners agreement defines obligations in a partnership,4
How does a memorandum of understanding differ from a memorandum of agreement,A memorandum of understanding is typically nonbinding,A memorandum of understanding is enforceable,A memorandum of agreement lacks business terms,A memorandum of understanding outlines legal obligations,1
What is the difference between a master service agreement and a statement of work,A master service agreement defines project-specific tasks,A statement of work includes partnership obligations,A master service agreement outlines overall terms,A statement of work covers future agreements,3
What distinguishes a statement of work from a service-level agreement,A statement of work outlines tasks while a service-level agreement sets performance expectations,A service-level agreement replaces a statement of work,A statement of work is informal,A service-level agreement is always temporary,1
How does a non-disclosure agreement differ from a work order,A non-disclosure agreement defines deliverables,A non-disclosure agreement protects confidentiality,A work order limits data sharing,A work order secures trade secrets,2
What makes a business partners agreement more comprehensive than a memorandum of understanding,A business partners agreement outlines a legally binding partnership,A memorandum of understanding includes financial obligations,A business partners agreement is always informal,A memorandum of understanding defines trade secrets,1
How is vendor monitoring different from due diligence,Vendor monitoring is ongoing oversight,Due diligence follows contract signing,Vendor monitoring occurs before selection,Due diligence is continuous monitoring,1
How do questionnaires differ from interviews in vendor assessments,Questionnaires provide consistent evaluation data,Questionnaires offer in-depth dialogue,Interviews avoid bias better,Questionnaires do not allow comparison,1
What distinguishes rules of engagement from a service agreement,Rules of engagement define test boundaries,Service agreements define vendor selection criteria,Rules of engagement outline pricing,Service agreements are not legally binding,1
A company hires a third party to test their cloud infrastructure for vulnerabilities without causing service disruptions. Which control is being used,Questionnaire,Penetration testing,Change management,Vendor monitoring,2
During contract negotiations with a cloud vendor, the company wants the ability to examine security processes at any time. Which contract clause supports this,Memorandum of understanding,Right-to-audit clause,Service-level agreement,Rules of engagement,2
You are reviewing documentation from a vendor that demonstrates they evaluate their own processes regularly. What type of assurance is this,Evidence of internal audits,Penetration testing,Questionnaire,Vulnerability scan,1
Your organization requests that a neutral third party verify a vendor's compliance with standards. What is this process called,Conflict of interest,Independent assessment,Right-to-audit clause,Memorandum of agreement,2
A cybersecurity manager is mapping potential threats from vendors several tiers down the line. What process is being used,Due diligence,Supplier encryption,Supply chain analysis,Service monitoring,3
Before entering a contract, your team checks a vendor's financial history and reputation. What is this process known as,Contract negotiation,Service agreement,Vulnerability scanning,Due diligence,4
